number_of_targets,number_of_species,threshold
1.2,1.0,23
2.12,2.0,23
2.74,3.0,23
3.24,4.0,23
3.63,5.0,23
3.84,6.0,23
4.16,7.0,23
4.41,8.0,23
4.54,9.0,23
4.63,10.0,23
4.68,11.0,23
4.77,12.0,23
4.81,13.0,23
4.86,14.0,23
4.87,15.0,23
4.9,16.0,23
4.91,17.0,23
4.92,18.0,23
4.93,19.0,23
4.96,20.0,23
4.97,21.0,23
4.97,22.0,23
4.97,23.0,23
4.99,24.0,23
4.99,25.0,23
4.99,26.0,23
4.99,27.0,23
5.0,28.0,23
5.0,29.0,23
5.0,30.0,23
5.0,31.0,23
5.0,32.0,23
5.0,33.0,23
5.0,34.0,23
5.0,35.0,23
5.0,36.0,23
5.0,37.0,23
5.0,38.0,23
5.0,39.0,23
5.0,40.0,23
5.0,41.0,23
5.0,42.0,23
5.0,43.0,23
5.0,44.0,23
5.0,45.0,23
5.0,46.0,23
5.0,47.0,23
5.0,48.0,23
5.0,49.0,23
5.0,50.0,23
5.0,51.0,23
5.0,52.0,23
5.0,53.0,23
5.0,54.0,23
5.0,55.0,23
5.0,56.0,23
5.0,57.0,23
5.0,58.0,23
5.0,59.0,23
5.0,60.0,23
5.0,61.0,23
5.0,62.0,23
5.0,63.0,23
5.0,64.0,23
5.0,65.0,23
5.0,66.0,23
5.0,67.0,23
5.0,68.0,23
5.0,69.0,23
5.0,70.0,23
5.0,71.0,23
5.0,72.0,23
5.0,73.0,23
5.0,74.0,23
5.0,75.0,23
5.0,76.0,23
5.0,77.0,23
5.0,78.0,23
5.0,79.0,23
5.0,80.0,23
5.0,81.0,23
5.0,82.0,23
5.0,83.0,23
5.0,84.0,23
5.0,85.0,23
5.0,86.0,23
5.0,87.0,23
5.0,88.0,23
5.0,89.0,23
5.0,90.0,23
5.0,91.0,23
5.0,92.0,23
5.0,93.0,23
5.0,94.0,23
5.0,95.0,23
5.0,96.0,23
5.0,97.0,23
5.0,98.0,23
5.0,99.0,23
5.0,100.0,23
5.0,101.0,23
5.0,102.0,23
5.0,103.0,23
5.0,104.0,23
5.0,105.0,23
5.0,106.0,23
5.0,107.0,23
5.0,108.0,23
