number_of_targets,number_of_species,threshold
1.28,1.0,25
2.01,2.0,25
2.66,3.0,25
3.27,4.0,25
3.7,5.0,25
3.95,6.0,25
4.15,7.0,25
4.33,8.0,25
4.5,9.0,25
4.62,10.0,25
4.77,11.0,25
4.78,12.0,25
4.83,13.0,25
4.84,14.0,25
4.87,15.0,25
4.9,16.0,25
4.94,17.0,25
4.95,18.0,25
4.96,19.0,25
4.96,20.0,25
4.96,21.0,25
4.97,22.0,25
4.99,23.0,25
4.99,24.0,25
4.99,25.0,25
4.99,26.0,25
4.99,27.0,25
5.0,28.0,25
5.0,29.0,25
5.0,30.0,25
5.0,31.0,25
5.0,32.0,25
5.0,33.0,25
5.0,34.0,25
5.0,35.0,25
5.0,36.0,25
5.0,37.0,25
5.0,38.0,25
5.0,39.0,25
5.0,40.0,25
5.0,41.0,25
5.0,42.0,25
5.0,43.0,25
5.0,44.0,25
5.0,45.0,25
5.0,46.0,25
5.0,47.0,25
5.0,48.0,25
5.0,49.0,25
5.0,50.0,25
5.0,51.0,25
5.0,52.0,25
5.0,53.0,25
5.0,54.0,25
5.0,55.0,25
5.0,56.0,25
5.0,57.0,25
5.0,58.0,25
5.0,59.0,25
5.0,60.0,25
5.0,61.0,25
5.0,62.0,25
5.0,63.0,25
5.0,64.0,25
5.0,65.0,25
5.0,66.0,25
5.0,67.0,25
5.0,68.0,25
5.0,69.0,25
5.0,70.0,25
5.0,71.0,25
5.0,72.0,25
5.0,73.0,25
5.0,74.0,25
5.0,75.0,25
5.0,76.0,25
5.0,77.0,25
5.0,78.0,25
5.0,79.0,25
5.0,80.0,25
5.0,81.0,25
5.0,82.0,25
5.0,83.0,25
5.0,84.0,25
5.0,85.0,25
5.0,86.0,25
5.0,87.0,25
5.0,88.0,25
5.0,89.0,25
5.0,90.0,25
5.0,91.0,25
5.0,92.0,25
5.0,93.0,25
5.0,94.0,25
5.0,95.0,25
5.0,96.0,25
5.0,97.0,25
5.0,98.0,25
5.0,99.0,25
5.0,100.0,25
5.0,101.0,25
5.0,102.0,25
5.0,103.0,25
5.0,104.0,25
5.0,105.0,25
5.0,106.0,25
5.0,107.0,25
5.0,108.0,25
