number_of_targets,number_of_species,threshold
1.78,1.0,19
2.48,2.0,19
3.08,3.0,19
3.56,4.0,19
3.82,5.0,19
4.12,6.0,19
4.35,7.0,19
4.49,8.0,19
4.62,9.0,19
4.69,10.0,19
4.78,11.0,19
4.83,12.0,19
4.85,13.0,19
4.89,14.0,19
4.89,15.0,19
4.91,16.0,19
4.93,17.0,19
4.94,18.0,19
4.94,19.0,19
4.97,20.0,19
4.98,21.0,19
4.99,22.0,19
4.99,23.0,19
4.99,24.0,19
5.0,25.0,19
5.0,26.0,19
5.0,27.0,19
5.0,28.0,19
5.0,29.0,19
5.0,30.0,19
5.0,31.0,19
5.0,32.0,19
5.0,33.0,19
5.0,34.0,19
5.0,35.0,19
5.0,36.0,19
5.0,37.0,19
5.0,38.0,19
5.0,39.0,19
5.0,40.0,19
5.0,41.0,19
5.0,42.0,19
5.0,43.0,19
5.0,44.0,19
5.0,45.0,19
5.0,46.0,19
5.0,47.0,19
5.0,48.0,19
5.0,49.0,19
5.0,50.0,19
5.0,51.0,19
5.0,52.0,19
5.0,53.0,19
5.0,54.0,19
5.0,55.0,19
5.0,56.0,19
5.0,57.0,19
5.0,58.0,19
5.0,59.0,19
5.0,60.0,19
5.0,61.0,19
5.0,62.0,19
5.0,63.0,19
5.0,64.0,19
5.0,65.0,19
5.0,66.0,19
5.0,67.0,19
5.0,68.0,19
5.0,69.0,19
5.0,70.0,19
5.0,71.0,19
5.0,72.0,19
5.0,73.0,19
5.0,74.0,19
5.0,75.0,19
5.0,76.0,19
5.0,77.0,19
5.0,78.0,19
5.0,79.0,19
5.0,80.0,19
5.0,81.0,19
5.0,82.0,19
5.0,83.0,19
5.0,84.0,19
5.0,85.0,19
5.0,86.0,19
5.0,87.0,19
5.0,88.0,19
5.0,89.0,19
5.0,90.0,19
5.0,91.0,19
5.0,92.0,19
5.0,93.0,19
5.0,94.0,19
5.0,95.0,19
5.0,96.0,19
5.0,97.0,19
5.0,98.0,19
5.0,99.0,19
5.0,100.0,19
5.0,101.0,19
5.0,102.0,19
5.0,103.0,19
5.0,104.0,19
5.0,105.0,19
5.0,106.0,19
5.0,107.0,19
5.0,108.0,19
