obs_id,taxon_name,common_name,subgroup,sample_info,body_part,nutrient,concentration,RDA_percentage,location,season,biblio_id,bibliography,comments_on_data_processing_methods,publication_year,food_item_id,caldata,irondata,zincdata,epadata,dhadata,proteindata,fatdata,data_here
af202,Solea solea,Common sole,Finfish,"Common sole, wild, edible muscle tissue, raw",muscle,calcium,62.5988,5.216566666666667,"Unknown (samples from local fish market, Istanbul)","Winter (Dec 2006, Jan, Feb 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901506,1,1,1,0,0,1,1,5
af203,Solea solea,Common sole,Finfish,"Common sole, wild, edible muscle tissue, raw",muscle,calcium,70.4694,5.872449999999999,"Unknown (samples from local fish market, Istanbul)","Spring (Mar, Apr, May 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901507,1,1,1,0,0,1,1,5
af204,Solea solea,Common sole,Finfish,"Common sole, wild, edible muscle tissue, raw",muscle,calcium,78.7263,6.560524999999999,"Unknown (samples from local fish market, Istanbul)","Summer (Jun, Jul, Aug 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901508,1,1,1,0,0,1,1,5
af205,Solea solea,Common sole,Finfish,"Common sole, wild, edible muscle tissue, raw",muscle,calcium,44.2052,3.6837666666666666,"Unknown (samples from local fish market, Istanbul)","Autumn (Sep, Oct, Nov 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901509,1,1,1,0,0,1,1,5
af206,Mullus surmuletus,Surmullet,Finfish,"Striped red mullet, wild, edible muscle tissue, raw",muscle,calcium,51.8822,4.3235166666666665,"Unknown (samples from local fish market, Istanbul)","Winter (Dec 2006, Jan, Feb 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901510,1,1,1,0,0,1,1,5
af207,Mullus surmuletus,Surmullet,Finfish,"Striped red mullet, wild, edible muscle tissue, raw",muscle,calcium,62.5135,5.209458333333333,"Unknown (samples from local fish market, Istanbul)","Spring (Mar, Apr, May 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901511,1,1,1,0,0,1,1,5
af208,Mullus surmuletus,Surmullet,Finfish,"Striped red mullet, wild, edible muscle tissue, raw",muscle,calcium,52.9022,4.408516666666666,"Unknown (samples from local fish market, Istanbul)","Summer (Jun, Jul, Aug 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901512,1,1,1,0,0,1,1,5
af209,Mullus surmuletus,Surmullet,Finfish,"Striped red mullet, wild, edible muscle tissue, raw",muscle,calcium,60.4496,5.037466666666666,"Unknown (samples from local fish market, Istanbul)","Autumn (Sep, Oct, Nov 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901513,1,1,1,0,0,1,1,5
af210,Merlangius merlangus,Whiting,Finfish,"Whiting, wild, edible muscle tissue, raw",muscle,calcium,73.5713,6.130941666666667,"Unknown (samples from local fish market, Istanbul)","Winter (Dec 2006, Jan, Feb 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901514,1,1,1,0,0,1,1,5
af211,Merlangius merlangus,Whiting,Finfish,"Whiting, wild, edible muscle tissue, raw",muscle,calcium,46.7305,3.8942083333333337,"Unknown (samples from local fish market, Istanbul)","Spring (Mar, Apr, May 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901515,1,1,1,0,0,1,1,5
af212,Merlangius merlangus,Whiting,Finfish,"Whiting, wild, edible muscle tissue, raw",muscle,calcium,58.831,4.902583333333334,"Unknown (samples from local fish market, Istanbul)","Summer (Jun, Jul, Aug 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901516,1,1,1,0,0,1,1,5
af213,Merlangius merlangus,Whiting,Finfish,"Whiting, wild, edible muscle tissue, raw",muscle,calcium,57.394,4.7828333333333335,"Unknown (samples from local fish market, Istanbul)","Autumn (Sep, Oct, Nov 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901517,1,1,1,0,0,1,1,5
af224,Scomberomorus guttatus,Indo-Pacific king mackerel,Finfish,"Seer, wild, skinless, muscle flesh, raw",muscle_skinless,calcium,35.3,2.9416666666666664,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1989,fi98,"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200",NA,1993,0901528,1,1,1,0,0,1,1,5
