obs_id,taxon_name,common_name,subgroup,sample_info,body_part,ca_mg,fe_mg,zn_mg,epa,dha,fat,protein,location,season,biblio_id,bibliography,comments_on_data_processing_methods,publication_year,food_item_id,caldata,irondata,zincdata,epadata,dhadata,proteindata,fatdata,data_here
af128,Sepia officinalis,Common cuttlefish,Mollusc,"Cuttle fish, edible flesh, raw/frozen",NA,NA,NA,NA,0.069,0.156,0.85,NA,Unknown,NA,fi45,"Sirot V., Oseredczuk M., Bemrah-Aouachria N., Volatier J.-L., Leblanc J.-C.(2008). Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. J Food Comp Anal 21: 8-16","FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,0901432,0,0,0,1,1,0,1,3
af129,Pecten maximus,Great Atlantic scallop,Mollusc,"Great scallop, edible flesh, raw/frozen",NA,NA,NA,NA,0.105,0.105,0.8,NA,Unknown,NA,fi45,"Sirot V., Oseredczuk M., Bemrah-Aouachria N., Volatier J.-L., Leblanc J.-C.(2008). Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. J Food Comp Anal 21: 8-16","FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,0901433,0,0,0,1,1,0,1,3
af132,Octopus vulgaris,Common octopus,Mollusc,"Octopus, edible flesh raw/frozen",NA,NA,NA,NA,0.037,0.056,0.36,NA,Unknown,NA,fi45,"Sirot V., Oseredczuk M., Bemrah-Aouachria N., Volatier J.-L., Leblanc J.-C.(2008). Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. J Food Comp Anal 21: 8-16","FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,0901436,0,0,0,1,1,0,1,3
af135,Loligo vulgaris,European squid,Mollusc,"Squid, edible flesh raw/frozen",NA,NA,NA,NA,0.068,0.167,1.33,NA,Unknown,NA,fi45,"Sirot V., Oseredczuk M., Bemrah-Aouachria N., Volatier J.-L., Leblanc J.-C.(2008). Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. J Food Comp Anal 21: 8-16","FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,0901439,0,0,0,1,1,0,1,3
af202,Solea solea,Common sole,Finfish,"Common sole, wild, edible muscle tissue, raw",muscle,62.5988,7.2671,1.1391,NA,NA,1.18,17.95,"Unknown (samples from local fish market, Istanbul)","Winter (Dec 2006, Jan, Feb 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901506,1,1,1,0,0,1,1,5
af203,Solea solea,Common sole,Finfish,"Common sole, wild, edible muscle tissue, raw",muscle,70.4694,6.0642,1.4187,NA,NA,1.62,18.36,"Unknown (samples from local fish market, Istanbul)","Spring (Mar, Apr, May 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901507,1,1,1,0,0,1,1,5
af204,Solea solea,Common sole,Finfish,"Common sole, wild, edible muscle tissue, raw",muscle,78.7263,5.8136,1.4496,NA,NA,1.88,20.2,"Unknown (samples from local fish market, Istanbul)","Summer (Jun, Jul, Aug 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901508,1,1,1,0,0,1,1,5
af205,Solea solea,Common sole,Finfish,"Common sole, wild, edible muscle tissue, raw",muscle,44.2052,15.236,3.5635,NA,NA,1.61,17.25,"Unknown (samples from local fish market, Istanbul)","Autumn (Sep, Oct, Nov 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901509,1,1,1,0,0,1,1,5
af206,Mullus surmuletus,Surmullet,Finfish,"Striped red mullet, wild, edible muscle tissue, raw",muscle,51.8822,9.4846,1.4933,NA,NA,17.37,15.16,"Unknown (samples from local fish market, Istanbul)","Winter (Dec 2006, Jan, Feb 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901510,1,1,1,0,0,1,1,5
af207,Mullus surmuletus,Surmullet,Finfish,"Striped red mullet, wild, edible muscle tissue, raw",muscle,62.5135,5.8733,1.1739,NA,NA,9.71,17.45,"Unknown (samples from local fish market, Istanbul)","Spring (Mar, Apr, May 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901511,1,1,1,0,0,1,1,5
af208,Mullus surmuletus,Surmullet,Finfish,"Striped red mullet, wild, edible muscle tissue, raw",muscle,52.9022,1.8889,1.1905,NA,NA,2.06,18.89,"Unknown (samples from local fish market, Istanbul)","Summer (Jun, Jul, Aug 2007)",fi92,"Özden Ö., Erkan N., Ulusoy Ş. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",NA,2010,0901512,1,1,1,0,0,1,1,5
