number_of_targets,number_of_species,threshold
4.0,1.0,3
4.65,2.0,3
4.85,3.0,3
4.95,4.0,3
4.99,5.0,3
4.99,6.0,3
5.0,7.0,3
5.0,8.0,3
5.0,9.0,3
5.0,10.0,3
5.0,11.0,3
5.0,12.0,3
5.0,13.0,3
5.0,14.0,3
5.0,15.0,3
5.0,16.0,3
5.0,17.0,3
5.0,18.0,3
5.0,19.0,3
5.0,20.0,3
5.0,21.0,3
5.0,22.0,3
5.0,23.0,3
5.0,24.0,3
5.0,25.0,3
5.0,26.0,3
5.0,27.0,3
5.0,28.0,3
5.0,29.0,3
5.0,30.0,3
5.0,31.0,3
5.0,32.0,3
5.0,33.0,3
5.0,34.0,3
5.0,35.0,3
5.0,36.0,3
5.0,37.0,3
5.0,38.0,3
5.0,39.0,3
5.0,40.0,3
5.0,41.0,3
5.0,42.0,3
5.0,43.0,3
5.0,44.0,3
5.0,45.0,3
5.0,46.0,3
5.0,47.0,3
5.0,48.0,3
5.0,49.0,3
5.0,50.0,3
5.0,51.0,3
5.0,52.0,3
5.0,53.0,3
5.0,54.0,3
5.0,55.0,3
5.0,56.0,3
5.0,57.0,3
5.0,58.0,3
5.0,59.0,3
5.0,60.0,3
5.0,61.0,3
5.0,62.0,3
5.0,63.0,3
5.0,64.0,3
5.0,65.0,3
5.0,66.0,3
5.0,67.0,3
5.0,68.0,3
5.0,69.0,3
5.0,70.0,3
5.0,71.0,3
5.0,72.0,3
5.0,73.0,3
5.0,74.0,3
5.0,75.0,3
5.0,76.0,3
5.0,77.0,3
5.0,78.0,3
5.0,79.0,3
5.0,80.0,3
5.0,81.0,3
5.0,82.0,3
5.0,83.0,3
5.0,84.0,3
5.0,85.0,3
5.0,86.0,3
5.0,87.0,3
5.0,88.0,3
5.0,89.0,3
5.0,90.0,3
5.0,91.0,3
5.0,92.0,3
5.0,93.0,3
5.0,94.0,3
5.0,95.0,3
5.0,96.0,3
5.0,97.0,3
5.0,98.0,3
5.0,99.0,3
5.0,100.0,3
5.0,101.0,3
5.0,102.0,3
5.0,103.0,3
5.0,104.0,3
5.0,105.0,3
5.0,106.0,3
5.0,107.0,3
5.0,108.0,3
