species_name,accepted_name,avg_length,length,slmax,length_source,feedingtype,foodtroph,feeding_habit,ref_info,bibliography,biblioid2,seanuts_id2,food_item_id_2,food_name_clean,database,nutrient_ref,genus_species,subgroup,prot_g,protcnt_g,protein_g,fat_g,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,tl,length_from_study,length_source,abs_lat,latitude,slmax_nov28,slmax_source,lwa,lwb,country_region,isscaap_cat,isscaap,season,asfis_scientific_name_fishbase_swap_in_progress,season_x,season_y,herbivory2,herbivoryref,,feedingtyperef,diettroph,dietsetroph,,foodsetroph,isotroph,isosetroph,ecotroph,ecosetroph,stockcode,speccode_x,speccode_y,genus,species,fbname,subfamily,demerspelag,anacat,depthrangeshallow,depthrangedeep,ltypemaxm,ltypemaxf,ltypecomm,ltypecomf,commonlength,commonlengthf,commonlengthref,weight,weightfemale,maxweightref,sp2000_hierarchycode,reference,fresh,marine,brackishwater,brack,lengthfemale,maxlengthref,notes,weight_from_study,mar_fresh,wild_farmed,body_parts_included_excluded,included_excluded,x20,vit_a_iu,k_mg,mg_mg,x32
Acanthina monodon,,,3,,http://www.eol.org/pages/3118774/data,,,,"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",NA,NA,1723,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,93,3.54,2.52,NA,NA,NA,NA,-53.5,NA,NA,NA,NA,NA,NA,NA,9/1/2001,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aequipecten opercularis,,,,11,http://www.sealifebase.org/Ecology/FishEcologySummary.php?StockCode=39024&GenusName=Aequipecten&SpeciesName=opercularis,mainly plants/detritus (troph. 2-2.19),,,"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685","King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",fi177,1568,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aequipecten opercularis,Spring,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anadara broughtonii,,,10.7,,http://www.eol.org/pages/4726160/data,,,,"Watanabe F., Katsura H., Takenaka S., Enomoto T., Miyamoto E., Nakatsuka T., Nakano Y. (2001) Characterization of Viatmin B12 compounds from edibe shellfish, clam, oyster and mussel. International Journal of Food Sciences and Nutrition 52: 263 - 268","Watanabe F., Katsura H., Takenaka S., Enomoto T., Miyamoto E., Nakatsuka T., Nakano Y. (2001) Characterization of Viatmin B12 compounds from edibe shellfish, clam, oyster and mussel. International Journal of Food Sciences and Nutrition 52: 263 - 268",fi230,1627,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anadara broughtonii,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apostichopus californicus,,7.5,,,http://www.sealifebase.org/Ecology/FishEcologySummary.php?StockCode=100213&GenusName=Apostichopus&SpeciesName=californicus,plants/detritus+animals (troph. 2.2-2.79),,,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,fi195,1635,NA,NA,NA,NA,NA NA,mollusc,10.6,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apostichopus californicus,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argopecten irradians,,,7.5,7.5,http://www.sealifebase.org/summary/Argopecten-irradians.html,filtering plankton,,,"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685","King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",fi177,1570,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argopecten irradians,Spring,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristaeomorpha foliacea,,,6.3,,http://www.sealifebase.org/summary/Aulacomya-ater.html,,,,"Eckhoff K.M., Maage A. (1997). Iodine content in fish and other food products from East Africa analyzed by ICP-MS. Journal of Food Composition and Analysis 10: 270-282","Eckhoff K.M., Maage A. (1997). Iodine content in fish and other food products from East Africa analyzed by ICP-MS. Journal of Food Composition and Analysis 10: 270-282",fi118,1643,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aristaeomorpha foliacea,Nov-Dec 1993,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristeus antennatus,,,NA,NA,,NA,NA,,"Karakoltsidis, P. A., Zotos, A., & Constantinides, M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis, 8, 258–273.",NA,NA,1677,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karakoltsidis, P. A., Zotos, A., & Constantinides, M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis, 8, 258–273.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aulacomya ater,,,NA,NA,,NA,NA,,"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",NA,NA,1724,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,102,2.25,4.62,NA,NA,NA,NA,-53.5,NA,NA,NA,NA,NA,NA,NA,9/1/2001,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bivalvia,,,NA,NA,,NA,NA,,"Ifon E.T., Umoh I.B. (1987). Biochemical and nutritional evaluation of Egreria radiata (Clam), a delicacy of some riverine peasant populations in Nigeria. Food Chemistry 24: 21-27","Ifon E.T., Umoh I.B. (1987). Biochemical and nutritional evaluation of Egreria radiata (Clam), a delicacy of some riverine peasant populations in Nigeria. Food Chemistry 24: 21-27",fi224,1630,NA,NA,NA,NA,NA NA,mollusc,NA,11.285,NA,3.663,NA,NA,NA,NA,NA,1.18955,4.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bivalvia,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calappa granulata,,,,10,http://www.sealifebase.org/summary/Calappa-granulata.html,mainly animals (troph. 2.8 and up),3.94,,"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",NA,NA,2016,NA,shamefaced crab,NA,NA,NA,crustacean,NA,NA,10.78,0.64,NA,NA,NA,NA,375.9,NA,15.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aegean Sea,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fat and protein expressed in %, minerals expressed in mg/kg, and I've converted them to appropriate units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
