"species_name","subgroup","calcium","zinc","iron","epa","dha"
"Microstomus pacificus","finfish",14.5333,0.388767,0.213333,0.08,0.09
"Mugil cephalus","finfish",15.7,2.2,0.8,0.14951,0.108088
"Mullus surmuletus","finfish",56.9369,1.7376,7.45628,0.348,0.669
"Mya spp","mollusc",172,3.9,2.5,0.2,0.1
"Mytilus edulis","mollusc",55.5,1.3,9.5,0.1,0.1
"Mytilus galloprovincialis","mollusc",59.2118,2.67412,4.28059,0.259369,0.171158
"Nephrops norvegicus","crustacean",85.9,1.51,2.96294,0.0372172,0.0446645
"Octopus vulgaris","mollusc",32.75,1.77,3.9282,0.0512285,0.0897178
"Ompok pabda","finfish",91,0.9,0.46,0.068,0.1
"Oncorhynchus gorbuscha","finfish",29,0.67,0.8,0.228053,0.506753
"Oncorhynchus mykiss","finfish",57.165,0.66,1.475,0.02513,0.231196
"Oncorhynchus tshawytscha","finfish",26,0.44,0.3,0.44,0.55
"Oncorhyncus spp","finfish",6,0.5,0.9,0.2,0.3
"Oreochromis niloticus","finfish",339.667,4.1,1.95333,0.0453887,0.125847
"Pagellus bogaraveo","finfish",57.3333,0.291667,0.16,0.018,0.217333
"Pampus argenteus","finfish",26.3,1.08,0.42,0.0210906,0.486114
"Pangasianodon hypophthalmus","finfish",8.6,0.65,0.69,0.013,0.037
"Pangasianodon hypophthalmus (juvenile)","finfish",59,1.1,2.7,0.038,0.06
"Parastromateus niger","finfish",23.8,1.1,0.8,0.127432,0.230263
"Patagonotothen ramsayi","finfish",8.635,0.6825,0.3265,0.0971383,0.263542
"Penaeus monodon","crustacean",25.9,1.73,3.07,8.58,14.9
"Perca flavescens","finfish",2.99,0.135388,0.09,0.000385,0.0565033
"Perca fluviatilis","finfish",32.47,0.520036,0.1425,0.118072,0.321757
"Pleuronectes platessa","finfish",28,0.48,0.19,0.174054,0.158102
"Pollachius virens","finfish",10,0.38,0.25,0.0714418,0.213582
"Pomacea canaliculata","mollusc",444,6.9,48,0.000668,0.00071
"Portunus pelagicus","crustacean",116.375,3.325,0.47,0.089116,0.0739906
"Psetta maxima","finfish",30.5,0.12,3.485,0.0941512,0.268545
"Puntius sophore","finfish",887.4,4.105,7.25,0.04,0.086
"Rastrelliger kanagurta","finfish",30.3,2.3,1.3,0.193181,0.593459
"Salvelinus fontinalis","finfish",7.9,0.8,0.255,0.16,0.415
"Salvelinus namaycush","finfish",10.2571,0.542857,0.287143,0.146667,0.433333
"Salvelinus naresi","finfish",9,0.5,0.7,0.4,0.2
"Sander lucioperca","finfish",57.5333,0.67162,0.19,0.0205856,0.0471664
"Sarda sarda","finfish",47.8158,0.982083,6.18417,0.320979,0.152119
"Sardinella fimbriata","finfish",51.4,1.6,1.1,0.117971,0.469173
"Sardinella sp.","finfish",398.52,1.56702,1.83,0.00405617,0.0326811
"Sebastes caurinus","finfish",13,0.31,0.2,0.191175,0.313808
"Sepia officinalis","mollusc",24.7,1.77,3.71025,0.116538,0.214477
"Silurus glanis","finfish",25.5,0.703333,0.6,0.129915,0.214243
"Solea solea","finfish",63.9999,1.89272,8.59522,0.0280483,0.0871838
"Stenodus leucichthys","finfish",10,0.3,0.4,0.2,0.2
"Tenualosa ilisha","finfish",67.9036,1.75,1.55,1.2,0.31
"Tenualosa ilisha (juvenile)","finfish",500,1.8,2.5,0.43,0.23
"Theragra chalcogramma","finfish",12.3667,0.3887,0.193333,0.04919,0.106416
"Thunnus alalunga","finfish",18,0.5,0.6,0.31654,0.91084
"Thymallus arcticus","finfish",31,0.7,1,0.0735,0.184778
"Tilapia pra","finfish",621.6,1.3209,0.83,0.0391667,0.133167
"Tinca tinca","finfish",63,1.1,0.85,0.0371159,0.0715898
"Trachurus trachurus","finfish",235.209,2.00634,7.29,0.276006,0.565015
"Xiphias gladius","finfish",39,1.3,1.2,0.754083,1.53818
