pdf,ref,ref_number,reference
y,y,1,"Morrison N, Kuhnlein HV: Retinol content of wild foods consumed by the Sahtu (Hareskin) Dene/Metis. Journal of Food Composition and Analysis 1993, 6:10-23."
y,y,2,"Blanchet C: Contribution of selected traditional and market foods to the diet of Nunavik Inuit women. Canadian Journal of Dietetic Practice and Research 2000, 61:50-58."
y,y,3,"Belinsky D, Kuhnlein HV: Macronutrient, mineral, and fatty acid composition of Canada Goose (Branta canadensis): an important traditional food resource of the Eastern James Bay Cree of Quebec. Journal of Food Composition and Analysis 2000, 13:101-115."
y,y,4,"Kuhnlein HV, Soueida R: Use and nutrient composition of traditional Baffin Inuit foods. Journal of Food Composition and Analysis 1992, 5:112-126."
y,y,5,"Kuhnlein HV: The joys and pains of sampling and analysis of traditional food of Indigenous People. Journal of Food Composition and Analysis 2000, 13:649-658."
y,y,6,"Kuhnlein HV: Finding food sources of vitamin A and provitamin A. Food and Nutrition Bulletin 2000, 21(2):130-134."
n,y,7,"Nobmann E: Nutrient Value of Alaska Native Foods. Anchorage, Alaska: U.S. Department of Health and Human Services, Indian Health Service, Alaska Area Native Health Service; 1993."
y,y,8,"Nettleton JA, Exler J: Nutrients in wild and farmed fish and shellfish. Journal of Food Science 1992, 57:257-260."
n,y,9,"Synowiecki J, Shahidi F, Penney RW: Nutrient composition of meat and uptake of carotenoids by Arctic char (Salvelinus alpinus). Journal of Aquatic Food Product Technology 1993, 2:37-58."
n,n,10,"McCance RA, Widdowson EM: The Composition of Foods. 5th Edition. The Royal Society of Chemistry; 1991."
n,n,11,"Mann GV, Scott EM, et al.: The health and nutritional status of Alaskan Eskimos. Am J Clin Nutr 1962, 11:31-76."
n,y,12,"Reeves JB, Weihrauch JL: Composition of Foods: Fats and Oils - Raw, Processed, Prepared: United States Department of Agriculture; 1979."
n,y,13,"Exler, J: Composition of Foods: Finfish and Shellfish Products - Raw, Processed, Prepared: United States Department of Agriculture; 1987."
n,n,14,"Anderson, BA: Composition of Foods: Lamb, Veal, and Game Products- Raw, Processed, Prepared: United States Department of Agriculture; 1989."
n,n,15,"Pennington JAT: Bowes and Church's Food Values of Portions Commonly Used, vol. 15. Philadelphia: J.B. Lippincott Company; 1989."
n,y,16,"Fristrom GA, Weihrauch JL: Comprehensive evaluation of fatty acids in foods. IX. Fowl. J Amer Diet Assoc 1976, 69:517-522."
n,n,17,"Salisbury CDC, Fesser ACE, MacNeil JD, Patterson JR, Adamczewski JZ, Flood PF, Gunn A: Trace metal and pesticide levels in muskoxen from Victoria Island, Northwest Territories, Canada. Int J Environ Anal Chem 1992, 48:209-215."
n,n,18,"Geraci JR, Smith TG: Vitamin C in the diet of Inuit hunters from Holman, Northwest Territories. Arctic 1979, 32(2):135-139."
y,y,19,"Drury HM: Nutrients in native soods of southeastern Alaska. Journal of Ethnobiology 1985, 5(2):87-100."
y,y,20,"Appavoo DM, Kubow S, Kuhnlein HV: Lipid composition of Indigenous foods eaten by the Sahtu (Hareskin) Dene-Metis of the Northwest Territories. Journal of Food Composition and Analysis 1991, 4:107-119."
n,n,21,Medical Services Branch Canada: Native Foods and Nutrition: An Illustrated Reference Resource. Ottawa: Minister of National Health and Welfare; 1985.
na,na,22,"Vanderstoep J, Weintraub S, Barber K: Nutritional composition of British Columbia canned salmon. Canadian Institute of Food Science and Technology Journal 1990, 23(2-3):121-124."
n,y,23,"Hepburn FN, Exler J, Weihrauch JL: Provisional tables on the content of omega-3 fatty acids and other fat components of selected foods. Journal of the American Dietetic Association 1986, 86(6):788-793."
y,y,24,"Kuhnlein HV, Appavoo DM, Morrison N, Soueida R, Pierrot P: Use and nutrient composition of traditional Sahtu (Hareskin) Dene/Metis food. Journal of Food Composition and Analysis 1994, 7:144-157."
na,na,25,"Wander RC, Patton BD: Lipids and fatty acids of three species of northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis 1991, 4(2):128-135."
na,na,26,"Sikorski ZE: Seafood: Resources, Nutritional Composition, and Preservation. Florida: CRC Press; 1990."
y,y,27,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981."
na,na,28,"Porter PJ, Kramer DE, Kennish JM: Lipid composition of light and dark flesh from sockeye salmon. International Journal of Food Science & Technology 1992, 27(4):365-369."
na,na,29,"Rodahl K: Preliminary survey of dietary intakes and blood levels of cholesterol and the occurrence of cardiovascular disease in the Eskimo. Norsk Polarinstitott Skr 1954, 102:31-51."
