sciname,Genus,Species,SpeciesRefNo,Author,FBname,PicPreferredName,PicPreferredNameM,PicPreferredNameF,PicPreferredNameJ,FamCode,Subfamily,Source,AuthorRef,Remark,TaxIssue,Fresh,Brack,Saltwater,DemersPelag,AnaCat,MigratRef,DepthRangeShallow,DepthRangeDeep,DepthRangeRef,DepthRangeComShallow,DepthRangeComDeep,DepthComRef,LongevityWild,LongevityWildRef,LongevityCaptive,LongevityCapRef,Vulnerability,Length,LTypeMaxM,LengthFemale,LTypeMaxF,MaxLengthRef,CommonLength,LTypeComM,CommonLengthF,LTypeComF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Pic,PictureFemale,LarvaPic,EggPic,ImportanceRef,Importance,PriceCateg,PriceReliability,Remarks7,LandingStatistics,Landings,MainCatchingMethod,II,MSeines,MGillnets,MCastnets,MTraps,MSpears,MTrawls,MDredges,MLiftnets,MHooksLines,MOther,UsedforAquaculture,LifeCycle,AquacultureRef,UsedasBait,BaitRef,Aquarium,AquariumFishII,AquariumRef,GameFish,GameRef,Dangerous,DangerousRef,Electrogenic,ElectroRef,Complete,GoogleImage,Comments,Profile,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS,Land,ASFA,Synopsis,DateSynopsis,Flag,VancouverAquarium,Sp2000_NameCode,Sp2000_HierarchyCode,Sp2000_AuthorRefNumber,E_Append,E_DateAppend,SpecCode
Trichogaster microlepis,Mitrella,dorma,19,"Baker, Hanna, & Strong, 1938",NA,NA,NA,NA,NA,2000,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:32.000Z,0,NA,NA,NA,NA,0,ITS-73582,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,NA,NA,4729
Channa marulius,Trophonopsis,muricatus,3477,"(Montagu, 1803)",NA,NA,NA,NA,NA,2011,NA,O,NA,NA,0,0,0,1,benthic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,247,2015-03-19T00:00:00.000Z,NA,NA,2015-05-11T10:21:05.000Z,0,NA,NA,NA,NA,0,ITS-73378,Animalia-Mollusca-Gastropoda-Neogastropoda,NA,NA,NA,5144
Parambassis wolffii,Ctenoscia,minima,19,"(Dollfus, 1892)",NA,NA,NA,NA,NA,572,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:04.000Z,0,NA,NA,NA,NA,0,ITS-594918,Animalia-Arthropoda-Malacostraca-Isopoda,NA,NA,NA,16235
Helostoma temminkii,Elasmias,wakefieldiae,19,"(Cox, 1868)",NA,NA,NA,NA,NA,2138,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:10.000Z,0,NA,NA,NA,NA,0,AFD-Pul-651,Animalia-Mollusca-Gastropoda-Pulmonata,AFD-Pul-0039,NA,NA,500
Cyclocheilichthys apogon,Anilocra,apogonae,19,"Bruce, 1987",NA,NA,NA,NA,NA,526,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2008-06-24T00:00:00.000Z,NA,NA,2015-05-11T10:19:43.000Z,0,NA,NA,NA,NA,0,ITS-542944,Animalia-Arthropoda-Malacostraca-Isopoda,NA,NA,NA,10313
Dermogenys pusilla,Cilicaeopsis,obesa,19,"Baker, 1926",NA,NA,NA,NA,NA,593,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,Inhabits shallow waters (Ref. 3113).,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:19:59.000Z,0,NA,NA,NA,NA,0,ITS-543665,Animalia-Arthropoda-Malacostraca-Isopoda,NA,NA,NA,11298
Parambassis ranga,Bellibos,monicae,3113,"(Chardy, 1975)",NA,NA,NA,NA,NA,534,NA,O,NA,NA,0,0,0,0,NA,NA,NA,2864,4270,3113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,4,2005-12-11T00:00:00.000Z,4,2008-06-24T00:00:00.000Z,NA,NA,2015-05-11T10:19:50.000Z,0,NA,NA,NA,NA,0,ITS-542626,Animalia-Arthropoda-Malacostraca-Isopoda,NA,NA,NA,10130
Oreochromis niloticus,Phoronis,hippocrepia,997,"Wright, 1856",NA,NA,NA,NA,NA,4536,NA,NA,NA,NA,0,0,0,1,benthic,NA,997,0,55,83939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,This is a benthic species found on rocky bottoms particularly in intertidal and subtidal areas (Ref. 83938).,NA,5,2005-10-15T00:00:00.000Z,228,2011-09-05T00:00:00.000Z,173,2011-09-05T00:00:00.000Z,2015-05-11T10:20:45.000Z,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2
Barbonymus altus,Oxyurella,tenuicaudis,19,"(Sars, 1862)",NA,NA,NA,NA,NA,260,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:40.000Z,0,NA,NA,NA,NA,0,ITS-84064,Animalia-Arthropoda-Branchiopoda-Diplostraca,NA,NA,NA,8171
Puntioplites proctozystron,Cordioniscus,patrizii,19,"Brian, 1955",NA,NA,NA,NA,NA,598,NA,O,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2005-12-11T00:00:00.000Z,NA,2005-12-11T00:00:00.000Z,NA,NA,2015-05-11T10:20:02.000Z,0,NA,NA,NA,NA,0,ITS-594886,Animalia-Arthropoda-Malacostraca-Isopoda,NA,NA,NA,16203
