ref_info,seanuts_id2,notes,food_name_clean,species_name,length_from_study,weight_from_study,length_source,season,country_region,abs_lat,Mar_fresh,wild_farmed,subgroup,body_parts_included_excluded,included_excluded,protein_g,fat_g,X20,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,vit_a_IU,K_mg,mg_mg,tl,X32,latitude,slmax,isscaap_cat
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1855,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Epinephelus spp,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.1,1,2.6,379.3,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1856,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Euthynnus affinis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,7.12,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1857,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Katsuwonus pelamis,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.3,2.8,2.7,3.3,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1858,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Leiognathus splendens,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.8,2.5,2.2,2.9,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1859,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Nemipterus japonicus,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1860,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Rastrelliger kanagurta,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1861,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Sardinella longiceps,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,523.9,4,7.8,346.4,NA,NA,NA,NA,NA,NA,NA
"Sankar, T. V., Anandan, R., Mathew, S., Asha, K. K., Lakshmanan, P. T., Varkey, J., ... & Mohanty, B. P. (2013). Chemical composition and nutritional value of Anchovy (Stolephorus commersonii) caught from Kerala Coast, India. Eur. J. Exp. Biol, 3(1), 85-89.",1862,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Stolephorus commersonii,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,4,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1863,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Stolephorus waitei,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,6,NA,NA,NA,NA,NA,NA,NA,NA
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1864,"latitude approximate, assumed all samples came from Kolkata, West Bengal",NA,Thunnus albacares,NA,NA,NA,NA,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,7.05,NA,NA,NA,NA,NA,NA,NA,NA
