asfis_scientific_name,food_name_in_english,taxonkey,lwa,lwb,slmax,slmax_nov28,slmax_source,tl,tl_se,tl_nov28,tlse_nov28,number,sci_name,food_item_id,subgroup,country_region,type,isscaap,isscaap_cat,habitat,x3_alpha,food_name_in_own_language,processing,asfis_english_name,season,other,latitude,abs_lat,length_from_study,length_3,n_x,water_g,fat_g,fatce_g,fat_g_2,fasat_g,fams_g,fapu_g,faun_g,fatrn_g,facid_g,fapun3_g,fapun6_g,fapun9_g,epa_g,dha_g,food_item_id_2,max_length_study,comments_on_data_processing_methods_y,publication_year,biblioid_y,compiler,edible,enerc_kj_original,enerc_kcal_original,enera_kcal,dm_g,water_g_2,xn,nt_g,protcnt_g,protcnp_g,prot_g,npro_g,nnp_mg,fat_g_3,fatce_g_2,fat_g_1,fasat_g_2,fams_g_2,fapu_g_2,faun_g_2,ca_mg,fe_mg,id_mcg,k_mg,mg_mg,mn_mg,se_mcg,hg_mcg,pb_mcg,sr_mcg,retol_mcg,retol13_mcg,retoldh_mcg,retolsum_mcg,carta_mcg,cartb_mcg,atx_mcg,zea_mcg,cartoid_mcg,chocal_mcg,tocpha_mg,vitb6a_mg,vitb12_mcg,vitc_mg,zn_mg,food_name_clean,database,nutrient_ref,biblioid
Abramis brama,"Bream, wild, skinless fillet, raw",NA,0.00871,3.14,82.0,NA,NA,2.9,0.4,NA,NA,3,Abramis brama,900159,Finfish,"Greece, Evros River",W,11,"Carps, barbels and other cyprinids",freshwater,FBM,NA,r,Freshwater bream,Summer 1988,"mean length and weight: 30cm, 400g",41.53,41.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900159,30.0,NA,1989,fi32,DR,NA,NA,NA,NA,NA,78,6.25,NA,19.0,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,53.0,0.6,NA,570.0,69.0,0.09,NA,6,8,nd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,Bream_wild_skinless_fillet_raw,NA,NA,NA
Abramis brama,"Bream, wild, skinless fillet, raw",NA,0.00871,3.14,82.0,NA,NA,2.9,0.4,NA,NA,7,Abramis brama,900158,Finfish,"Greece, Evros River",W,11,"Carps, barbels and other cyprinids",freshwater,FBM,NA,r,Freshwater bream,Summer 1987,"mean length and weight: 36cm, 500g",41.53,41.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900158,36.0,NA,1989,fi32,DR,NA,NA,NA,NA,NA,78,6.25,NA,20.0,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,52.0,0.7,NA,540.0,62.0,0.11,NA,14,13,nd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,Bream_wild_skinless_fillet_raw,NA,NA,NA
Abramis brama,"Common bream, wild, skinless fillet, raw",NA,0.00871,3.14,82.0,NA,http://www.fishbase.org/summary/Abramis-brama.html,2.9,0.4,NA,NA,1,Abramis abramis,900684,Finfish,"Germany, Usedom, Baltic Sea",W,11,"Carps, barbels and other cyprinids",marine,FBM,NA,r,Freshwater bream,03-Jul,"fishing areas: North Atlantic, North Sea, Barents Sea, Baltic Sea",53.875369,53.875369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900684,NA,NA,2006,fi105,DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,Common_bream_wild_skinless_fillet_raw,NA,NA,NA
Abramis brama,"Bream, wild, dorsal muscle, raw",NA,0.00871,3.14,82.0,NA,NA,2.9,0.4,NA,NA,2,Abramis brama,900123,Finfish,"Poland, Kisajno Lake",W,11,"Carps, barbels and other cyprinids",freshwater,FBM,NA,r,Freshwater bream,Jun-97,"mean length and weight: 33.2cm, 444.1g",54.084241,54.084241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900123,33.2,Minerals given per DM - conversion to FW,2009,fi26,DR,NA,NA,NA,NA,NA,78.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,0.17,NA,481.79,20.41,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39294,Bream_wild_dorsal_muscle_raw,NA,NA,NA
Abramis brama,"Bream, wild, dorsal muscle, raw",NA,0.00871,3.14,82.0,NA,NA,2.9,0.4,NA,NA,4,Abramis brama,900122,Finfish,"Poland, Niegocin Lake",W,11,"Carps, barbels and other cyprinids",freshwater,FBM,NA,r,Freshwater bream,Jun-97,"mean length and weight: 31.6cm, 361.3g",54.00394,54.00394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900122,31.6,Minerals given per DM - conversion to FW,2009,fi26,DR,NA,NA,NA,NA,NA,80.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.92,0.21,NA,448.2,19.74,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.373252,Bream_wild_dorsal_muscle_raw,NA,NA,NA
Abramis brama,"Bream, wild, dorsal muscle, raw",NA,0.00871,3.14,82.0,NA,NA,2.9,0.4,NA,NA,5,Abramis brama,900124,Finfish,"Poland, Dargin Lake",W,11,"Carps, barbels and other cyprinids",freshwater,FBM,NA,r,Freshwater bream,Jun-97,"mean length and weight: 38.0cm, 607.6g",54.117096,54.117096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900124,38.0,Minerals given per DM - conversion to FW,2009,fi26,DR,NA,NA,NA,NA,NA,78.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.46,0.18,NA,306.26,19.17,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.372708,Bream_wild_dorsal_muscle_raw,NA,NA,NA
Abramis brama,"Bream, wild, dorsal muscle, raw",NA,0.00871,3.14,82.0,NA,NA,2.9,0.4,NA,NA,6,Abramis brama,900125,Finfish,"Poland, Dargin Lake",W,11,"Carps, barbels and other cyprinids",freshwater,FBM,NA,r,Freshwater bream,Jun-97,"mean length and weight: 50.5cm, 1557.9g",54.117096,54.117096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900125,50.5,Minerals given per DM - conversion to FW,2009,fi26,DR,NA,NA,NA,NA,NA,78.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.11,0.19,NA,448.55,18.29,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36618,Bream_wild_dorsal_muscle_raw,NA,NA,NA
Abramis brama,"Bream, wild, skinless, boneless fillet, raw",NA,0.00871,3.14,82.0,NA,NA,2.9,0.4,NA,NA,8,Abramis brama,900225,Finfish,"Greece, Evros River",W,11,"Carps, barbels and other cyprinids",freshwater,FBM,NA,r,Freshwater bream,Jul-Aug 1987,mean weight of fish: 380g,41.53,41.53,NA,NA,NA,78,1.0,NA,NA,0.24016,NA,NA,NA,NA,NA,0.25122,0.08453,NA,0.09322,0.12087,900225,NA,FA converted using XFA,1991,fi47,DR,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bream_wild_skinless_boneless_fillet_raw,NA,NA,NA
Abramis spp,"Bream, wild, skinless fillet, raw",NA,0.00871,3.14,82.0,NA,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=268&AT=Freshwater+bream,2.9,0.4,NA,NA,9,Abramis sp.,902192,Finfish,"Finland, Baltic Sea",W,11,"Carps, barbels and other cyprinids",marine,FBR,NA,r,Freshwater breams nei,May-93,NA,61.92411,61.92411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902192,NA,NA,1995,fi122,DR,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,NA,NA,NA,NA,NA,Bream_wild_skinless_fillet_raw,NA,NA,NA
Ageneiosus brevifilis,"Manduba, wild, skinless fillet, raw",NA,0.0055,3.19,59.0,NA,http://www.fishbase.org/summary/Ageneiosus-inermis.html,4.0,0.66,NA,NA,10,Ageneiosus brevifilis,900073,Finfish,"Brazil, Miranda River",W,13,Miscellaneous freshwater fishes,freshwater,GNR,Palmito,r,Manduba,NA,"mean length and weight of fish: 39cm, 580g",-19.427757,19.427757,39.0,59319.0,1,80.74,0.36,NA,NA,0.086469732,0.065149092,0.047293056,0.043222752,NA,NA,0.02495484,0.022362444,NA,0.001647504,0.021005676,900073,39.0,FA converted using XFA,2008,fi8,DR,NA,312.1,NA,NA,NA,80.74,NA,NA,17.77,NA,NA,NA,NA,0.36,NA,NA,0.09,0.07,0.05,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manduba_wild_skinless_fillet_raw,NA,NA,NA
