ref_info,updated_ref_info,seanuts_id2,species_name,nutrient,concentration,country_region,latitude_details,latitude,longitude,weight_from_study_g,length_from_study,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1709,Mytilus galloprovincialis,ca_mg,40,"Galicia, Spain",,42.229142,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1710,Mytilus galloprovincialis,ca_mg,37,"Ebro Delta, Spain",,40.422601,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1711,Mytilus galloprovincialis,ca_mg,82,"Valencia, Spain",,39.469907,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1709,Mytilus galloprovincialis,fat_g,1.4,"Galicia, Spain",,42.229142,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1710,Mytilus galloprovincialis,fat_g,1.7,"Ebro Delta, Spain",,40.422601,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1711,Mytilus galloprovincialis,fat_g,2.1,"Valencia, Spain",,39.469907,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1709,Mytilus galloprovincialis,fe_mg,1,"Galicia, Spain",,42.229142,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1710,Mytilus galloprovincialis,fe_mg,2.1,"Ebro Delta, Spain",,40.422601,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1711,Mytilus galloprovincialis,fe_mg,2.9,"Valencia, Spain",,39.469907,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1709,Mytilus galloprovincialis,protein_g,10,"Galicia, Spain",,42.229142,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1710,Mytilus galloprovincialis,protein_g,6.5,"Ebro Delta, Spain",,40.422601,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1711,Mytilus galloprovincialis,protein_g,10,"Valencia, Spain",,39.469907,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1709,Mytilus galloprovincialis,zn_mg,2.3,"Galicia, Spain",,42.229142,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1710,Mytilus galloprovincialis,zn_mg,2,"Ebro Delta, Spain",,40.422601,,,,
"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",,1711,Mytilus galloprovincialis,zn_mg,1.76,"Valencia, Spain",,39.469907,,,,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",,1275,Cyprinus carpio,dha,42.229142,"The fish studied were purchased fresh from fish markets in Maringa, Parana, Brazil",,-23.421,-51.933056,,,
