Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,user_supplied_name,submitted_name,data_source_title,score,realm
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,Abramis brama,Abramis brama,FishBase,0.988,freshbrack
Acipenser fulvescens,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,Acipenser fulvescens,Acipenser fulvescens,FishBase,0.988,freshbrack
Acipenser oxyrinchus,15.11111111111111,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.325,subtropical,elongated,demersal,46,403,Acipenser oxyrinchus,Acipenser oxyrinchus,FishBase,0.988,freshbrackmarine
Albatrossia pectoralis,5.666666666666667,mainly animals (troph. 2.8 and up),variable,3.86,deep-water,elongated,bathydemersal,3500,210,Albatrossia pectoralis,Albatrossia pectoralis,FishBase,0.988,marine
Alosa alosa,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,temperate,fusiform / normal,pelagic-neritic,300,69,Alosa alosa,Alosa alosa,FishBase,0.988,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,Alosa pseudoharengus,Alosa pseudoharengus,FishBase,0.988,freshbrackmarine
Alosa sapidissima,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,Alosa sapidissima,Alosa sapidissima,FishBase,0.988,freshbrackmarine
Ameiurus nebulosus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,subtropical,fusiform / normal,demersal,40,55,Ameiurus nebulosus,Ameiurus nebulosus,FishBase,0.988,fresh
Amia calva,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,subtropical,elongated,demersal,NA,109,Amia calva,Amia calva,FishBase,0.988,fresh
Anarhichas lupus,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,temperate,elongated,demersal,600,150,Anarhichas lupus,Anarhichas lupus,FishBase,0.988,marine
Anguilla anguilla,8.833333333333334,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.67,temperate,eel-like,demersal,700,121.5,Anguilla anguilla,Anguilla anguilla,FishBase,0.988,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,Anguilla rostrata,Anguilla rostrata,FishBase,0.988,freshbrackmarine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,Anoplopoma fimbria,Anoplopoma fimbria,FishBase,0.988,marine
Aphanopus carbo,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.48,deep-water,eel-like,bathypelagic,2300,151,Aphanopus carbo,Aphanopus carbo,FishBase,0.988,marine
Arnoglossus laterna,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.490000009536743,subtropical,fusiform / normal,demersal,200,25,Arnoglossus laterna,Arnoglossus laterna,FishBase,0.988,marine
Arripis trutta,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.7,subtropical,fusiform / normal,pelagic-neritic,39,89,Arripis trutta,Arripis trutta,FishBase,0.988,brackmarine
Atheresthes stomias,5.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,polar,short and / or deep,demersal,950,84,Atheresthes stomias,Atheresthes stomias,FishBase,0.988,marine
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,Atherina boyeri,Atherina boyeri,FishBase,0.988,freshbrackmarine
Auxis rochei,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.4,tropical,fusiform / normal,pelagic-neritic,NA,50,Auxis rochei,Auxis rochei,FishBase,0.988,brackmarine
Bagrus docmak,2.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.08,tropical,fusiform / normal,benthopelagic,80,127,Bagrus docmak,Bagrus docmak,FishBase,0.988,fresh
Belone belone,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,temperate,elongated,pelagic-oceanic,NA,103.5,Belone belone,Belone belone,FishBase,0.988,brackmarine
Boreogadus saida,2.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27,polar,elongated,demersal,400,40,Boreogadus saida,Boreogadus saida,FishBase,0.988,brackmarine
