Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,DemersPelag,DepthRangeDeep,Length,user_supplied_name,submitted_name,score,exclude,realm,obs_id,taxize_name,subgroup,common_name,body_part,food_name_in_english,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,biblio_id,location,season,comments_on_data_processing_methods,publication_year,food_item_id
Carcinus maenas,2,mainly animals (troph. 2.8 and up),browsing on substrate,3.15,subtropical,benthic,200,6,Carcinus maenas,Carcinus maenas,0.988,NA,brackmarine,bc998,Carcinus maenas,Crustacean,Green crab,NA,"Green crab, wild, claw meat, raw",NA,NA,NA,0.154,0.115,16.8,0.5,fi164,"USA, ME, Atlantic Ocean, Gulf of Maine",Nov 2000,NA,2002,0901017
Eriocheir sinensis,2,plants/detritus+animals (troph. 2.2-2.79),NA,2.85,temperate,benthic,25,7.5,Eriocheir sinensis,Eriocheir sinensis,0.988,NA,freshbrackmarine,bc1145,Eriocheir sinensis,Crustacean,Chinese mitten crab,NA,"Chinese mitten crab, farmed, female, lake-stocked, gonads, raw",NA,NA,NA,0.3995568,0.249723,34.66,17.7,fi218,"China, Hubei province, Jingxingyue Lake",Nov 2002,FA converted using XFA,2007,0901184
Eriocheir sinensis,2,plants/detritus+animals (troph. 2.2-2.79),NA,2.85,temperate,benthic,25,7.5,Eriocheir sinensis,Eriocheir sinensis,0.988,NA,freshbrackmarine,bc1146,Eriocheir sinensis,Crustacean,Chinese mitten crab,NA,"Chinese mitten crab, farmed, female, lake-stocked, muscle, raw",NA,NA,NA,0.1040494,0.10725092,20.71,1.96,fi218,"China, Hubei province, Jingxingyue Lake",Nov 2002,FA converted using XFA,2007,0901185
Eriocheir sinensis,2,plants/detritus+animals (troph. 2.2-2.79),NA,2.85,temperate,benthic,25,7.5,Eriocheir sinensis,Eriocheir sinensis,0.988,NA,freshbrackmarine,bc1147,Eriocheir sinensis,Crustacean,Chinese mitten crab,NA,"Chinese mitten crab, farmed, male, lake-stocked, muscle, raw",NA,NA,NA,0.20458472,0.08934396,18.48,1.64,fi218,"China, Hubei province, Jingxingyue Lake",Nov 2002,FA converted using XFA,2007,0901186
Haliotis rubra,4,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,temperate,benthic,50,20,Haliotis rubra,Haliotis rubra,0.988,NA,marine,af761,Haliotis rubra,Mollusc,Blacklip abalone,NA,"Blacklip abalone, farmed, muscle, raw",NA,NA,NA,0.0403,0.0076,NA,1.2,fi204,"Australia, Victoria, Port Phillip Bay; obtained from Ocean Wave Seafoods Company",Nov (spring)  2000,NA,2006,0902065
Haliotis rubra,4,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,temperate,benthic,50,20,Haliotis rubra,Haliotis rubra,0.988,NA,marine,af762,Haliotis rubra,Mollusc,Blacklip abalone,NA,"Blacklip abalone, farmed, muscle, raw",NA,NA,NA,0.0325,0.0054,NA,2.7,fi204,"Australia, Victoria, Port Phillip Bay; obtained from Ocean Wave Seafoods Company",Jan (summer) 2000,NA,2006,0902066
Haliotis rubra,4,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,temperate,benthic,50,20,Haliotis rubra,Haliotis rubra,0.988,NA,marine,af763,Haliotis rubra,Mollusc,Blacklip abalone,NA,"Blacklip abalone, farmed, muscle, raw",NA,NA,NA,0.034,0.0072,NA,0.9,fi204,"Australia, Victoria, Port Phillip Bay; obtained from Ocean Wave Seafoods Company",May (autum) 2001,NA,2006,0902067
Haliotis rubra,4,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,temperate,benthic,50,20,Haliotis rubra,Haliotis rubra,0.988,NA,marine,af764,Haliotis rubra,Mollusc,Blacklip abalone,NA,"Blacklip abalone, farmed, muscle, raw",NA,NA,NA,0.0427,0.0092,NA,1,fi204,"Australia, Victoria, Port Phillip Bay; obtained from Ocean Wave Seafoods Company",Jul (winter) 2001,NA,2006,0902068
Illex coindetii,0.442163,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.27,temperate,pelagic,1000,32,Illex coindetii,Illex coindetii,0.988,NA,marine,seadata140,Illex coindetii,Mollusc,NA,NA,"NA, edible muscle",54.6,12.3876,NA,NA,NA,15.59,1.56,sea11,Aegean Sea,NA,NA,NA,NA
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc1156,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Norway lobster, wild edible flesh, raw",NA,NA,NA,0.006342894,0.009054711,20.4,0.1,fi220,"Portugal, Algarve, off the south coast",Winter (Dec) 2000,FAT-/PROT- (analyzed according to AOAC 1998); FA converted using XFA; Lipid fractions calculated based on FAT (proximate),2003,0901195
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc1157,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Norway lobster, wild edible flesh, raw",NA,NA,NA,0.01424853,0.020131794,21.2,0.2,fi220,"Portugal, Algarve, off the south coast",Summer (Jun) 2001,FAT-/PROT- (analyzed according to AOAC 1998); FA converted using XFA; Lipid fractions calculated based on FAT (proximate),2003,0901196
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc1187,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Langoustine, wild, edible muscle raw",NA,NA,NA,0.065331,0.0787815,NA,0.7,fi232,"Greece, Argolicos Bay",Oct,NA,2010,0901226
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc1218,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Lobster, wild, raw",72,2.66,1.05,NA,NA,17.6,0.4,im11,"Iceland, North Atlantic",NA,NA,2011,0901257
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc1226,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Lobster, wild, raw",NA,NA,NA,0.0520425403161711,0.049944342627894,NA,0.6,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901265
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc1227,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Lobster, wild, raw",NA,NA,NA,0.0320099177818958,0.0355510246481384,NA,0.5,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901266
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc1228,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Lobster, wild, raw",NA,NA,NA,0.0739987924928491,0.0860944360426488,NA,0.78,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901267
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc426,Nephrops norvegicus,Crustacean,Norway Lobster,NA,"Norway lobster, wild, edible flesh, raw",NA,NA,NA,NA,NA,NA,NA,fi80,"Greece, Aegean Sea",NA,"mean of lipid value (spring, fall, winter) used for FA calculation; FAT- (analyzed according to AOAC 1975); FA converted using XFA; FA tr= <0.1g/100g fillet",1995,0900445
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc464,Nephrops norvegicus,Crustacean,Norway Lobster,NA,"Norway lobster, wild, edible flesh, raw",NA,NA,NA,NA,NA,19,0.2,fi80,"Greece, Aegean Sea",Spring,FAT- (analyzed according to AOAC 1975),1995,0900483
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc465,Nephrops norvegicus,Crustacean,Norway Lobster,NA,"Norway lobster, wild, edible flesh, raw",NA,NA,NA,NA,NA,17,0.5,fi80,"Greece, Aegean Sea",Fall,FAT- (analyzed according to AOAC 1975),1995,0900484
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc466,Nephrops norvegicus,Crustacean,Norway Lobster,NA,"Norway lobster, wild, edible flesh, raw",NA,NA,NA,NA,NA,17,0.2,fi80,"Greece, Aegean Sea",Winter,FAT- (analyzed according to AOAC 1975),1995,0900485
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc991,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Norway lobster, wild, male, edible muscle, raw",110,1.99,1.81,NA,NA,NA,NA,fi162,"Portugal, Algarve (off coast)",NA,Se content <40mcg/100g FW,2009,0901010
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc992,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Norway lobster, wild, female, edible muscle, raw",90,2,1.67,NA,NA,NA,NA,fi162,"Portugal, Algarve (off coast)",NA,Se content <40mcg/100g FW,2009,0901011
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,seadata138,Nephrops norvegicus,Crustacean,NA,NA,"NA, edible muscle",71.6,5.20175,NA,NA,NA,20.31,1.07,sea11,Aegean Sea,NA,NA,NA,NA
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,af132,Octopus vulgaris,Mollusc,Common octopus,NA,"Octopus, edible flesh raw/frozen",NA,NA,NA,0.037,0.056,NA,0.36,fi45,Unknown,NA,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,0901436
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,af680,Octopus vulgaris,Mollusc,Common octopus,NA,"Octopus, wild, juvenile, arms, raw",NA,NA,NA,0.0191986,0.0318892,10.2,0.65,fi178,"Italy, Ionian Sea, coastal waters of Gulf of Taranto",NA,"PRO- (analyzed according to Bradford 1976), CHO- (phenol-sulphuric acid method, Dubois et al. 1956); FA converted using XFA",2010,0901984
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,af830,Octopus vulgaris,Mollusc,Common octopus,NA,"Octoupus, edible flesh (mantle, arms), raw",21.3,0.42,1.77,NA,NA,NA,NA,fi241,"Unknown, North-eastern Atlantic",May-Sep,NA,2009,0902134
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,bc1181,Octopus vulgaris,Mollusc,Common octopus,NA,"Common octopus, wild, arm flesh, raw",NA,NA,NA,0.03828727278,0.06671506518,14.83,0.54,fi225,"Unknown, Eastern Medierranean Sea",Spring,FAT-/PROT- (no analytical methods given); FA converted using XFA,2008,0901220
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,bc1182,Octopus vulgaris,Mollusc,Common octopus,NA,"Common octopus, wild, arm flesh, raw",NA,NA,NA,0.073702872,0.176151672,14.78,0.94,fi225,"Unknown, Eastern Medierranean Sea",Autumn,FAT-/PROT- (no analytical methods given); FA converted using XFA,2008,0901221
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,bc1183,Octopus vulgaris,Mollusc,Common octopus,NA,"Common octopus, wild, arm flesh, raw",NA,NA,NA,0.10157948,0.163680752,15.28,0.98,fi225,"Unknown, Eastern Medierranean Sea",Winter,FAT-/PROT- (no analytical methods given); FA converted using XFA,2008,0901222
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,bc432,Octopus vulgaris,Mollusc,Common octopus,NA,"Common octopus, wild, edible flesh, raw",NA,NA,NA,NA,NA,NA,NA,fi80,"Greece, Aegean Sea",NA,"mean of lipid value (spring, fall, winter) used for FA calculation; FAT- (analyzed according to AOAC 1975); FA converted using XFA; FA tr= <0.1g/100g fillet",1995,0900451
Octopus vulgaris,1.19,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,reef-associated,347,24.9,Octopus vulgaris,Octopus vulgaris,0.988,NA,marine,bc473,Octopus vulgaris,Mollusc,Common octopus,NA,"Common octopus, wild, edible flesh, raw",NA,NA,NA,NA,NA,15,0.3,fi80,"Greece, Aegean Sea",Spring,FAT- (analyzed according to AOAC 1975),1995,0900492
