RefID,biblioid2,Type,Citation
fi484,fi484,Articles from scientific literature,"Wu, W. H., & Lillard, D. A. (1998). Cholesterol and proximate composition of changes following cooking by microwave channel catfısh (Ictalurus Punctatus) fıllets–changes heating, deep-fat frying, and oven baking. Journal of Food Quality, 21, 41–51."
fi483,fi483,Articles from scientific literature,"Wangtueai, S., & Vichasilp, C. (2015). Optimization of phosphate and salt application to physical and sensory properties of frozen Nile tilapia fillets. International Food Research Journal, 22(5), 2002–2009."
fi482,fi482,Articles from scientific literature,"Monteiro, M., Mársico, E., Canto, A., Costa-Lima, B., Lázaro, C., Cruz, A., & Conte-Júnior, C. (2015). Partial sodium replacement in tilapia steak without loss of acceptability. Food Science and Technology International, 21(4), 295–305."
fi481,fi481,Articles from scientific literature,"Dudek, J. A., Behl, B. A., & Elkins, E. R. (1981). Determination of effects of processing and cooking on the nutrient composition of selected seafoods: Second report for period January 1, 1981 to March 31, 1981. National Food Processors Association."
fi480,fi480,Articles from scientific literature,"Choubert, G., & Baccaunaud, M. (2010). Effect of moist or dry heat cooking procedures on carotenoid retention and colour of fillets of rainbow trout (Oncorhynchus mykiss) fed astaxanthin or canthaxanthin. Food Chemistry, 119(1), 265–269."
fi478,fi478,Articles from scientific literature,"Badiani, A., Testi, S., Ghidini, S., Silvi, M., Foschi, C., & Gatta, P. P. (2006). Effect of sample preparation with or without shell liquor on contents and retention of macro and micro elements in three species of bivalve molluscs. In Seafood research from fish to dish. Quality, safety and processing of wild and farmed fish. (Eds. Luten J.B., Jacobsen C. Bekaert K., Sæbø A., Oehlenschläger J., pp. 459–469). Wageningen Academic Publishers."
fi476,fi476,Articles from scientific literature,"Vasconcelos P., Gaspar M., Castro M., & Nunes M. (2009). Influence of growth and reproductive cycle on the meat yield and proximate composition of Hexaplex trunculus (Gastropoda: Muricidae). Journal of the Marine Biological Association of the United Kingdom, 89(6):1223-1231."
fi472,fi472,Articles from scientific literature,"Bugeon J, Lefevre F, Cardinal M, Uyanik A, Davenel A, & Haffray P (2010). Flesh quality in large rainbow trout with high or low fillet yield. Journal of Muscle Foods, 21(4):702-721."
fi471,fi471,Articles from scientific literature,"Majolini D, Trocino A, Tazzoli M, & Xiccato G (2009). Evolution of European sea bass (Dicentrarchus labrax) freshness during storage. Ital. J. Anim. Sci., 8(Suppl. 3):282-284."
fi469,fi469,Articles from scientific literature,"Lou Q.-M., Wang Y.-M., & Xue C.-H. (2013). Lipid and fatty acid composition of two species of abalone, Haliotis discus Hannai Ino and Haliotis diversicolor Reeve. Journal of Food Biochemistry 37:296-301."
fi468,fi468,Articles from scientific literature,"Salman Y., Salman A., & Ozkizilcik S. (2007). The fatty acid profile of the marine cephalopod. The Israeli Journal of Aquaculture - Bamidgeh 59(3:133-136."
fi467,fi467,Articles from scientific literature,"El-Zaeem S.Y., Morsi M. Ahmed M., El-Sayed Salama M., Abd El-Kader W. (2012). Flesh quality differentiation of wild and cultured Nile tilapia (Oreochromis niloticus) populations. African Journal of Biotechnology Vol. 11(17), pp. 4086-4089."
fi466,fi466,Articles from scientific literature,"Kunnath S., Lekshmi M., Kannuchamy N. Gudipati V. Indian J. Fish 62(4):152-155."
fi465,fi465,Articles from scientific literature,"Clement S, Lovell R.T. (1994) Comparison of processing yield and nutrient composition of cultured Nile tilapia (Oreochromis niloticus) and channel catfish (Ictalurus punctatus). Aquaculture 119:299-310."
fi464,fi464,Articles from scientific literature,"Sahu B.B., Sahoo S.K. Giri S.S., Das P.C., Mishra B., Sahu A.K., Eknath A.K., Jayasankar P. (2013) Carcass traits of two marketable size classes of Pangasius pangasius (Hamilton, 18, 22). J. Appl. Ichthyol. 29:226-229."
