sciname,Genus,Species,SpeciesRefNo,Author,FBname,PicPreferredName,PicPreferredNameM,PicPreferredNameF,PicPreferredNameJ,FamCode,Subfamily,GenCode,SubGenCode,BodyShapeI,Source,AuthorRef,Remark,TaxIssue,Fresh,Brack,Saltwater,DemersPelag,AnaCat,MigratRef,DepthRangeShallow,DepthRangeDeep,DepthRangeRef,DepthRangeComShallow,DepthRangeComDeep,DepthComRef,LongevityWild,LongevityWildRef,LongevityCaptive,LongevityCapRef,Vulnerability,Length,LTypeMaxM,LengthFemale,LTypeMaxF,MaxLengthRef,CommonLength,LTypeComM,CommonLengthF,LTypeComF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Pic,PictureFemale,LarvaPic,EggPic,ImportanceRef,Importance,PriceCateg,PriceReliability,Remarks7,LandingStatistics,Landings,MainCatchingMethod,II,MSeines,MGillnets,MCastnets,MTraps,MSpears,MTrawls,MDredges,MLiftnets,MHooksLines,MOther,UsedforAquaculture,LifeCycle,AquacultureRef,UsedasBait,BaitRef,Aquarium,AquariumFishII,AquariumRef,GameFish,GameRef,Dangerous,DangerousRef,Electrogenic,ElectroRef,Complete,GoogleImage,Comments,Profile,PD50,Emblematic,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS,SpecCode
Corica soborna,Corica,soborna,188,"Hamilton, 1822",Ganges river sprat,Cosob_u0.gif,NA,NA,NA,43,Ehiravinae,5653,NA,fusiform / normal,R,NA,NA,0,-1,-1,-1,pelagic-neritic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0,4.1,SL,NA,NA,188,NA,NA,NA,NA,NA,NA,NA,NA,COSOB_U0,NA,NA,NA,171,subsistence fisheries,low,Very questionable: based on ex-vessel price for species in this family,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,NA,NA,NA,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,-1,Occurs in rivers and estuaries (Ref. 4832).  Also found in coastal areas of Bay of Bengal (Ref. 45255).,NA,0.75,0,3,1990-10-17T00:00:00.000Z,303,2013-07-15T00:00:00.000Z,3,1994-07-23T00:00:00.000Z,NA,1566
Gudusia chapra,Gudusia,chapra,188,"(Hamilton, 1822)",Indian river shad,Gucha_u1.jpg,NA,NA,NA,43,Dorosomatinae,8148,NA,fusiform / normal,R,NA,NA,0,-1,-1,0,pelagic,potamodromous,51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.83,20.0,TL,NA,NA,1479,NA,NA,NA,NA,NA,NA,NA,NA,GUCHA_U0,NA,NA,NA,171,subsistence fisheries,low,Very questionable: based on ex-vessel price for species in this family,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,-1,"Adults are found in middle and upper reaches of rivers.  Also occur in ponds, beels, ditches and inundated fields (Ref. 1479).  More data needed.",NA,0.75,0,3,1990-10-17T00:00:00.000Z,303,2013-07-15T00:00:00.000Z,3,1994-07-25T00:00:00.000Z,NA,1601
Sardinella longiceps,Sardinella,longiceps,188,"Valenciennes, 1847",Indian oil sardine,Salon_u3.jpg,NA,NA,NA,43,Dorosomatinae,3475,NA,fusiform / normal,R,NA,NA,0,0,0,-1,pelagic-neritic,oceanodromous,51243,20,200,28016,NA,NA,NA,3.4,3689,NA,NA,29.64,23.0,SL,NA,NA,188,20.0,SL,NA,NA,188,200.0,NA,4883,SALON_U1,NA,NA,NA,4931,highly commercial,low,Reliable: based on ex-vessel price for this species,Source of fish oil.,"from 100,000 to 500,000",mainly India in areas 51 and 57,seines,NA,-1,-1,-1,-1,0,-1,0,0,0,-1,never/rarely,NA,NA,never/rarely,NA,never/rarely,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,-1,"Coastal pelagic (Ref. 68964). Forms schools in coastal waters and strongly migratory.  Feeds mainly on phytoplankton (especially diatoms) and small crustaceans (Ref. 30573).  Breeds once a year off western coasts of India when temperatures and salinity are low during the southwest monsoon months.  Spawning peaks in August-September.  Occurs at temperatures of 22.0-28.0 °C (Ref. 3689).  Marketed fresh, dried and dried-salted.  Also sold smoked and canned (Ref. 9987).  Also made into fish meal and fish balls.",NA,0.5,0,3,1990-10-17T00:00:00.000Z,2291,2015-10-30T00:00:00.000Z,3,1994-07-17T00:00:00.000Z,NA,1511
Tenualosa ilisha,Tenualosa,ilisha,188,"(Hamilton, 1822)",Hilsa shad,Teili_u0.jpg,NA,NA,NA,43,Dorosomatinae,2322,NA,fusiform / normal,R,NA,NA,0,-1,-1,-1,pelagic-neritic,anadromous,51243,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,31.34,60.0,SL,NA,NA,188,36.0,SL,42.0,TL,4832,680.0,2490.0,4832,TEILI_U1,NA,NA,NA,4931,minor commercial,high,Reliable: based on ex-vessel price for this species,NA,"up to 1,000 tons/year",Pakistan and Kuwait in area 51,various gears,NA,-1,-1,-1,-1,0,0,0,0,0,0,experimental,NA,4832,NA,NA,NA,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,-1,"Schooling in coastal waters and ascending rivers for as much as 1200 km (usually 50-100 km).  Migration though is sometimes restricted by barrages.  <i>Hilsa</i> far up the Ganges and other large rivers seem to be permanent river populations.  Feeds on plankton, mainly by filtering, but apparently also by grubbing on muddy bottoms.  Breeds mainly in rivers during the southwest monsoon (also from January to February to March).  Artificial propagation has been partially successful in India (Ref. 4832).  Known to be a fast swimmer, covering 71 km in one day (Ref. 12203).  Marketed fresh or dried-salted.",NA,0.5312,0,3,1990-10-17T00:00:00.000Z,303,2013-07-15T00:00:00.000Z,1,1994-02-11T00:00:00.000Z,NA,1596
Botia dario,Botia,dario,4832,"(Hamilton, 1822)",Bengal loach,Bodar_u2.jpg,NA,NA,NA,127,Botiinae,10518,NA,fusiform / normal,O,NA,NA,0,-1,0,0,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.67,15.1,TL,NA,NA,1479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4832,of no interest,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,commercial,based mainly on capture,4537,0,NA,harmless,NA,no special ability,NA,NA,-1,Occurs in clear mountain streams (Ref. 41236).,NA,0.501,0,3,1994-08-11T00:00:00.000Z,65,2013-07-15T00:00:00.000Z,10,2003-01-07T00:00:00.000Z,NA,12248
Lepidocephalichthys guntea,Lepidocephalichthys,guntea,4832,"(Hamilton, 1822)",Guntea loach,Legun_u1.jpg,NA,NA,NA,127,Cobitinae,6170,NA,elongated,O,NA,NA,0,-1,-1,0,demersal,potamodromous,51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.35,15.0,TL,NA,NA,4832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4832,of no interest,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,commercial,NA,4832,0,NA,harmless,NA,no special ability,NA,NA,-1,Found in flowing or even clear standing waters.,NA,0.5,0,2,1992-03-25T00:00:00.000Z,10,2003-11-17T00:00:00.000Z,2,1994-08-16T00:00:00.000Z,NA,5336
Amblypharyngodon mola,Amblypharyngodon,mola,41236,"(Hamilton, 1822)",Mola carplet,Ammol_u0.jpg,NA,NA,NA,122,Danioninae,4514,NA,fusiform / normal,O,NA,NA,0,-1,0,0,benthopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.65,20.0,TL,NA,NA,41236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4832,of no interest,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,never/rarely,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,-1,"Adults are found in ponds, canals, beels, slow-moving streams, nullahs and paddy fields (Ref. 41236).  Development of oocytes is asynchronous, are fractional spawners (Ref. 94282).",NA,0.5312,0,10,1996-07-08T00:00:00.000Z,2,2013-11-08T00:00:00.000Z,10,2002-12-05T00:00:00.000Z,NA,24301
Barbonymus gonionotus,Barbonymus,gonionotus,7050,"(Bleeker, 1849)",Silver barb,Bagon_u0.jpg,NA,NA,NA,122,Cyprininae,3490,NA,fusiform / normal,O,NA,NA,0,-1,0,0,benthopelagic,potamodromous,51243,15,NA,12693,NA,NA,NA,NA,NA,NA,NA,40.6,40.5,TL,NA,NA,8609,NA,NA,NA,NA,NA,NA,NA,NA,BAGON_U0,NA,NA,NA,4931,commercial,unknown,NA,NA,"from 1,000 to 10,000",NA,NA,NA,-1,0,-1,0,0,0,0,0,-1,0,commercial,NA,12108,never/rarely,NA,commercial,based mainly on breeding,6299,0,NA,harmless,NA,no special ability,NA,NA,-1,"Occurs at midwater to bottom depths in rivers, streams, floodplains, and occasionally in reservoirs.  Seems to prefer standing water habitats instead of flowing waters.  Inhabits the flooded forest during high water period (Ref. 12693).  Feeds on plant matter (e.g. leaves, weeds, <i>Ipomea reptans</i> and <i>Hydrilla</i>) and invertebrates (Ref. 4835).  A migratory species but not considered to be a long-distance migrant.  Regarded as local migrant which moves from the Mekong up into small streams and canals and onto flooded areas during the rainy season and back again during receding water (Ref. 37770).  Some reports indicated that upstream migration of this fish is triggered by the first rains and rising water levels.  When it finds a tributary, canal or stream it moves upstream and eventually onto flooded areas.  When water recedes, it migrates back into canals and streams and into the Mekong again (Ref. 37770).  Often used as a pituitary donor for artificial propagation in aquaculture.  Escapees from culture installations have become established in rivers and form the basis for capture fisheries on several Southeast Asian islands (Ref. 1739).  Useful in cropping excessive vegetation in reservoirs (Ref. 2686).  Used for lap pa (in the preparation of which the numerous small bones are ground fine) or grilled or used to make som pa.  Usually marketed fresh and occasionally seen in the aquarium trade (Ref. 12693).  A specimen measuring 45 cm TL (2,100 g) was reportedly caught from Dan Tchang Reservoir, Thailand on 8 July 2003 (Jean-Francois Helias, pers. comm., FISHING ADVENTURES THAILAND [mailto:fishasia@ksc.th.com] ).",NA,0.5312,0,2,1990-10-17T00:00:00.000Z,303,2011-10-26T00:00:00.000Z,97,1996-05-03T00:00:00.000Z,NA,286
Catla catla,Catla,catla,41236,"(Hamilton, 1822)",Catla,Cacat_u8.jpg,NA,NA,NA,122,No subfamily,8087,NA,fusiform / normal,O,NA,NA,0,-1,-1,0,benthopelagic,potamodromous,51243,5,NA,4832,NA,NA,NA,NA,NA,NA,NA,46.97,182.0,TL,NA,NA,41236,NA,NA,NA,NA,NA,38560.0,NA,72380,CACAT_U0,NA,NA,NA,4832,highly commercial,unknown,NA,NA,NA,NA,seines,NA,0,0,0,0,0,0,0,0,-1,0,commercial,NA,12108,never/rarely,NA,never/rarely,NA,NA,-1,4832,harmless,NA,no special ability,NA,NA,-1,"Adults occur in rivers, lakes and culture ponds (Ref. 41236).  Mature individuals breed in rivers (Ref. 4832).  Surface and mid-water feeders, mainly omnivorous with juveniles feeding on aquatic and terrestrial insects, detritus and phytoplankton.","<b>Scientific name</b> : <i>Catla catla</i> (Hamilton, 1822)
 <p>
<b>Common names</b> : English - catla; Hindi-bhakur, catla; Bengali-katal; Punjabi-theila;    Burmese - nga-thaing
 <p>
<b>History of use</b>:  Catla is distributed the rivers of the Indo-Gangetic system in Bangladesh, India and Pakistan and in the rivers of Myanmar that drain into the Bay of Bengal.  It is a very popular food fish.  It was introduced between 1904 and 1921 from the river Godavari to the canals, rivers and reservoirs of southern India and during 1930's and 40's to Maharashtra (Powai Lake, Mumbai) and to Kerala (Periyar Lake).  It has also been introduced to other countries, including Japan, the Philippines and the former USSR (Jhingran 1982).
 <p>
<b>Production Statistics</b> :  There are no reliable statistics on production of catla from aquaculture.
 <p>
<b>Where farmed</b> :  Region - South and Southeast Asia, FAO Area - 04, Asia, Inland.
 <p>
<b>Countries</b>: Bangladesh, Cambodia, India, Laos, Malaysia, Maurituis, Myanmar, Nepal, Pakistan, Sri Lanka and Vietnam.
 <p>
<b>Climate and environmental tolerance</b> : Tropics; hardy;  natural temperature range 18-300C; lower and upper thermal tolerance limits, 16.7°C and 39.5°C; sensitive to low oxygen conditions; tolerates pH 6.5-8.5 and  salinity up to 5 ppt; prefers deep pools; breeds during the southwest monsoon (May - September) in water temperatures around 24 - 31°C.
 <p>
<b>Current farming methods</b>:  Catla breeds naturally in flooded fields and can also be bred by simulating riverine conditions in special ponds called dry bundhs.  Catla is now mostly spawned artificially in hatcheries. It is more difficult to spawn than most other carps, and requires good broodstock management.  This is sometimes lacking on farms. The postlarvae called renu, dhani or jeera in Bengali and are also commonly called 'spawn' in English.   Catla attain first maturity when about two years old and 442 mm length (Natarajan and Jhingran, 1963).  In nature, they spawn only once during the breeding season but have been spawned up to four times in hatcheries (Gupta et al. 1995).  Fecundity depends on the age, length and weight of the fish and the weight of the ovaries and varies from 0.2 to 4.2 million n fishes weighing between 11.3 to 18.4 Kg fish.  The number of eggs/kg body weight of fish from well-managed broodstock is about 100,000.
 <p>
For induced spawning, two injections of crude carp pituitary gland  (2-3 mg and  5-8 mg/kg) are given to a female at an interval of 4-6 hrs,  as against only one (2-3 mg/kg) to males at the time of the second injection to females. A female and two males in a running water spawning task should then spawn within six hours.  If spawning has not taken place, the female is stripped and the eggs fertilized with semen stripped from males. The fertilized eggs hatch after 18-24 hrs, depending upon the water temperature. Optimum temperature for spawning and hatching is 280C (Chaudhuri 1963). Jhingran and Pullin (1988) have reviewed the use of materials other than carp pituitary, for induced spawning.  The yolk-sac is absorbed after three days.
 <p>
The postlarvae are easy to handle and cheap to transport, packed in plastic bags with oxygen.  The postlarvae feed exclusively on zooplankton - rotifers and small cladocerans.  Nursery ponds (about 400 m2,  1m deep) are prepared by liming and fertilization with cow manure or poultry litter.  Prior to stocking, large copepods and various insects (especially notonectids) and their larvae are predators on the postlarvae and are eradicated from the nursery ponds with appropriate chemicals (Jhingran and Pullin 1988).  The postlarvae are given supplementary feed (a fine powder comprising a 50:50 mixture of groundnut or mustard oil cake and rice or wheat bran) daily at two, three and four times the weight of postlarvae stocked, increasing the amount at five-day intervals. Stocked at 5 million/ha, postlarvae have a survival of 60 - 70%. The fry are then transferred to rearing ponds (800 - 1200m2, 1.5m deep) for raising to fingerlings for stocking in growout ponds or other waters.
 <p>
Growout ponds (0.2 - 5.0 ha) are limed and fertilized before stocking with carp fingerlings at 5,000-10,000/ha. The proportion of catla in the stocked population is 10-35% depending upon the species mix used for polyculture. In polyculture of Indian major carps alone, the proportion of catla can be 30-35%, but in polyculture with exotic carps, the proportion of catla is reduced to 10%, with silver carp (Hypophthalmichthys molitrix) constituting 20% of the total population. The ponds are fertilized every two weeks with cow manure, or a combination of inorganic fertilizers.  <p>Supplementary feed, comprising a 50:50 mixture of oil cake : cereal  bran is provided daily at 2-3% body weight based on the growth registered every month. Its contribution to total production ranges from 10-30%.  Monoculture of catla is not practiced.
 <p>
<b>Processing and marketing</b>:  Some reservoirs in India produce large-sized catla (35-40 kg in weight) which have a special market during the marriage season. Catla has a large sized head, but is otherwise  highly suitable for filleting.
 <p>
<b>Likely future trends</b>:  Catla is a very important species for aquaculture. Seed production currently falls far short of demand. If the availability of catla seed increases and if growth rates can be further improved through genetic enhancement, the contribution of catla to aquaculture production in the Indian subcontinent will increase, with a decline in the importance of silver carp in carp polyculture systems.  Catla also has good potential for processing into fillets and other valued-added products for export.
 <p>
Intergeneric hybrids of catla with Indian and other carp species have been produced (Tripathi 1992) of which the rohu female x catla male hybrid combines the advantages of the deep body of the catla and the small head rohu.  This hybrid is fertile. Naturally occurring catla x rohu hybrids have been found in the Rihand reservoir.
 <p>
<b>References</b> :
 <p>
Chaudhuri, H. 1963. Induced spawning of Indian carps. Proc. Nat. Inst. Sci. India (B), 29(4) :478-87.
 <p>
Gupta, S.D., S.C. Rath, S. Dasgupta and S.D. Tripathi. 1995. A first report on quadruple spawning of <i>Catla catla</i> (Ham.).  Vet. arichiv 65, 143 - 148.
 <p>
Jhingran, V.G. 1968. Synopsis of biological data on catla, <i>Catla catla</i> (Hamilton, 1822). FAO Fish. Synop. (32) Rev.1: pag.var.
 <p>
Jhingran, V.G. and R.S.V. Pullin. 1988.  A hatchery manual for the common, Chinese and Indian major carps.  ICLARM Studies and Reviews 11.  Asian Development Bank and ICLARM, Manila, Philippines, 191 p.
 <p>
Jhingran, V.G. 1982. Fish and Fisheries of India. Hindustan Publishing Corporation (India), Delhi. 666p
 <p>
Tripathi, S.D. 1992.  Three decades of research on carp hybridisation in India, p 00 - 00, <i>In</i> Symposium on Zoological Research in Relation to Man and Environment, 1- 4 March, 1992, Zoological Society, Calcutta, India.  
 <p>

S.D. Tripathi",1.0,0,2,1991-06-19T00:00:00.000Z,2,2012-05-08T00:00:00.000Z,21,1994-08-23T00:00:00.000Z,NA,4439
Chela cachius,Chela,cachius,41236,"(Hamilton, 1822)",NA,Chcac_u0.jpg,NA,NA,NA,122,Danioninae,1638,NA,fusiform / normal,O,NA,NA,0,-1,-1,0,benthopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.01,6.0,TL,NA,NA,41236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4832,of no interest,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,occasionally,4832,commercial,NA,4832,0,NA,harmless,NA,no special ability,NA,NA,-1,"Inhabits ponds, ditches and rivers in plains and submontane regions (Ref. 41236).  Breeds freely in ponds, tanks and small streams.  Utilized also as larvicidal fish (Ref. 4832).",NA,0.625,0,10,1995-06-02T00:00:00.000Z,10,2002-12-05T00:00:00.000Z,1,1999-11-16T00:00:00.000Z,NA,13220
Cirrhinus mrigala,Cirrhinus,mrigala,41236,"(Hamilton, 1822)",NA,Cimri_u0.jpg,NA,NA,NA,122,Labeoninae,1047,NA,elongated,O,NA,NA,0,-1,0,0,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.19,99.0,TL,NA,NA,41236,NA,NA,NA,NA,NA,12700.0,NA,41236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,never/rarely,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,-1,NA,NA,0.5005,0,10,2013-01-20T00:00:00.000Z,NA,2013-01-20T00:00:00.000Z,NA,NA,NA,66743
Ctenopharyngodon idella,Ctenopharyngodon,idella,48,"(Valenciennes, 1844)",Grass carp,Ctide_u4.jpg,NA,NA,NA,122,Squaliobarbinae,44,NA,fusiform / normal,O,NA,NA,0,-1,0,0,demersal,potamodromous,51243,0,30,6898,NA,NA,NA,21.0,48,NA,NA,65.29,150.0,TL,NA,NA,30578,10.7,SL,NA,NA,35840,45e3,NA,7248,CTIDE_U0,NA,NA,NA,4931,minor commercial,unknown,NA,NA,"more than 500,000",NA,seines,,-1,0,0,0,0,0,0,0,0,0,commercial,life cycle closed in commercial culture,12108,never/rarely,NA,never/rarely,based mainly on breeding,12253,-1,4699,potential pest,NA,no special ability,NA,NA,-1,"Adults occur in lakes, ponds, pools and backwaters of large rivers (Ref. 5723), preferring large, slow-flowing or standing water bodies with vegetation.  Tolerant of a wide range of temperatures from 0° to 38°C, and salinities to as much as 10 ppt and oxygen levels down to 0.5 ppm.  Feed on higher aquatic plants and submerged grasses; takes also detritus, insects and other invertebrates.  One of the world's most important aquaculture species and also used for weed control in rivers, fish ponds and reservoirs (Ref. 9987).  Spawn on riverbeds with very strong current (Ref. 30578).  Utilized also fresh and eaten steamed, pan-fried, broiled and baked (Ref. 9987).  Considered as a pest in most countries because of the damages made to submerged vegetation (Ref. 43281).",NA,1.0,0,4,1990-10-17T00:00:00.000Z,530,2012-05-07T00:00:00.000Z,97,2003-01-03T00:00:00.000Z,NA,79
Cyprinus carpio,Cyprinus,carpio,59043,"Linnaeus, 1758",Common carp,Cycar_ua.jpg,Cycar_m0.jpg,NA,Cycar_u3.jpg,122,Cyprininae,123,NA,fusiform / normal,O,NA,NA,0,-1,-1,0,benthopelagic,potamodromous,51243,NA,NA,NA,NA,NA,NA,38.0,72479,47.0,274,46.26,120.0,TL,NA,NA,27549,31.0,TL,NA,NA,3561,40090.0,NA,72380,CYCAR_U2,NA,NA,NA,4931,highly commercial,unknown,NA,NA,"more than 500,000",In southeastern Europe.,seines,,-1,-1,-1,0,0,0,0,-1,-1,0,commercial,life cycle closed in commercial culture,12108,never/rarely,NA,commercial,based mainly on breeding,1739,-1,4699,potential pest,NA,no special ability,NA,NA,-1,"Adults inhabit warm, deep, slow-flowing and still waters such as lowland rivers and large, well vegetated lakes (Ref. 59043).  Hardy and tolerant of a wide variety of conditions but generally favor large water bodies with slow flowing or standing water and soft bottom sediments.  Thrive in large turbid rivers (Ref. 1998).   Most active at dusk and dawn.  Both adults and juveniles feed on a variety of benthic organisms and plant material.  Spawns along shores or in backwaters.  Adults often undertake considerable spawning migration to suitable backwaters and flooded meadows. Larvae survive only in very warm water among shallow submerged vegetation.  River regulation and hybridization with domesticated stocks, East Asian congeners and their hybrids have caused continuous decline of wild populations (Ref. 59043).  Utilized fresh and frozen (Ref. 9987).  Aquarium keeping:  in groups of 5 or more individuals; minimum aquarium size >200 cm; not recommended for home aquariums (Ref. 51539).",NA,0.5,0,2,1990-10-17T00:00:00.000Z,2291,2015-02-06T00:00:00.000Z,97,2003-01-14T00:00:00.000Z,NA,1450
Esomus danricus,Esomus,danricus,4832,"(Hamilton, 1822)",Flying barb,Esdan_u0.jpg,NA,NA,NA,122,Danioninae,2945,NA,fusiform / normal,O,NA,NA,0,-1,-1,0,benthopelagic,potamodromous,51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.99,13.0,TL,NA,NA,6398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,minor commercial,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,commercial,based mainly on capture,4537,0,NA,harmless,NA,no special ability,NA,NA,-1,"Adults occur in ponds, weedy ditches (Ref. 4832) and irrigation canals (Ref. 41236).",NA,0.5002,0,2,1992-03-03T00:00:00.000Z,2,2012-05-14T00:00:00.000Z,3,1994-08-07T00:00:00.000Z,NA,5150
Hypophthalmichthys molitrix,Hypophthalmichthys,molitrix,7248,"(Valenciennes, 1844)",Silver carp,Hymol_u5.jpg,NA,NA,NA,122,Xenocyprinae,311,NA,fusiform / normal,O,NA,NA,0,-1,0,0,benthopelagic,potamodromous,51243,0,20,6898,NA,NA,NA,NA,NA,NA,NA,55.27,105.0,TL,NA,NA,40637,18.0,SL,NA,NA,35840,5e4,NA,30578,HYMOL_U0,NA,NA,NA,4931,commercial,unknown,NA,NA,"more than 500,000",NA,seines,,-1,-1,0,0,0,0,0,0,0,0,commercial,,12108,never/rarely,NA,never/rarely,,NA,0,NA,potential pest,NA,no special ability,NA,NA,-1,"Found in their natural range in rivers with marked water-level fluctuations and overwinters in middle and lower stretches, swimming just beneath the surface.  They feed in shallow (0.5-1.0 m deep) and warm (over 21°C) backwaters, lakes and flooded areas with slow current on phytoplankton and zooplankton (Ref. 30578, 10294).  Bigger individuals from about 1.5 cm SL feed only on phytoplankton while larvae and small juveniles prey on zooplankton (Ref. 59043).  Adults breed in rivers or tributaries over shallow rapids with gravel or sand bottom, in upper water layer or even at surface during floods when the water level increases by 50-120 cm above normal level.  Conditions for spawning include high current (0.5-1.7 m/s), turbid water, temperatures above 15°C (usually 18-26°C)  and high oxygen concentrations (Ref. 59043).  Spawning ceases if conditions change (especially sensitive to water-level fall) and resumes again when water level increases.  Juveniles and adults form large schools during spawning season.  Mature individuals undertake long distance upriver migration at start of a rapid flood and water-level increase, able to leap over obstacles up to 1 m.  After spawning, adults migrate to foraging habitats,  In autumn, adults move to deeper places in main course of river where they remain without feeding.  Larvae drift downstream and settle in floodplain lakes, shallow shores and backwaters with little or no current (Ref. 59043).  In aquaculture, it can survive brackish water (up to 7 ppt) when released into estuaries and coastal lakes (Ref. 59043).  Escape from fish farms are widely known even as they are stocked in large rivers and almost all still water bodies like lakes and ponds.  Utilized fresh for human consumption and also introduced to many countries where its ability to clean reservoirs and other waters of clogging algae is appreciated even more than its food value (Ref. 9987).  One of among 3 or 4 species of cyprinids whose world production in aquaculture exceeds 1 million tons per year (Ref. 30578).",NA,0.625,0,2,1990-10-17T00:00:00.000Z,2,2012-05-14T00:00:00.000Z,97,2003-01-03T00:00:00.000Z,NA,274
