Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,DemersPelag,DepthRangeDeep,Length,user_supplied_name,submitted_name,score,exclude,realm,obs_id,taxize_name,subgroup,common_name,body_part,food_name_in_english,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,biblio_id,location,season,comments_on_data_processing_methods,publication_year,food_item_id,BodyShapeI
Carcinus maenas,2,mainly animals (troph. 2.8 and up),browsing on substrate,3.15,subtropical,benthic,200,6,Carcinus maenas,Carcinus maenas,0.988,NA,brackmarine,bc998,Carcinus maenas,Crustacean,Green crab,NA,"Green crab, wild, claw meat, raw",NA,NA,NA,0.154,0.115,16.8,0.5,fi164,"USA, ME, Atlantic Ocean, Gulf of Maine",Nov 2000,NA,2002,0901017,NA
Eriocheir sinensis,2,plants/detritus+animals (troph. 2.2-2.79),NA,2.85,temperate,benthic,25,7.5,Eriocheir sinensis,Eriocheir sinensis,0.988,NA,freshbrackmarine,bc1145,Eriocheir sinensis,Crustacean,Chinese mitten crab,NA,"Chinese mitten crab, farmed, female, lake-stocked, gonads, raw",NA,NA,NA,0.3995568,0.249723,34.66,17.7,fi218,"China, Hubei province, Jingxingyue Lake",Nov 2002,FA converted using XFA,2007,0901184,NA
Eriocheir sinensis,2,plants/detritus+animals (troph. 2.2-2.79),NA,2.85,temperate,benthic,25,7.5,Eriocheir sinensis,Eriocheir sinensis,0.988,NA,freshbrackmarine,bc1146,Eriocheir sinensis,Crustacean,Chinese mitten crab,NA,"Chinese mitten crab, farmed, female, lake-stocked, muscle, raw",NA,NA,NA,0.1040494,0.10725092,20.71,1.96,fi218,"China, Hubei province, Jingxingyue Lake",Nov 2002,FA converted using XFA,2007,0901185,NA
Eriocheir sinensis,2,plants/detritus+animals (troph. 2.2-2.79),NA,2.85,temperate,benthic,25,7.5,Eriocheir sinensis,Eriocheir sinensis,0.988,NA,freshbrackmarine,bc1147,Eriocheir sinensis,Crustacean,Chinese mitten crab,NA,"Chinese mitten crab, farmed, male, lake-stocked, muscle, raw",NA,NA,NA,0.20458472,0.08934396,18.48,1.64,fi218,"China, Hubei province, Jingxingyue Lake",Nov 2002,FA converted using XFA,2007,0901186,NA
Haliotis rubra,4,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,temperate,benthic,50,20,Haliotis rubra,Haliotis rubra,0.988,NA,marine,af761,Haliotis rubra,Mollusc,Blacklip abalone,NA,"Blacklip abalone, farmed, muscle, raw",NA,NA,NA,0.0403,0.0076,NA,1.2,fi204,"Australia, Victoria, Port Phillip Bay; obtained from Ocean Wave Seafoods Company",Nov (spring)  2000,NA,2006,0902065,NA
Haliotis rubra,4,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,temperate,benthic,50,20,Haliotis rubra,Haliotis rubra,0.988,NA,marine,af762,Haliotis rubra,Mollusc,Blacklip abalone,NA,"Blacklip abalone, farmed, muscle, raw",NA,NA,NA,0.0325,0.0054,NA,2.7,fi204,"Australia, Victoria, Port Phillip Bay; obtained from Ocean Wave Seafoods Company",Jan (summer) 2000,NA,2006,0902066,NA
Haliotis rubra,4,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,temperate,benthic,50,20,Haliotis rubra,Haliotis rubra,0.988,NA,marine,af763,Haliotis rubra,Mollusc,Blacklip abalone,NA,"Blacklip abalone, farmed, muscle, raw",NA,NA,NA,0.034,0.0072,NA,0.9,fi204,"Australia, Victoria, Port Phillip Bay; obtained from Ocean Wave Seafoods Company",May (autum) 2001,NA,2006,0902067,NA
Haliotis rubra,4,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,temperate,benthic,50,20,Haliotis rubra,Haliotis rubra,0.988,NA,marine,af764,Haliotis rubra,Mollusc,Blacklip abalone,NA,"Blacklip abalone, farmed, muscle, raw",NA,NA,NA,0.0427,0.0092,NA,1,fi204,"Australia, Victoria, Port Phillip Bay; obtained from Ocean Wave Seafoods Company",Jul (winter) 2001,NA,2006,0902068,NA
Illex coindetii,0.442163,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.27,temperate,pelagic,1000,32,Illex coindetii,Illex coindetii,0.988,NA,marine,seadata140,Illex coindetii,Mollusc,NA,NA,"NA, edible muscle",54.6,12.3876,NA,NA,NA,15.59,1.56,sea11,Aegean Sea,NA,NA,NA,NA,NA
Nephrops norvegicus,4,mainly animals (troph. 2.8 and up),variable,3.67,temperate,benthic,800,24,Nephrops norvegicus,Nephrops norvegicus,0.988,NA,marine,bc1156,Nephrops norvegicus,Crustacean,Norway lobster,NA,"Norway lobster, wild edible flesh, raw",NA,NA,NA,0.006342894,0.009054711,20.4,0.1,fi220,"Portugal, Algarve, off the south coast",Winter (Dec) 2000,FAT-/PROT- (analyzed according to AOAC 1998); FA converted using XFA; Lipid fractions calculated based on FAT (proximate),2003,0901195,NA
