Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,obs_id,submitted_name,subgroup,common_name,body_part,food_name_in_english,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,biblio_id,location,season,comments_on_data_processing_methods,publication_year,food_item_id,realm
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc122,Abramis brama,Finfish,Freshwater bream,muscle,"Bream, wild, dorsal muscle, raw",20.91808,0.213572,0.373252,NA,NA,NA,NA,fi26,"Poland, Niegocin Lake",Jun 1997,Minerals given per DM - conversion to FW,2009,0900122,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc123,Abramis brama,Finfish,Freshwater bream,muscle,"Bream, wild, dorsal muscle, raw",11.59704,0.16992,0.39294,NA,NA,NA,NA,fi26,"Poland, Kisajno Lake",Jun 1997,Minerals given per DM - conversion to FW,2009,0900123,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc124,Abramis brama,Finfish,Freshwater bream,muscle,"Bream, wild, dorsal muscle, raw",11.4597,0.177786,0.372708,NA,NA,NA,NA,fi26,"Poland, Dargin Lake",Jun 1997,Minerals given per DM - conversion to FW,2009,0900124,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc125,Abramis brama,Finfish,Freshwater bream,muscle,"Bream, wild, dorsal muscle, raw",12.10548,0.191706,0.36618,NA,NA,NA,NA,fi26,"Poland, Dargin Lake",Jun 1997,Minerals given per DM - conversion to FW,2009,0900125,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc158,Abramis brama,Finfish,Freshwater bream,muscle_skinless,"Bream, wild, skinless fillet, raw",52,0.7,0.9,NA,NA,20,0.7,fi32,"Greece, Evros River",Summer 1987,NA,1989,0900158,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc159,Abramis brama,Finfish,Freshwater bream,muscle_skinless,"Bream, wild, skinless fillet, raw",53,0.6,1,NA,NA,19,1.4,fi32,"Greece, Evros River",Summer 1988,NA,1989,0900159,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc225,Abramis brama,Finfish,Freshwater bream,muscle_skinless,"Bream, wild, skinless, boneless fillet, raw",NA,NA,NA,0.09322,0.12087,NA,1,fi47,"Greece, Evros River",Jul-Aug 1987,FA converted using XFA,1991,0900225,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,bc665,Abramis brama,Finfish,Freshwater bream,muscle_skinless,"Common bream, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,6.4,fi105,"Germany, Usedom, Baltic Sea",Jul 2003,NA,2006,0900684,freshbrack
Acipenser fulvescens,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,c1,Acipenser fulvescens,Finfish,Lake Sturgeon,muscle,"Lake Sturgeon, muscle",NA,NA,NA,NA,NA,17.1,9.1,27,NA,NA,NA,NA,NA,freshbrack
Acipenser fulvescens,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,c2,Acipenser fulvescens,Finfish,Lake Sturgeon,muscle,"Lake Sturgeon, muscle",6.61,0.139,0.443,NA,NA,18.3,3.31,44,NA,NA,NA,NA,NA,freshbrack
