seanuts_id2,species1,nutrient,concentration,feeding_mode,feeding_level,EnvTemp,DemersPelag,BodyShapeI,part,log_concentration,log_length,bulk_trophic_level,DepthRangeDeep,AgeMatMin,realm,source,reference
NA,Acipenser fulvescens,ca_mg,6.61,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,1.888583653863595,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine,44
NA,Acipenser fulvescens,zn_mg,0.443,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,-0.8141855089370014,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine,44
NA,Acipenser fulvescens,fe_mg,0.139,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,-1.973281345851445,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine,44
NA,Acipenser fulvescens,protein_g,17.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,2.8390784635086144,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine,27
NA,Acipenser fulvescens,protein_g,18.3,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,2.9069010598473755,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine,44
NA,Acipenser fulvescens,fat_g,9.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,2.2082744135228043,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine,27
NA,Acipenser fulvescens,fat_g,3.31,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,1.1969481893889715,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine,44
NA,Acipenser fulvescens,mn_mg,0.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,-3.912023005428146,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine,44
NA,Acipenser spp.,zn_mg,0.42,NA,NA,NA,NA,NA,muscle,-0.8675005677047231,NA,NA,NA,NA,NA,cine,13
NA,Acipenser spp.,protein_g,16.1,NA,NA,NA,NA,NA,muscle,2.7788192719904172,NA,NA,NA,NA,NA,cine,13
NA,Acipenser spp.,protein_g,18.1,NA,NA,NA,NA,NA,muscle,2.89591193827178,NA,NA,NA,NA,NA,cine,27
NA,Acipenser spp.,fat_g,4.04,NA,NA,NA,NA,NA,muscle,1.3962446919730587,NA,NA,NA,NA,NA,cine,13
NA,Acipenser spp.,fat_g,1.9,NA,NA,NA,NA,NA,muscle,0.6418538861723947,NA,NA,NA,NA,NA,cine,27
