sciname,Genus,Species,SpeciesRefNo,Author,FBname,PicPreferredName,PicPreferredNameM,PicPreferredNameF,PicPreferredNameJ,FamCode,Subfamily,GenCode,SubGenCode,BodyShapeI,Source,AuthorRef,Remark,TaxIssue,Fresh,Brack,Saltwater,DemersPelag,AnaCat,MigratRef,DepthRangeShallow,DepthRangeDeep,DepthRangeRef,DepthRangeComShallow,DepthRangeComDeep,DepthComRef,LongevityWild,LongevityWildRef,LongevityCaptive,LongevityCapRef,Vulnerability,Length,LTypeMaxM,LengthFemale,LTypeMaxF,MaxLengthRef,CommonLength,LTypeComM,CommonLengthF,LTypeComF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Pic,PictureFemale,LarvaPic,EggPic,ImportanceRef,Importance,PriceCateg,PriceReliability,Remarks7,LandingStatistics,Landings,MainCatchingMethod,II,MSeines,MGillnets,MCastnets,MTraps,MSpears,MTrawls,MDredges,MLiftnets,MHooksLines,MOther,UsedforAquaculture,LifeCycle,AquacultureRef,UsedasBait,BaitRef,Aquarium,AquariumFishII,AquariumRef,GameFish,GameRef,Dangerous,DangerousRef,Electrogenic,ElectroRef,Complete,GoogleImage,Comments,Profile,PD50,Emblematic,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS,SpecCode
Oncorhynchus kisutch,Oncorhynchus,kisutch,5723,"(Walbaum, 1792)",Coho salmon,Onkis_m3.jpg,NA,NA,NA,76,Salmoninae,2445,NA,fusiform / normal,O,NA,NA,0,-1,-1,-1,demersal,anadromous,51243,0,250,50550,NA,NA,NA,5.0,36794,NA,NA,53.09,107.95,TL,65.5,NA,40637,71.0,TL,59.5,NA,593,15170.0,NA,40637,ONKIS_U0,NA,NA,NA,4931,highly commercial,medium,Reliable: based on ex-vessel price for this species,NA,"from 50,000 to 100,000",NA,,,-1,-1,0,-1,0,-1,0,0,-1,-1,commercial,,12108,never/rarely,NA,never/rarely,based mainly on capture,9183,-1,4699,harmless,NA,no special ability,NA,NA,-1,"The fish occur in the ocean or in lakes; adults return to the rivers where they were born (Ref. 27547).  The young fish emerge in springtime and they usually live in fresh water for 1-2 years (sometimes up to 4 years, Ref. 27547); later they migrate at night to freshwater lakes or to the sea (Ref. 1998).  Epipelagic (Ref. 58426).  The fish that stay more than two years in fresh water and become sexually ripe without ever going to sea, are called residuals; they never spawn (Ref. 27547). Young fish in lakes and rivers eat mainly insects; they stay almost entirely in deep parts of the river and soon become strongly territorial (Ref. 27547). Upon reaching the sea, the smolts remain close to the coast for a certain time, eating planktonic crustaceans (Ref. 27547). As they grow, they migrate farther out into the sea and hunt larger organisms (Ref. 27547) such as jellyfish, squids and fishes (Ref. 58426).  They are hunted by various fishes, birds (mergansers, loons and kingfishers), mammals and lampreys (Ref. 1998).  This kind is traded as fresh fish, dried or salted, smoked, canned, preserved and frozen (Ref. 9988).  They are steamed, grilled, broiled, cooked in the microwave and baked (Ref. 9988).  The Alaska Salmon fishery of this species has been certified by the Marine Stewardship Council (<a>http://www.msc.org/</a>) as well-managed and sustainable (<a>http://www.msc.org/html/content_485.htm</a>).",NA,0.5,0,2,1990-10-17T00:00:00.000Z,309,2008-06-17T00:00:00.000Z,97,2003-01-03T00:00:00.000Z,NA,245
Trichogaster microlepis,Trichopodus,microlepis,94476,"(Günther, 1861)",Moonlight gourami,Trmic_u3.jpg,NA,NA,NA,429,Luciocephalinae,8036,NA,short and / or deep,O,NA,Placed in the genus <i>Trichopodus</i> in Ref. 87121.,1,-1,0,0,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.77,13.0,SL,NA,NA,43281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1672,minor commercial,unknown,NA,NA,NA,NA,NA,NA,-1,0,-1,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,highly commercial,based mainly on breeding,1672,0,NA,harmless,NA,no special ability,NA,NA,-1,"Found in ponds and swamps (Ref. 43281).  Occurs in shallow sluggish or standing water habitats with a lot of aquatic vegetation.  Common in the floodplain of the lower Mekong.  Feeds on zooplankton, crustaceans and aquatic insects.  Marketed fresh (Ref. 12693).",NA,0.5156,0,2,1991-11-26T00:00:00.000Z,10,2015-10-27T00:00:00.000Z,1,1995-02-09T00:00:00.000Z,NA,4729
Channa marulius,Channa,marulius,58343,"(Hamilton, 1822)",Great snakehead,Chmar_uf.jpg,NA,NA,NA,431,NA,7138,NA,elongated,O,NA,NA,0,-1,0,0,benthopelagic,potamodromous,51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.51,183.0,TL,NA,NA,6351,46.0,TL,NA,NA,4833,3e4,NA,4833,CHMAR_U3,NA,NA,NA,4833,commercial,unknown,NA,NA,NA,NA,,,-1,-1,0,0,0,0,0,0,-1,0,commercial,,4833,never/rarely,NA,public aquariums,based mainly on capture,6028,-1,4833,traumatogenic,NA,no special ability,NA,NA,-1,"Adults occur in sluggish or standing water in canals, lakes, and swamps (Ref.  12693).  Inhabit waters with submerged aquatic vegetation (Ref. 12693).  Usually found only in deep pools in rivers and occasionally in lakes.  They enter flooded forest (Ref. 9497).  Carnivorous and subsist on fish, frogs, snakes, insects, earthworms and tadpoles (Ref. 1479).  There are reports of this species taking water birds, snakes, and rodents.  Males are territorial.  May bite when caught (Elliot Bligh, pers. comm., 2001).",NA,0.5,0,2,1992-02-27T00:00:00.000Z,65,2014-02-27T00:00:00.000Z,1,2006-01-16T00:00:00.000Z,NA,5144
Parambassis wolffii,Parambassis,wolffii,10429,"(Bleeker, 1850)",Duskyfin glassy perchlet,Pawol_u0.gif,NA,NA,NA,509,NA,7206,NA,short and / or deep,R,NA,NA,0,-1,0,0,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3,20.0,SL,NA,NA,30857,9.4,SL,NA,NA,10429,NA,NA,NA,PAWOL_U0,NA,NA,NA,NA,NA,low,Very questionable: based on ex-vessel price for species in this family,NA,NA,NA,NA,NA,-1,0,-1,-1,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,never/rarely,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,-1,"Found in main rivers and lakes (Ref. 56749).  Occurs in sluggish rivers and floodplains.  Grows to a fairly large size and is probably the most common species of this family, seen in the markets.  Feeds on insects, crustaceans, and small fish (Ref. 12693).  Used as feeds for caged fishes (Ref. 56749).",NA,0.5,0,14,1996-01-12T00:00:00.000Z,303,2011-10-26T00:00:00.000Z,10,1997-06-28T00:00:00.000Z,NA,16235
Helostoma temminkii,Helostoma,temminkii,7050,"Cuvier, 1829",Kissing gourami,Hetem_u5.jpg,NA,NA,NA,428,NA,3538,NA,short and / or deep,O,NA,NA,0,-1,0,0,benthopelagic,potamodromous,51243,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0,30.0,TL,NA,NA,7050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4931,highly commercial,unknown,NA,NA,"from 10,000 to 50,000",NA,NA,NA,-1,-1,-1,-1,0,0,0,-1,0,0,commercial,NA,12108,never/rarely,NA,highly commercial,based mainly on breeding,7020,-1,NA,harmless,NA,no special ability,NA,NA,-1,"Occurs in lakes and rivers (Ref. 56749).  Prefers slow-moving water with thick vegetation.  Feeds on a variety of plants and animals, including green algae and zooplankton (Ref. 6459) as well as aquatic insects near the water surface (Ref. 12693).  Utilized fresh for steaming, pan-frying, broiling and baking (Ref. 9987); also processed as dried or salted fish; ripe ovaries are collected and separately eaten (Ref. 56749). Large quantities of small fish are exported for aquarium use in Japan, Europe, North America, Australia and other parts of the world (Ref. 9987).  Very popular with aquarists due to its habit of sucking its lips and kissing other fishes, plants and other objects (Ref. 4833).  Aquarium keeping:  not recommended for home aquariums; minimum aquarium size 150 cm (Ref. 51539).",NA,1.5,0,2,1990-10-17T00:00:00.000Z,10,2008-02-06T00:00:00.000Z,10,1994-06-21T00:00:00.000Z,NA,500
Cyclocheilichthys apogon,Cyclocheilichthys,apogon,12693,"(Valenciennes, 1842)",Beardless barb,Cyapo_u0.gif,NA,NA,NA,122,No subfamily,10007,NA,fusiform / normal,O,NA,NA,0,-1,0,0,benthopelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.35,25.0,TL,NA,NA,30857,NA,NA,NA,NA,NA,NA,NA,NA,CYAPO_U0,NA,NA,NA,4832,commercial,unknown,NA,NA,NA,NA,NA,NA,-1,0,-1,-1,0,0,0,0,0,-1,never/rarely,NA,NA,never/rarely,NA,commercial,based mainly on capture,4537,0,NA,harmless,NA,no special ability,NA,NA,-1,"Inhabits small streams, reservoirs, lakes (Ref. 4832), canals, ditches, and generally areas with slow moving or standing water (Ref. 12693).  Occurs in medium to large-sized rivers (Ref. 12975, 57235).  Stomach contents are composed of fish and insect remains (Ref. 56749). Typically found around surfaces, such as plant, leaves, branches and tree roots where it browses for small plankton and crustaceans.  Moves into flooded forests and non-forested floodplains.  Reported to breed late during high-water season from September to October as water levels peak and begin to decline (Ref. 12693).  Found in the basin-wide tributary of the lower Mekong (Ref. 36667).  Common foodfish in markets (Ref. 57235).",NA,0.5039,0,14,1994-05-27T00:00:00.000Z,10,2013-08-22T00:00:00.000Z,3,1994-08-06T00:00:00.000Z,NA,10313
Channa micropeltes,Channa,micropeltes,2091,"(Cuvier, 1831)",Indonesian snakehead,Chmic_u7.jpg,NA,NA,NA,431,NA,7138,NA,elongated,R,NA,NA,0,-1,0,0,benthopelagic,potamodromous,51243,100,NA,27732,NA,NA,NA,NA,NA,NA,NA,72.52,130.0,SL,NA,NA,30857,50.0,SL,NA,NA,57235,2e4,NA,4835,CHMIC_U0,NA,NA,NA,4931,commercial,unknown,NA,NA,"from 1,000 to 10,000",NA,NA,NA,-1,-1,0,-1,0,0,0,0,0,0,commercial,NA,12108,never/rarely,NA,public aquariums,NA,4537,-1,4833,harmless,NA,no special ability,NA,NA,-1,"Occurs in lowland river and swamp (Ref. 57235).  Usually associated with deep water bodies (Ref. 27732).  Found in large streams and canals (Ref. 4833), with standing or slowly flowing water (Ref. 12693).  Feeds mainly on fish but also takes some crustaceans.  Spawns in small streams with dense vegetation (Ref. 56749).  Utilized as a food fish (Ref. 4931).  Economic important mainly from capture fisheries (Ref. 57235).",NA,0.5,0,2,1990-10-17T00:00:00.000Z,65,2014-02-27T00:00:00.000Z,1,2006-01-16T00:00:00.000Z,NA,344
Dermogenys pusilla,Dermogenys,pusilla,7050,"Kuhl & van Hasselt, 1823",Wrestling halfbeak,Depus_u3.jpg,NA,NA,NA,694,NA,4200,NA,elongated,O,NA,NA,0,-1,-1,-1,pelagic-neritic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0,7.0,SL,NA,NA,30857,NA,NA,NA,NA,NA,NA,NA,NA,DEPUS_U0,NA,NA,NA,NA,minor commercial,unknown,NA,NA,NA,NA,NA,NA,-1,0,-1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,commercial,based mainly on breeding,7020,0,NA,harmless,NA,no special ability,NA,NA,-1,"Found in rivers, rivulets, canals, drains, ponds and lakes (Ref. 4833).  Rarely found in the sea (Ref. 45255).  Inhabits medium to large rivers, flooded fields and mainly stagnant waters including sluggish flowing canals of the lower Mekong (Ref. 12975).  Most common in areas with floating plants or rooted aquatics that reach the surface (Ref. 12693).  Larvae and early juveniles are sometimes found in the upper reaches of mangroves during the wet season (Ref. 43081).  A live-bearer species.  Feed on worms, crustaceans and insects (Ref. 7020).  Rarely taken in commercial catches, although it may be found in subsistence catches.  Not seen in markets (Ref. 12693).",NA,0.5001,0,10,1994-06-22T00:00:00.000Z,303,2012-10-31T00:00:00.000Z,10,2001-08-11T00:00:00.000Z,NA,11298
Parambassis ranga,Parambassis,ranga,10429,"(Hamilton, 1822)",Indian glassy fish,Paran_ua.jpg,NA,NA,NA,509,NA,7206,1,short and / or deep,R,NA,"Place in the genus <i>Pseudambassis</i> Bleeker, 1874 in Eschmeyer (CofF ver. May 2011: Ref. 86870).",1,-1,-1,0,demersal,potamodromous,51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.01,8.0,TL,NA,NA,1479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12693,subsistence fisheries,low,Very questionable: based on ex-vessel price for species in this family,NA,NA,NA,NA,NA,-1,0,-1,-1,0,0,0,-1,0,-1,never/rarely,NA,NA,never/rarely,NA,commercial,based mainly on breeding,7020,0,NA,harmless,NA,no special ability,NA,NA,-1,"Found in sluggish and standing water.  A common species proliferating in impoundments.  Most abundant during the rainy season.  Feeds on invertebrates (Ref. 12693), worms and crustaceans (Ref. 7020).  Breeds everywhere during the rains.  Builds a nest and guards its young.  Rare in markets and often found in the aquarium trade (Ref. 12693).  Aquarium keeping:  in groups of 5 or more individuals; minimum aquarium size 60 cm (Ref. 51539).",NA,0.5,0,14,1994-05-11T00:00:00.000Z,65,2014-01-27T00:00:00.000Z,10,1996-08-30T00:00:00.000Z,NA,10130
Oreochromis niloticus,Oreochromis,niloticus,2,"(Linnaeus, 1758)",Nile tilapia,Ornil_u6.jpg,NA,NA,NA,349,Pseudocrenilabrinae,3459,NA,fusiform / normal,R,NA,NA,0,-1,-1,0,benthopelagic,potamodromous,51243,0,6,32849,NA,20,34290,9.0,164,12.0,53038,30.47,60.0,SL,NA,NA,4967,NA,NA,NA,NA,NA,4324.0,NA,40637,ORNIL_U0,ORNIL_F0,NA,NA,4931,highly commercial,unknown,NA,NA,"from 100,000 to 500,000",NA,seines,,-1,-1,0,-1,0,-1,0,0,0,0,commercial,life cycle closed in commercial culture,12108,never/rarely,NA,never/rarely,,NA,0,NA,potential pest,NA,no special ability,NA,NA,-1,"Occur in a wide variety of freshwater habitats like rivers, lakes, sewage canals and irrigation channels (Ref. 28714).  Mainly diurnal.  Feed mainly on phytoplankton or benthic algae.    Oviparous (Ref. 205).  Mouthbrooding by females (Ref. 2). Extended temperature range 8-42 °C, natural temperature range 13.5 - 33 °C (Ref. 3).  Marketed fresh and frozen (Ref. 9987).",NA,0.5,0,2,1990-10-17T00:00:00.000Z,10,2013-03-30T00:00:00.000Z,97,2003-01-28T00:00:00.000Z,NA,2
