"","unique_paper","subgroup","species_name","nutrient","concentration1","concentration","dri_per","ref_info","ref_number","Authors","Title","Publication","Volume","Number","Pages","Year","Publisher","notes"
"1","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Cyprinus carpio","dha",0.014040524,0.014040524,1.4040524,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"2","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Cyprinus carpio","fat",1.19,1.19,1.7,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"3","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Hemisorubim platyrhynchos","dha",0.397990409,0.397990409,39.7990409,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"4","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Hemisorubim platyrhynchos","fat",2.98,2.98,4.25714285714286,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"5","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Hoplias malabaricus","dha",0.007100303,0.007100303,0.7100303,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"6","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Hoplias malabaricus","epa",0.00661606,0.00661606,0.661606,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"7","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Hoplias malabaricus","fat",0.27,0.27,0.385714285714286,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"8","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Leporinus elongatus","dha",0.081477796,0.081477796,8.1477796,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"9","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Leporinus elongatus","fat",9.17,9.17,13.1,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
"10","_3 fatty acids in freshwater fish from south brazil_Journal of the American Oil Chemists Society","finfish","Leporinus friderici","dha",0.103566489,0.103566489,10.3566489,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ω3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE;","_3 fatty acids in freshwater fish from south brazil","Journal of the American Oil Chemists Society","72","10","1207-1210",1995,"Springer",NA
