"","sciname","StockDefs","TempMin","TempMax","SpecCode"
"1","Trachurus trachurus","Mediterranean Sea and eastern Atlantic:  Norway to South Africa, round the coast to Maputo.",NA,NA,1365
"2","Trachurus trachurus","North Sea, Eastern Channel, Skagerrak (ICES divisions IVb,c, VIId, IIIa)",NA,NA,1365
"3","Trachurus trachurus","Northeast Atlantic:  Southern Norwegian Sea, Northern North Sea, around Faroe Islands, West of Scotland, Irish Sea, West of Ireland, Celtic Sea, Bay of Biscay (ICES Divisions IIa, IIIa (Western part), IVa, Vb, VIa, VIIa-c, VIIe-k, VIIIa-e).",NA,NA,1365
"4","Trachurus trachurus","Northeast Atlantic:  Western Iberian Seas (ICES division IXa).",NA,NA,1365
"5","Pinirampus pirinampu","South America:  Amazon, Essequibo, Orinoco, and Paraná basins.",22,28,8688
"6","Cyprinus carpio","Asia:  Hong Kong strain ('Dor-70') introduced from the Fish and Aquaculture Research Station, Dor, Israel to the Agriculture Fisheries Department, Hong Kong in August 1977.  Founding stock was 600 fry.",NA,NA,1450
"7","Cyprinus carpio","Asia:  Israel-Hong Kong strain ('Big belly') introduced to Israel from Hong Kong by the Mekoroth Water Company.",NA,NA,1450
"8","Cyprinus carpio","Asia:  Israel-Taiwan 1970 strain ('Big belly') introduced to Israel from Taiwan in 1970.",NA,NA,1450
"9","Cyprinus carpio","Asia:  Punten strain (scale carp) of West Java, Indonesia.",NA,NA,1450
"10","Cyprinus carpio","Asia:  Taiwan-China strain ('Big belly') introduced to Taiwan from China.",NA,NA,1450
"11","Cyprinus carpio","Asia:  Viet Nam strain (cultured at the Research Institute for Aquaculture in Hanoi).",NA,NA,1450
"12","Cyprinus carpio","Asia: Asagi strain (scale carp) of Nagano Prefecture, Japan.",NA,NA,1450
"13","Cyprinus carpio","Asia: 'Big belly' (scale carp) of Chinese race.  A collective name for Chinese common carp.  Introduced in most of Southeast Asian countries.",NA,NA,1450
"14","Cyprinus carpio","Asia: 'Dor-70' strain (mirror carp) was a result of the genetic improvement program at the Fish and Aquaculture Research Station, Dor, Israel.",NA,NA,1450
"15","Cyprinus carpio","Asia: Hong Kong strain ('Big belly') introduced to Hong Kong from China.",NA,NA,1450
"16","Cyprinus carpio","Asia: Katjera Domas strain of West Java, Indonesia.",NA,NA,1450
"17","Cyprinus carpio","Asia: Kursk strain (mirror carp) of Russian race.",NA,NA,1450
"18","Cyprinus carpio","Asia: Majalayan strain (scale carp) of Sukabumi, West Java, Indonesia.",NA,NA,1450
"19","Cyprinus carpio","Asia: Sinyonya strain (scale carp) of West Java, Indonesia.",NA,NA,1450
"20","Cyprinus carpio","Europe and Asia:  Nivchan strain (scale carp) of Russian race.",NA,NA,1450
"21","Cyprinus carpio","Europe and Asia: German strain.  Introduced in the flatland temperate waters of Kashmir, India about three decades ago.",NA,NA,1450
"22","Cyprinus carpio","Europe and Asia: Nasice strain (mirror carp) of Nasice fish farm, Croatia.  Introduced to Israel from Nasice, Croatia in 1970.",NA,NA,1450
"23","Cyprinus carpio","Europe: Aischgrunder strain (mirror carp) was developed in Aischgrund, Bavaria, Germany during the past 300 years.",NA,NA,1450
"24","Cyprinus carpio","Europe: Bohemian strain (leather carp), Bohemia, Czech Republic.",NA,NA,1450
"25","Cyprinus carpio","Europe: Galician strain (mirror carp), Galicia, Poland.  These were bred by A. Gasch in 1900 (see Ref. 4561).",NA,NA,1450
"26","Cyprinus carpio","Europe: Lausitzer strain (scale carp), Lausitzer area, eastern Germany.",NA,NA,1450
"27","Cyprinus carpio","Japan: Yamato strain (scale carp) of Nagano Prefecture, Japan.  Widely cultivated in Japan.",NA,NA,1450
"28","Cyprinus carpio","Asia: Hong Kong wild strain x `Dor-70' hybrid.  Produced by crossing wild strain female with `Dor-70' male in 1979 and 1980.",NA,NA,1450
"29","Cyprinus carpio","Europe and Asia: Dinnyés strain (mirror carp), Hungary.  A hybrid of Hungarian, Israeli and Yugoslavian stocks.  Has also been introduced to Bangladesh.",NA,NA,1450
"30","Cyprinus carpio","Europe and Asia: Ropsha strain (mirror carp) of Russian race.  Hybrid produced between Amur wild carp and Galician carp.",NA,NA,1450
"31","Cyprinus carpio","Europe to Asia:  Black, Caspian and Aral Sea basins.  Introduced throughout the world.  Wild stocks are only present naturally in rivers draining to the Black, Caspian and Aral Sea (Ref. 59043).  A reophilic wild population in the Danube is assumed to be the origin of the European species; this population is now under threat (Ref. 13696).",3,35,1450
"32","Cyprinus carpio","<i>Cyprinus carpio haematopterus</i>	:  Asia:  Amur-Chinese region or Far Eastern region.  Amur basin from the Onon and Argun' to the mouth of the Amur;  Sungari, Ussuri, Lake Khanka (Ref. 1441).  Stocks have lower counts of dorsal fin rays and gill rakers compared to carps from various Central-Asian origins.  Known to be more resistant to low temperatures.",NA,NA,1450
"33","Cyprinus carpio","Asia:  Wild strain scale carp of Central and East Asia.",NA,NA,1450
"34","Cyprinus carpio","Europe: 'Wild strain' (scale carp) from Europe.  The European wild carp is now extremely rare and highly endangered.  It is probably extinct in its pure form (Ref. 10926).  Critically endangered in River Danube (Austria, Bulgaria, Croatia, Hungary, Montenegro, Romania, Serbia, Slovakia, Slovenia) (Ref. 72481).",NA,NA,1450
"35","Pterodoras granulosus","South America:  Amazon and Paraná River basins and coastal drainages in Guyana and Suriname.",20,24,12109
"36","Plagioscion squamosissimus","South America:  Amazon, Orinoco, Paraná, Paraguay, and São Francisco River basins and rivers fo Guianas.",22,27,4310
"37","Prochilodus lineatus","South America:  Paraná-Paraguay and Paraíba do Sul River basins.",NA,NA,13056
"38","Salminus brasiliensis","South America:  Paraná, Paraguay, and Uruguay River basins; Laguna dos Patos drainage, upper Chaparé and Mamoré River basin in Bolivia.  Occurrence in the remaining Amazon River highly doubtful.",NA,NA,56329
"39","Hemisorubim platyrhynchos","South America:  Amazon, Maroni, Orinoco, and Paraná River basins.",20,22,13261
"40","Piaractus mesopotamicus","South America:  Paraguay-Paraná River basin.",NA,NA,55383
