include,trad_food_id,Food Item ID,Subgroup,database,"Country, region",Type,ISSCAAP,3_alpha,Food name in own language,Food name in English,Processing,Scientific name,ASFIS English name,ASFIS Scientific name,Season,Other,n,Comments on data processing/methods,Publication year,BiblioID,CA(mg),FE(mg),ZN(mg),F20D5N3(g),F22D6N3(g),AS(mcg),CD(mcg),HG(mcg),PB(mcg)
y,5,0901897,Finfish,AnFood,"USA, Oregon/Washington/Alaska",,24,SAH,,"American shad, skinless fillet, raw",r,Alosa sapidissima,American shad,Alosa sapidissima,,,,,1976,fi195,,,,,,,,,
y,5,0900841,Finfish,biocomp,"USA, OR, Northeast Pacific, Seaside",W,24,SHA,,"American shad, wild, fillet, raw",r,Alosa sapidissima,American shad,Alosa sapidissima,,,,,1984,fi125,14.4,0.9444,0.3792,,,,,5.1,
y,5,15094,Finfish,USDA,,,24,SHA,,"Fish, shad, american, raw",r,Alosa sapidissima (Wilson),,Alosa sapidissima,,,,,2014,SR27,47,0.97,0.37,1.086,1.321,,,,
y,10,0900091,Finfish,biocomp,"USA, NC, Neuse River",W,22,ELA,,"American eel, wild, skinless muscle tissue, raw",r,Anguilla rostrata,American eel,Anguilla rostrata,July,"mean body length and weight: 43cm, 166.2g",,PROT- (analyzed accrding to AOAC 1975); FA converted using XFA,1981,fi21,,,,0.0856776,0.1595376,,,,
y,11,0901891,Finfish,AnFood,"USA, SE Alaska/Washington/Oregon",,34,SAB,,"Sablefish, skinless fillet, raw",r,Anoplopoma fimbria,Sablefish,Anoplopoma fimbria,,,,,1976,fi195,,,,,,,,,
y,11,0900196,Finfish,biocomp,"USA, off the OR coast, Pacific Ocean",W,34,SAB,,"Sablefish, wild, boneless, skinless fillet, raw",r,Anoplopoma fimbria,Sablefish,Anoplopoma fimbria,Sep 1987,,1,CHOLE-: colorimetric method using ferric chloride (Sweeney and Weihrauch 1976),1991,fi36,,,,0.35,0.42,,,,
y,11,15074,Finfish,USDA,,,34,SAB,,"Fish, sablefish, raw",r,Anoplopoma fimbria (Pallas),,Anoplopoma fimbria,,,,,2014,SR27,35,1.28,0.32,0.677,0.718,,,,
y,12,15024,Finfish,USDA,,,13,AGR,,"Fish, drum, freshwater, raw",r,Aplodinotus grunniens Rafinesque,,Aplodinotus grunniens,,,,,2014,SR27,60,0.9,0.66,0.23,0.287,,,,
y,16,0901197,Crustacean,biocomp,"Turkey, Gulf of Antalya, Mediterranean Sea",W,42,CRB,,"Blue crab, wild, claw meat, raw",r,Callinectes sapidus,Blue crab,Callinectes sapidus,Jul 2001,"mean length and weight: 4.85cm, 73.28g",,,2003,fi221,,,,,,,,,
y,16,0901198,Crustacean,biocomp,"Turkey, Gulf of Antalya, Mediterranean Sea",W,42,CRB,,"Blue crab, wild, body meat, raw",r,Callinectes sapidus,Blue crab,Callinectes sapidus,Jul 2001,"mean length and weight: 4.85cm, 73.28g",,,2003,fi221,,,,,,,,,
y,16,15139,Crustacean,USDA,,,42,CRB,,"Crustacean, crab, blue, raw",r,Callinectes sapidus Rathbun,,Callinectes sapidus,,,,,2014,SR27,89,0.74,3.54,0.17,0.15,,,,
y,19,0901856,Crustacean,AnFood,"USA, Washington/Oregon/N California",,42,DUN,,"Dungeness crab, edible flesh (body), raw",r,Cancer magister,Dungeness crab,Cancer magister,,,,,1976,fi195,,,,,,,,,
y,19,0901857,Crustacean,AnFood,"USA, Washington/Oregon/N California",,42,DUN,,"Dungeness crab, edible flesh (leg), raw",r,Cancer magister,Dungeness crab,Cancer magister,,,,,1976,fi195,,,,,,,,,
y,19,15143,Crustacean,USDA,,,42,DUN,,"Crustacean, crab, dungeness, raw",r,Cancer magister Dana,,Cancer magister,,,,,2014,SR27,46,0.37,4.27,0.219,0.088,,,,
y,24,0900919,Finfish,biocomp,"USA, NY, Ithaca, Cayuga Lake",W,11,ATO,,"White sucker, wild, fillet, raw",r,Catostomus commersoni,White sucker,Catostomus commersoni,,,1,,1980,fi141,,,,,,,,,
y,24,15107,Finfish,USDA,,,11,ATO,,"Fish, sucker, white, raw",r,Catostomus commersoni (Lacepede),,Catostomus commersoni,,,,,2014,SR27,70,1.3,0.75,0.19,0.289,,,,
y,26,0901852,Molluscs,AnFood,"USA, SE Alaska",,56,KCL,,"Cockle clam, edible flesh, raw",r,Cardium corbis,Basket cockle,Clinocardium nuttallii,,,,,1976,fi195,,,,,,,,,
y,27,0901871,Finfish,AnFood,"USA, Kodiak/SE Alaska/British Colombia",,35,HER,,"Pacific herring, whole, raw",r,Clupea harengus pallasi,Atlantic herring,Clupea harengus,,,,,1976,fi195,,,,,,,,,
y,27,0902223,Finfish,AnFood,Unknown,,35,HER,,"Atlantic herring, skinless fillet, fat, raw",r,Clupea harengus,Atlantic herring,Clupea harengus,,,5,,2007,fi244,47.7,0.88,0.44,,,,,,
y,27,0902224,Finfish,AnFood,Unknown,,35,HER,,"Atlantic herring, skinless fillet, lean, raw",r,Clupea harengus,Atlantic herring,Clupea harengus,,,5,,2007,fi244,23.8,0.87,0.5,,,,,,
y,27,0900399,Finfish,biocomp,"Poland, Baltic Sea",W,35,HER,,"Herring, wild, skinless fillet, frozen",r,Clupea harengus membras,Atlantic herring,Clupea harengus,,,1,FAME converted using ShF and XFA,2011,fi74,,,,0.205817752,0.679594407,,,,
y,27,0900672,Finfish,biocomp,"Unknown, Pobie Bank",W,35,HER,,"Herring, wild, skinless fillet, raw",r,Clupea harengus,Atlantic herring,Clupea harengus,Sep 2001,"fishing areas: North Atlantic, North Sea, Barents Sea, Baltic Sea",1,,2006,fi105,,,,,,,,,
y,27,0900673,Finfish,biocomp,"Unknown, Pobie Bank",W,35,HER,,"Herring, wild, skinless fillet, raw",r,Clupea harengus,Atlantic herring,Clupea harengus,Sep 2001,"fishing areas: North Atlantic, North Sea, Barents Sea, Baltic Sea",1,,2006,fi105,,,,,,,,,
y,27,0900770,Finfish,biocomp,"Finland, Baltic Sea",W,35,HER,,"Baltic herring, wild, skin-on fillet, raw",r,Clupea harengus membras,Atlantic herring,Clupea harengus,,,1,,1999,fi119,,,,,,,,,
y,27,0900771,Finfish,biocomp,"Finland, Baltic Sea",W,35,HER,,"Baltic herring, wild, skin-on fillet, raw",r,Clupea harengus membras,Atlantic herring,Clupea harengus,,,1,,1999,fi119,,,,,,,,,
y,27,0900799,Finfish,biocomp,"Finland, Baltic Sea",W,35,HER,,"Baltic herring, wild, skin-on fillet, raw",r,Clupea harengus membras,Atlantic herring,Clupea harengus,Oct 1993,,1,,1995,fi122,,,,,,,,,
