trad_foods_data_id,taxon_name,ca_mg,fe_mg,zn_mg,epa,dha,biblio_id,culture,Bibliography
1,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Inuit-Inupiaq,"Chan HM, Trifonopoulos M, Ing A, Receveur O, Johnson E: Consumption of freshwater fish in Kahnawake: risks and benefits. Environmental Research 1999, 80(2):S213-S222."
2,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Bella Coola,"Chan HM, Trifonopoulos M, Ing A, Receveur O, Johnson E: Consumption of freshwater fish in Kahnawake: risks and benefits. Environmental Research 1999, 80(2):S213-S222."
3,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Central Salish,"Chan HM, Trifonopoulos M, Ing A, Receveur O, Johnson E: Consumption of freshwater fish in Kahnawake: risks and benefits. Environmental Research 1999, 80(2):S213-S222."
4,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Tsimshian,"Chan HM, Trifonopoulos M, Ing A, Receveur O, Johnson E: Consumption of freshwater fish in Kahnawake: risks and benefits. Environmental Research 1999, 80(2):S213-S222."
5,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Cree,"Chan HM, Trifonopoulos M, Ing A, Receveur O, Johnson E: Consumption of freshwater fish in Kahnawake: risks and benefits. Environmental Research 1999, 80(2):S213-S222."
6,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Montagnais-Naskapi,"Chan HM, Trifonopoulos M, Ing A, Receveur O, Johnson E: Consumption of freshwater fish in Kahnawake: risks and benefits. Environmental Research 1999, 80(2):S213-S222."
7,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Abenaki,"Chan HM, Trifonopoulos M, Ing A, Receveur O, Johnson E: Consumption of freshwater fish in Kahnawake: risks and benefits. Environmental Research 1999, 80(2):S213-S222."
8,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Mi'kmaq,"Chan HM, Trifonopoulos M, Ing A, Receveur O, Johnson E: Consumption of freshwater fish in Kahnawake: risks and benefits. Environmental Research 1999, 80(2):S213-S222."
9,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Wampanoag,"Chan HM, Trifonopoulos M, Ing A, Receveur O, Johnson E: Consumption of freshwater fish in Kahnawake: risks and benefits. Environmental Research 1999, 80(2):S213-S222."
10,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Inuit-Inupiaq,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
11,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Bella Coola,"Ackman RG: Nutritional composition of fats in seafoods. Progress in Food and Nutrition Science 1989, 13:161-241."
