species_name,reference,seanuts_id2
Anabas testudineus,"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",311
Anguilla japonica,"Oku T. Sugawara A., Choudhury M., Komatsu M., Yamada S., Ando S. (2009). Lipid and fatty acid compositions differntiate between wild and cultured Japanese eel (Anguilla japonica). Food Chemistry 115: 436-440",323
Anguilla rostrata,"Otwell W.S., Rickards W.L. (1981/1982). Cultured and wild American eels, Anguilla rostrata: fat content and fatty acid composition. Aquaculture 26: 67-76",324
Channa punctata,"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",410
Clarias batrachus,"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",432
Cyprinus carpio,"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",1304
Dicentrarchus labrax,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",522
Dicentrarchus labrax,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",523
Dicentrarchus labrax,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",524
Dicentrarchus labrax,"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",525
Mystus vittatus,"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",790
Patagonotothen ramsayi,"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",264
Patagonotothen ramsayi,"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",896
Patagonotothen ramsayi,"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",897
Patagonotothen ramsayi,"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",898
Patagonotothen ramsayi,"González M.J., Gallardo J.M., Brickle P., Medina I. (2007).Nutritional composition and safety of Patagonothothen ramsayi, a discard species from Patagonian Shelf. International Journal of Food Science and Technology 42: 1240-1248",899
Piaractus mesopotamicus,"Tanamati A., Stevanato F.B., Visentainer J.E.L., Matsushita M., de Souza N.E., Visentainer J.V. (2009). Fatty acid composition in wild and cultivated pacu and pintado fish. Eur. J. Lipid Sci. Technol. 111:183-187",937
Pseudoplatystoma corruscans,"Tanamati A., Stevanato F.B., Visentainer J.E.L., Matsushita M., de Souza N.E., Visentainer J.V. (2009). Fatty acid composition in wild and cultivated pacu and pintado fish. Eur. J. Lipid Sci. Technol. 111:183-187",976
Sander lucioperca,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427",68
Sander lucioperca,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427",73
Albatrossia pectoralis,"Oliveira A.C.M., Bechtel P.J. (2005). Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow-tooth flounder (Atheresthes stomias), pacivic cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma). Journal of Muscle Foods 17:20-33",291
