species1,latin_name,pageid,level_1,level_2,common_name,latin_name1,part,preparation,reference,nutrient,concentration,AgeMatMin,feeding_level,feeding_mode,bulk_trophic_level,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,log_concentration,log_length,seanuts_id2,species_name,subgroup,abs_lat
Acipenser fulvenscens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,44,ca_mg,6.61,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,1.888583653863595,5.6131281063880705,NA,NA,NA,NA
Acipenser fulvenscens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,79,ca_mg,14,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,2.6390573296152584,5.6131281063880705,NA,NA,NA,NA
Acipenser fulvenscens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,44,zn_mg,0.443,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,-0.8141855089370014,5.6131281063880705,NA,NA,NA,NA
Acipenser fulvenscens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,44,fe_mg,0.139,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,-1.973281345851445,5.6131281063880705,NA,NA,NA,NA
Acipenser fulvenscens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,79,fe_mg,1.5,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,0.4054651081081644,5.6131281063880705,NA,NA,NA,NA
Acipenser fulvenscens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,27,protein_g,17.1,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,2.8390784635086144,5.6131281063880705,NA,NA,NA,NA
Acipenser fulvenscens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,44,protein_g,18.3,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,2.9069010598473755,5.6131281063880705,NA,NA,NA,NA
Acipenser fulvenscens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,79,protein_g,16.8,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,2.8213788864092133,5.6131281063880705,NA,NA,NA,NA
Acipenser fulvenscens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,27,fat_g,9.1,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,2.2082744135228043,5.6131281063880705,NA,NA,NA,NA
Acipenser fulvenscens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,44,fat_g,3.31,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,1.1969481893889715,5.6131281063880705,NA,NA,NA,NA
Acipenser fulvenscens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,79,fat_g,10.8,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,2.379546134130174,5.6131281063880705,NA,NA,NA,NA
Acipenser fulvenscens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,44,mn_mg,0.02,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,-3.912023005428146,5.6131281063880705,NA,NA,NA,NA
Acipenser oxyrhyncus,Acipenser oxyrhyncus,6447,Fish,Searun Fish,Atlantic Sturgeon,Acipenser oxyrhyncus,muscle,raw,23,fat_g,6,15.11111111111111,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.325,subtropical,elongated,demersal,46,403,1.791759469228055,5.998936561946683,NA,NA,NA,NA
Acipenser oxyrhyncus,Acipenser oxyrhyncus,6447,Fish,Searun Fish,Atlantic Sturgeon,Acipenser oxyrhyncus,muscle,raw,23,fapun_all_g,2.1,15.11111111111111,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.325,subtropical,elongated,demersal,46,403,0.7419373447293773,5.998936561946683,NA,NA,NA,NA
Acipenser oxyrhyncus,Acipenser oxyrhyncus,6447,Fish,Searun Fish,Atlantic Sturgeon,Acipenser oxyrhyncus,muscle,raw,55,fapun_all_g,2.55,15.11111111111111,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.325,subtropical,elongated,demersal,46,403,0.9360933591703348,5.998936561946683,NA,NA,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,88,ca_mg,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5649493574615367,NA,NA,NA,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,88,zn_mg,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8675005677047231,NA,NA,NA,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,13,zn_mg,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8675005677047231,NA,NA,NA,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,88,fe_mg,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35667494393873245,NA,NA,NA,NA,NA
