species_name,avg_length,length,slmax,ref_info,bibliography,biblioid2,seanuts_id2,food_item_id_2,food_name_clean,database,nutrient_ref,genus_species,subgroup,prot_g,protcnt_g,protein_g,fat_g,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,tl,length_from_study,length_source,abs_lat,latitude,slmax_nov28,slmax_source,lwa,lwb,country_region,isscaap_cat,isscaap,season,asfis_scientific_name_fishbase_swap_in_progress,season_x,season_y,herbivory2,herbivoryref,feedingtype,feedingtyperef,diettroph,dietsetroph,foodtroph,foodsetroph,isotroph,isosetroph,ecotroph,ecosetroph,stockcode,speccode_x,speccode_y,genus,species,fbname,subfamily,demerspelag,anacat,depthrangeshallow,depthrangedeep,ltypemaxm,ltypemaxf,ltypecomm,ltypecomf,commonlength,commonlengthf,commonlengthref,weight,weightfemale,maxweightref,sp2000_hierarchycode,reference,fresh,marine,brackishwater,brack,lengthfemale,maxlengthref,notes,weight_from_study,mar_fresh,wild_farmed,body_parts_included_excluded,included_excluded,x20,vit_a_iu,k_mg,mg_mg,x32
Donax trunculus,NaN,NA,NA,"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412","Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",fi192,31,NA,NA,NA,NA,NA NA,mollusc,8.12,NA,NA,0.87,NA,NA,NA,NA,448.9326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Donax trunculus,"Autumn (Sep, Oct, Nov) 2006","Autumn (Sep, Oct, Nov) 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maja brachydactyla,NaN,NA,NA,"Marques A., Teixeira B., Barrento S., Anacleto P., Carvalho M.L., Nunes M.L. (2010). Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Compositon and Analysis 23: 230 - 237.","Marques A., Teixeira B., Barrento S., Anacleto P., Carvalho M.L., Nunes M.L. (2010). Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Compositon and Analysis 23: 230 - 237.",fi188,72,NA,NA,NA,NA,NA NA,crustacean,NA,15.7,NA,0.32,0.061833105,0.076747179,0.032505034,NA,78.7,6.28,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homarus americanus,NaN,NA,NA,"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867","Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867",fi159,144,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,NA,NA,NA,NA,NA,47.3,2.9,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homarus americanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homarus gammarus,NaN,NA,NA,"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867","Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867",fi159,149,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,NA,NA,NA,NA,NA,45.6,2.6,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homarus gammarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ucides cordatus,NaN,NA,NA,"Carvalho A.F.U., Farias D.F., Barroso C.X., Sombra C.M.L., Silvino A.S., Menezes M.O.T., Soares M.O., Fernandes D.A.O., Gouveia S.T. (2007). Nutritive value of three organisms from mangrove ecosystem: Ucides cordatus (Linnaeus, 1763), Mytella sp. (Soot-Ryen, 1955) and Crassostrea rhizophorae (Guilding, 1828). Braz. J. Biol. 67(4): 787-788","Carvalho A.F.U., Farias D.F., Barroso C.X., Sombra C.M.L., Silvino A.S., Menezes M.O.T., Soares M.O., Fernandes D.A.O., Gouveia S.T. (2007). Nutritive value of three organisms from mangrove ecosystem: Ucides cordatus (Linnaeus, 1763), Mytella sp. (Soot-Ryen, 1955) and Crassostrea rhizophorae (Guilding, 1828). Braz. J. Biol. 67(4): 787-788",fi203,170,NA,NA,NA,NA,NA NA,crustacean,NA,13.37,NA,0.25,NA,NA,NA,NA,30.751071,5.904301,0.905996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ucides cordatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octopus vulgaris,NaN,NA,NA,"Lourenco H.M., Anacleto P., Afonso C., Ferraria V., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Elemental composition of cephalopods from Portuguese continental waters. Food Chemistry 113: 1146-1153","Lourenco H.M., Anacleto P., Afonso C., Ferraria V., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Elemental composition of cephalopods from Portuguese continental waters. Food Chemistry 113: 1146-1153",fi241,189,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,21.3,1.77,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Octopus vulgaris,May-Sep,May-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loligo vulgaris,NaN,NA,NA,"Lourenco H.M., Anacleto P., Afonso C., Ferraria V., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Elemental composition of cephalopods from Portuguese continental waters. Food Chemistry 113: 1146-1153","Lourenco H.M., Anacleto P., Afonso C., Ferraria V., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Elemental composition of cephalopods from Portuguese continental waters. Food Chemistry 113: 1146-1153",fi241,220,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,13.6,1.26,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Loligo vulgaris,May-Sep,May-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macrobrachium nipponense,NaN,NA,NA,"Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8","Karapangiotidis I.T., Yakupitiyage A., Little D.C., Bell M.V., Mente E. (2010). The nutritional value of lipids in various tropical aquatic animals from rice-fish farmin systems in northeast Thailand. Journal of Food Composition and Analysis 23: 1-8",fi46,692,900224,Freshwater_prawn_wild_flesh_raw,NA,NA,NA NA,crustacean,NA,NA,NA,1.13,0.139094344,0.327513496,0.053603392,0.043431664,NA,NA,NA,NA,NA,NA,16.277332,16.277332,NA,NA,NA,NA,NA,Freshwater crustaceans,NA,wet season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macrobracium spp.,NaN,NA,NA,"Roos N., Leth T., Jakobsen J., Thilsted S.H. (2002). High vitamin A content in some small indigenous fish species in Bangladesh: perspectives for food-based strategies to reduce vitamin A deficiency. International Journal of Food Science and Nutrition 53:425-437","Roos N., Leth T., Jakobsen J., Thilsted S.H. (2002). High vitamin A content in some small indigenous fish species in Bangladesh: perspectives for food-based strategies to reduce vitamin A deficiency. International Journal of Food Science and Nutrition 53:425-437",fi199,693,902242,River_prawn_edible_parts_eyes_excluded_raw,NA,NA,NA NA,crustacean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4333,24.4333,NA,NA,NA,NA,NA,Freshwater crustaceans,NA,"Sep, Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orconectes limosus Raf,NaN,NA,NA,"Stanek M., Kupcewicz B., Dabrowski J., Janicki B. (2010). Estimation of Fat content and Fatty acids profile in the meat of spiny - cheek crayfish (Orconeces Limosus Raf.) from the Brda river and the lake Goplo). Journal Central European Agriculture 11: 297 - 304","Stanek M., Kupcewicz B., Dabrowski J., Janicki B. (2010). Estimation of Fat content and Fatty acids profile in the meat of spiny - cheek crayfish (Orconeces Limosus Raf.) from the Brda river and the lake Goplo). Journal Central European Agriculture 11: 297 - 304",fi228,833,901223,Spinycheek_crayfish_wild_male_meat_raw,NA,NA,NA NA,crustacean,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.116156,53.116156,NA,NA,NA,NA,NA,Freshwater crustaceans,NA,"Mar, Apr 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
