BiblioID,Bibliography
fi1,"Rosa R., Bandarra N.M., Nunes M.L. (2007). Nutritional quality of African catfish Clarias gariepinus (Burchell 1822): a positive criterion for the future development of the European production of Siluroidei. Int J Food Sci Tech 42: 342-351"
fi10,"Naseri M., Rezaei M., Moieni S., Hosseni H., Eskandari S. (2010) Effect of different precooking methods on chemical composition and lipid damage of silver carp (Hypophthalmichthys molitrix). Int J Food Sci Technol 45: 1973-1979"
fi100,"Rasoarahona J.R.E., Barnathan G., Bianchini J.-P., Gaydou E.M. (2005). Influence of season on the lipid content and fatty acid profiles of three tilapia species (Oreochromis niloticus, O. macrochir and Tilapia rendalli) from Madagascar. Food Chemistry 91:683-694"
fi101,"Weber J., Bochi V.C., Ribeiro C.P., Victório A. de M., Emanuelli T. (2008). Effect of different cooking methods on the oxidation, proximate and fatty acid composition of silver catfish (Rhamdia quelen) fillets. Food Chemistry 106:140-146"
fi102,"Koubaa A., Abdelmouleh A., Bouain A., Mihoubi N.B. (2010). Experimental and statistical investigations of the global chemical composition of six trawling fish of the Gulf of Gabés (Mediterranean Sea). Journal of the Marine Biological Association of the United Kingdom. 1-7 (article in press)."
fi103,"Nurhasan M., Maehre H.K., Malde M.K., Stormo S.K., Halwart M., James D., Elvevoll E.O. (2010). Nutritional composition of aquatic species inLaotian rice field systems. Journal of Food Composition and Analysis 23:205-213"
fi104,"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28"
fi105,"Ostermeyer U., Schmidt T. (2006). Vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
fi105,"Ostermeyer U., Schmidt T. (2006). vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
fi106,"De Souza Franco M.L.R., Viegas E.M.M., Kronka S.N., Vidotti R.M., Assano M., Gasparino E. (2010). Effects of hot and cold smoking process on organoleptic properties, yield and composition of matrinxa fillet. Revista Brasilerira de Zootecnia 39(4):695-700"
fi107,"Chomnawang C., Nantachai K., Yongsawatdigul J., Thawornchinsombut S., Tungkawachara S. (2007). Chemical and biochemical changes of hybrid catfish fillet stored at 4 ˚C and its gel properties. Food Chemistry 103:420-427"
fi108,"Moreira A.B., Visentainer J.V., de Souza N.E., Matsushita M. (2001). Fatty acid profile and cholesterol contents of three Brazilian Brycon freshwater fishes. Journal of Food Composition and Analysis 14:565-574"
fi108,"Moreira A.B., Visentainer J.V., de Souza N.E., Matsushita M. (2001). Fatty acid profile and cholesterol contents of three Brazilian Brycon freshwater fishes. Journal of Food Composition and Analysis 14:565-574"
fi109,"Tanamati A., Stevanato F.B., Visentainer J.E.L., Matsushita M., de Souza N.E., Visentainer J.V. (2009). Fatty acid composition in wild and cultivated pacu and pintado fish. Eur. J. Lipid Sci. Technol. 111:183-187"
fi109,"Tanamati A., Stevanato F.B., Visentainer J.E.L., Matsushita M., de Souza N.E., Visentainer J.V. (2009). Fatty acid composition in wild and cultivated pacu and pintado fish. Eur. J. Lipid Sci. Technol. 111:183-187"
fi11,"Økland H.M.W., Stoknes I.S., Remme J.F., Kjerstad M., Synnes M. (2005). Proximate composition, fatty acid and lipid class composition of the muscle from deep-sea teleosts and elasmobranchs. Comp Biochem Physiolog B 140: 437-443"
fi110,"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2008). Fatty acid composition of wild and cultured northern pike (Esox lucius). J. Appl. Ichthyol. 24:196-201"
fi110,"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2008). Fatty acid composition of wild and cultured northern pike (Esox lucius). J. Appl. Ichthyol. 24:196-201"
fi111,"Palmeri G., Turchini G.M., Caprino F., Keast R., Moretti V.M., De Silva S.S. (2008). Biometric, nutritional and sensory changes in intensively farmed Murray cod (Maccullochella peelii peelii, Mitchell) following different purging times. Food Chemistry 107: 1605-1615"
