Food Item ID,Database,Subgroup,"Country, region",Type,ISSCAAP,3_alpha,Food name in own language,Food name in English,Processing,Scientific name,ASFIS English name,ASFIS_Sci_name,Season,Other,Sample source,Portion of fish sampled,Life stage,Size of sampled fish,Length,Length_type,Length_source,TL,TL_se,n,n_type,Comments on data processing/methods,Nutrient_ref,BiblioID,EDIBLE,PROTCNT(g),PROTCNP(g),PROT-(g),PROT_g_sd,FAT(g),FAT_sd,FATCE(g),FAT-(g),CHOAVLDF(g),CHOCDF(g),CHO-(g),CA(mg),CA_sd,CA_units,CU(mg),CU_sd,CU_units,FE(mg),FE_sd,FE_units,ID(mcg),K(mg),K_sd,K_units,MN(mg),MN_sd,MN_units,SE(mcg),SE_sd,SE_units,ZN(mg),ZN_sd,ZN_units,VitA_RAE,VitA_RAE_sd,VitA_RAE_units,VIT_E ,VIT_E_sd,VIT_E_units,VITK,VITK_sd,VITK_units,RETOL(mcg),RETOLSUM(mcg),CHOCAL(mcg),VIT_D,VIT_D_sd,VIT_D_units,TOCPHA(mg),THIA(mg),THIA-(mg),RIBF(mg),NIA(mg),NIA-(mg),VITB6A(mg),VITB6_sd,VITB6_units,FOL(mcg),FOL_units,FOL-(mcg),VITB12(mcg),VITC(mg),VITC_sd,VITC_units,Saturated Fatty Acids (total),SAFA_units,22:6 n-3 DHA (g),DHA units,22:6 n-3_sd,Total n-6,n-6 units,Total n-6_sd,20:5 n-3 (EPA),EPA units,20:5 n-3_sd,Total PUFA,Total PUFA units,PUFA_sd,Total n-3 ,Total n-3 units,Total n-3_sd
NA,CINE,NA,come back,come back,NA,NA,CISCO,NA,r,Coregonus autumnalis,NA,Coregonus autumnalis,come back,NA,come back ,come back,NA,NA,65.0,max,FishBase,3.60,0.60,2,number of fish in ind study's sample size,,"Appavoo et al, 1991","Appavoo et al, 1991",NA,NA,NA,NA,NA,3.90,1.51,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,0.30,g/100g,0.17,NA,g/100g,NA,0.30,g/100g,0.26,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,WHITEFISH,NA,r,Coregonus clupeaformis,NA,Coregonus clupeaformis,come back,NA,come back ,come back,NA,NA,100.0,max,FishBase,3.10,0.40,6,number of fish in ind study's sample size,,"Appavoo et al, 1991","Appavoo et al, 1991",NA,NA,NA,NA,NA,1.90,1.88,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,0.10,g/100g,0.06,NA,g/100g,NA,0.10,g/100g,0.05,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,PIKE,NA,r,Esox lucius,NA,Esox lucius,come back,NA,come back ,come back,NA,NA,137.0,max,FishBase,4.40,0.70,4,number of fish in ind study's sample size,,"Appavoo et al, 1991","Appavoo et al, 1991",NA,NA,NA,NA,NA,0.80,0.21,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,0.10,g/100g,0.01,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,LOCHE,NA,r,Lota lota,NA,Lota lota,come back,NA,come back ,come back,NA,NA,152.0,max,FishBase,4.00,0.70,7,number of fish in ind study's sample size,,"Appavoo et al, 1991","Appavoo et al, 1991",NA,NA,NA,NA,NA,0.50,0.21,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,0.10,g/100g,0.01,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,TROUT,NA,r,Salvelinus namaycush,NA,Salvelinus namaycush,come back,NA,come back ,come back,NA,NA,150.0,max,FishBase,4.30,0.70,2,number of fish in ind study's sample size,,"Appavoo et al, 1991","Appavoo et al, 1991",NA,NA,NA,NA,NA,3.90,0.06,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,0.40,g/100g,0.03,NA,g/100g,NA,0.10,g/100g,0.05,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,INCONNU,NA,r,Stenodus leucichthys,NA,Stenodus leucichthys,come back,NA,come back ,come back,NA,NA,150.0,max,FishBase,4.20,0.75,2,number of fish in ind study's sample size,,"Appavoo et al, 1991","Appavoo et al, 1991",NA,NA,NA,NA,NA,6.90,2.10,NA,NA,NA,NA,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,0.20,g/100g,0.10,NA,g/100g,NA,0.20,g/100g,0.08,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,LAKE TROUT - CREE,NA,r,Salvelinus namaycush,NA,Salvelinus namaycush,come back,NA,come back ,come back,NA,NA,150.0,max,FishBase,4.30,0.70,3,number of fish in ind study's sample size,,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,0.40,0.17,NA,NA,NA,NA,NA,3.00,0.87,mg/100g ,0.02,0.01,mg/100g ,0.20,0.05,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,0.50,0.06,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.40,g/100g,0.13,NA,g/100g,NA,1.00,g/100g,0.31,0.60,g/100g,0.18
NA,CINE,NA,come back,come back,NA,NA,"TROUT, BROOK - CREE",NA,r,Salvelinus namaycush,NA,Salvelinus namaycush,come back,NA,come back ,come back,NA,NA,150.0,max,FishBase,4.30,0.70,1,number of fish in ind study's sample size,,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,1.60,NA,NA,NA,NA,NA,NA,3.10,NA,mg/100g ,0.11,NA,mg/100g ,0.18,NA,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,0.80,NA,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.31,g/100g,NA,NA,g/100g,NA,0.80,g/100g,NA,0.49,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,WHITEFISH - CREE,NA,r,Coregonus clupeaformis,NA,Coregonus clupeaformis,come back,NA,come back ,come back,NA,NA,100.0,max,FishBase,3.10,0.40,5,number of fish in ind study's sample size,,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,1.10,0.48,NA,NA,NA,NA,NA,5.00,1.02,mg/100g ,0.03,0.11,mg/100g ,0.30,0.12,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,0.60,0.20,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.50,g/100g,0.10,NA,g/100g,NA,1.10,g/100g,0.18,0.60,g/100g,0.09
NA,CINE,NA,come back,come back,NA,NA,WHITEFISH - CREE,NA,r,Coregonus clupeaformis,NA,Coregonus clupeaformis,come back,NA,come back ,come back,NA,NA,100.0,max,FishBase,3.10,0.40,5,number of fish in ind study's sample size,,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,0.80,0.65,NA,NA,NA,NA,NA,5.00,2.10,mg/100g ,0.02,0.01,mg/100g ,0.20,0.02,mg/100g ,NA,NA,NA,mg/100g ,NA,NA,mg/100g ,NA,NA,mg/100g ,0.40,0.11,mg/100g ,NA,NA,NA,NA,NA,mg/100g ,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.40,g/100g,0.08,NA,g/100g,NA,0.08,g/100g,0.19,0.40,g/100g,0.13
