"","species","CA_mg","ZN_mg","FE_mg","EPA_g","DHA_g","Length","max_length","Subgroup","Habitat","TL","FoodTroph","Herbivory2","Abs_lat","DemersPelag","taxon","max_size","Weight"
"1","Abramis brama",NA,NA,NA,NA,NA,82,82,"Finfish","marine",2.9,3.15000009536743,"mainly animals (troph. 2.8 and up)",53.875369,"benthopelagic","Carps, barbels and other cyprinids",8.90007469420244,6010
"2","Abramis brama",11.6,0.39294,0.17,NA,NA,82,82,"Finfish","freshwater",2.9,3.15000009536743,"mainly animals (troph. 2.8 and up)",54.084241,"benthopelagic","Carps, barbels and other cyprinids",8.90007469420244,6010
"3","Abramis brama",53,1,0.6,NA,NA,82,82,"Finfish","freshwater",2.9,3.15000009536743,"mainly animals (troph. 2.8 and up)",41.53,"benthopelagic","Carps, barbels and other cyprinids",8.90007469420244,6010
"4","Abramis brama",20.92,0.373252,0.21,NA,NA,82,82,"Finfish","freshwater",2.9,3.15000009536743,"mainly animals (troph. 2.8 and up)",54.00394,"benthopelagic","Carps, barbels and other cyprinids",8.90007469420244,6010
"5","Abramis brama",11.46,0.372708,0.18,NA,NA,82,82,"Finfish","freshwater",2.9,3.15000009536743,"mainly animals (troph. 2.8 and up)",54.117096,"benthopelagic","Carps, barbels and other cyprinids",8.90007469420244,6010
"6","Abramis brama",12.11,0.36618,0.19,NA,NA,82,82,"Finfish","freshwater",2.9,3.15000009536743,"mainly animals (troph. 2.8 and up)",54.117096,"benthopelagic","Carps, barbels and other cyprinids",8.90007469420244,6010
"7","Abramis brama",52,0.9,0.7,NA,NA,82,82,"Finfish","freshwater",2.9,3.15000009536743,"mainly animals (troph. 2.8 and up)",41.53,"benthopelagic","Carps, barbels and other cyprinids",8.90007469420244,6010
"8","Abramis brama",NA,NA,NA,0.09322,0.12087,82,82,"Finfish","freshwater",2.9,3.15000009536743,"mainly animals (troph. 2.8 and up)",41.53,"benthopelagic","Carps, barbels and other cyprinids",8.90007469420244,6010
"9","Abramis brama",NA,NA,NA,NA,NA,82,82,"Finfish","marine",2.9,3.15000009536743,"mainly animals (troph. 2.8 and up)",61.92411,"benthopelagic","Carps, barbels and other cyprinids",8.90007469420244,6010
"10","Albatrossia pectoralis",NA,NA,NA,0.018676001,0.033661436,210,210,"Finfish","marine",4.3,3.86,"mainly animals (troph. 2.8 and up)",57.79,"bathydemersal","Cods, hakes, haddocks",35.9594366751993,86000
"11","Alepocephalus bairdii",NA,NA,NA,NA,NA,100,100,"Finfish","marine",3.7,3.69,"mainly animals (troph. 2.8 and up)",57.596278,"bathydemersal","Miscellaneous demersal fishes",6.76265706879437,NA
"12","Alosa alosa",NA,NA,NA,0.670366968,1.859680295,69,68,"Finfish","marine",3.62,3.62,"mainly animals (troph. 2.8 and up)",42.163403,"pelagic-neritic","Shads",2.78599417907132,4000
"13","Alosa sapidissima",14.4,0.3792,0.94,NA,NA,76,62,"Finfish","freshwater",3.19,3.60999989509582,"mainly animals (troph. 2.8 and up)",45.993164,"pelagic-neritic","Shads",1.30797837810506,5500
"14","Aluterus monoceros",NA,NA,NA,0.3231,1.09136,76.2,76.2,"Finfish","marine",3.5,2.93,"mainly animals (troph. 2.8 and up)",23.372169,"reef-associated","Miscellaneous coastal fishes",NA,2710
"15","Parambassis wolffii",NA,NA,NA,NA,NA,20,8,"Finfish","marine",3.3,3.72,"mainly animals (troph. 2.8 and up)",24.4333,"demersal","Miscellaneous coastal fishes",0.0102199229734787,NA
"16","Parambassis wolffii",NA,NA,NA,NA,NA,20,8,"Finfish","marine",3.3,3.72,"mainly animals (troph. 2.8 and up)",24.4333,"demersal","Miscellaneous coastal fishes",0.0102199229734787,NA
"17","Parambassis wolffii",NA,NA,NA,NA,NA,20,8,"Finfish","marine",3.3,3.72,"mainly animals (troph. 2.8 and up)",24.4333,"demersal","Miscellaneous coastal fishes",0.0102199229734787,NA
"18","Parambassis wolffii",NA,NA,NA,NA,NA,20,8,"Finfish","marine",3.3,3.72,"mainly animals (troph. 2.8 and up)",24.4333,"demersal","Miscellaneous coastal fishes",0.0102199229734787,NA
"19","Parambassis wolffii",NA,NA,NA,NA,NA,20,8,"Finfish","marine",3.3,3.72,"mainly animals (troph. 2.8 and up)",24.4333,"demersal","Miscellaneous coastal fishes",0.0102199229734787,NA
"20","Parambassis wolffii",NA,NA,NA,NA,NA,20,8,"Finfish","marine",3.3,3.72,"mainly animals (troph. 2.8 and up)",24.4333,"demersal","Miscellaneous coastal fishes",0.0102199229734787,NA
"21","Amblypharyngodon mola",NA,NA,NA,NA,NA,20,20,"Finfish","freshwater",2.9,NA,NA,24.4333,"benthopelagic","Carps, barbels and other cyprinids",0.108917054665815,NA
"22","Amblypharyngodon mola",NA,NA,NA,NA,NA,20,20,"Finfish","freshwater",2.9,NA,NA,24.4333,"benthopelagic","Carps, barbels and other cyprinids",0.108917054665815,NA
"23","Amblypharyngodon mola",NA,NA,NA,NA,NA,20,20,"Finfish","freshwater",2.9,NA,NA,24.4333,"benthopelagic","Carps, barbels and other cyprinids",0.108917054665815,NA
"24","Amblypharyngodon mola",NA,NA,NA,NA,NA,20,20,"Finfish","freshwater",2.9,NA,NA,24.4333,"benthopelagic","Carps, barbels and other cyprinids",0.108917054665815,NA
"25","Amblypharyngodon mola",NA,NA,NA,NA,NA,20,20,"Finfish","freshwater",2.9,NA,NA,24.4333,"benthopelagic","Carps, barbels and other cyprinids",0.108917054665815,NA
"26","Amblypharyngodon mola",NA,NA,NA,NA,NA,20,20,"Finfish","freshwater",2.9,NA,NA,24.4333,"benthopelagic","Carps, barbels and other cyprinids",0.108917054665815,NA
"27","Amblypharyngodon mola",NA,NA,NA,NA,NA,20,20,"Finfish","freshwater",2.9,NA,NA,24.4333,"benthopelagic","Carps, barbels and other cyprinids",0.108917054665815,NA
"28","Amblypharyngodon mola",NA,NA,NA,NA,NA,20,20,"Finfish","freshwater",2.9,NA,NA,24.4333,"benthopelagic","Carps, barbels and other cyprinids",0.108917054665815,NA
"29","Anabas testudineus",NA,NA,NA,NA,NA,25,25,"Finfish","freshwater",2.7,2.76,"plants/detritus+animals (troph. 2.2-2.79)",22.816667,"demersal","Miscellaneous freshwater fishes",0.304860446034431,NA
"30","Anabas testudineus",NA,NA,NA,0.011866184,0.096490812,25,25,"Finfish","freshwater",2.7,2.76,"plants/detritus+animals (troph. 2.2-2.79)",15.116386,"demersal","Miscellaneous freshwater fishes",0.304860446034431,NA
"31","Anabas testudineus",NA,NA,NA,0.008665437,0.073461047,25,25,"Finfish","freshwater",2.7,2.76,"plants/detritus+animals (troph. 2.2-2.79)",15.190255,"demersal","Miscellaneous freshwater fishes",0.304860446034431,NA
"32","Anabas testudineus",NA,NA,NA,0.004215618,0.039345768,25,25,"Finfish","freshwater",2.7,2.76,"plants/detritus+animals (troph. 2.2-2.79)",14.761942,"demersal","Miscellaneous freshwater fishes",0.304860446034431,NA
"33","Anabas testudineus",NA,NA,NA,NA,NA,25,25,"Finfish","freshwater",2.7,2.76,"plants/detritus+animals (troph. 2.2-2.79)",24.4333,"demersal","Miscellaneous freshwater fishes",0.304860446034431,NA
"34","Anarhichas lupus",NA,NA,NA,0.169891253,0.179600693,150,150,"Finfish","marine",3.2,3.73,"mainly animals (troph. 2.8 and up)",63.968654,"demersal","Miscellaneous demersal fishes",35.2649545901455,23580
"35","Anarhichas lupus",NA,NA,NA,0.181546446,0.10213356,150,150,"Finfish","marine",3.2,3.73,"mainly animals (troph. 2.8 and up)",63.968654,"demersal","Miscellaneous demersal fishes",35.2649545901455,23580
"36","Anarhichas lupus",NA,NA,NA,0.131686107,0.163997287,150,150,"Finfish","marine",3.2,3.73,"mainly animals (troph. 2.8 and up)",63.968654,"demersal","Miscellaneous demersal fishes",35.2649545901455,23580
"37","Anarhichas lupus",6.8,0.78,0.15,NA,NA,150,150,"Finfish","marine",3.2,3.73,"mainly animals (troph. 2.8 and up)",63.968654,"demersal","Miscellaneous demersal fishes",35.2649545901455,23580
"38","Anchoa hepsetus",NA,NA,NA,NA,NA,15.3,12,"Finfish","marine",3.33,3.25,"mainly animals (troph. 2.8 and up)",19.173773,"pelagic-neritic","Herrings, sardines, anchovies",0.0292866361782307,NA
"39","Anguilla anguilla",NA,NA,NA,NA,NA,50,50,"Finfish","freshwater",3.5,3.62,"mainly animals (troph. 2.8 and up)",39.019184,"demersal","River eels",0.228682834415693,6599
"40","Anguilla bicolor",NA,NA,NA,NA,NA,123,120,"Finfish","freshwater",3.6,3.55,"mainly animals (troph. 2.8 and up)",12.265754,"demersal","River eels",2.96359014721014,NA
"41","Anguilla japonica",NA,NA,NA,NA,NA,150,150,"Finfish","freshwater",3.6,3.55,"mainly animals (troph. 2.8 and up)",31.596553,"demersal","River eels",5.90511762089249,1889
"42","Anguilla rostrata",NA,NA,NA,0.0856776,0.1595376,152,152,"Finfish","freshwater",3.7,3.62,"mainly animals (troph. 2.8 and up)",35.131275,"demersal","River eels",8.28643554968322,7330
"43","Anoplopoma fimbria",NA,NA,NA,0.35,0.42,120,98,"Finfish","marine",3.83,4.11,"mainly animals (troph. 2.8 and up)",45.9053,"bathydemersal","Miscellaneous demersal fishes",10.3723719088217,NA
"44","Aphanopus carbo",14,0.5,0.1,0.0479,0.1395,110,110,"Finfish","marine",4.5,4.48,"mainly animals (troph. 2.8 and up)",38.444217,"bathypelagic","Miscellaneous demersal fishes",1.6809651826542,NA
"45","Aphanopus carbo",NA,NA,NA,NA,NA,110,110,"Finfish","marine",4.5,4.48,"mainly animals (troph. 2.8 and up)",38.444217,"bathypelagic","Miscellaneous demersal fishes",1.6809651826542,NA
"46","Aphanopus carbo",11.9,0.27,NA,0.0424763,0.12370675,110,110,"Finfish","marine",4.5,4.48,"mainly animals (troph. 2.8 and up)",38.444217,"bathypelagic","Miscellaneous demersal fishes",1.6809651826542,NA
"47","Ariomma bondi",NA,NA,NA,0.23866826,1.3073548,30,30,"Finfish","marine",3.5,3.5,"mainly animals (troph. 2.8 and up)",25.304304,"demersal","Miscellaneous demersal fishes",0.276896062828729,NA
"48","Ariomma bondi",NA,NA,NA,0.16785216,1.427909,30,30,"Finfish","marine",3.5,3.5,"mainly animals (troph. 2.8 and up)",25.304304,"demersal","Miscellaneous demersal fishes",0.276896062828729,NA
"49","Arnoglossus laterna",NA,NA,NA,NA,NA,25,25,"Finfish","marine",3.6,3.49000000953674,"mainly animals (troph. 2.8 and up)",39.019184,"demersal","Flounders, halibuts, soles",0.129213872582273,NA
"50","Arripis trutta",NA,NA,NA,NA,NA,89,75,"Finfish","marine",4.07,3.7,"mainly animals (troph. 2.8 and up)",40.900557,"pelagic-neritic","Miscellaneous coastal fishes",0.612965431755725,9400
"51","Atheresthes stomias",NA,NA,NA,0.393730288,0.237639134,84,69,"Finfish","marine",4.26,4.01000022888184,"mainly animals (troph. 2.8 and up)",57.79,"demersal","Flounders, halibuts, soles",2.68945355778023,8600
"52","Atherina boyeri",NA,NA,NA,0.34639424,0.47727936,20,20,"Finfish","marine",3.12,3.22,"plants/detritus+animals (troph. 2.2-2.79)",37.266667,"demersal","Miscellaneous pelagic fishes",0.0642798630603476,NA
"53","Auxis rochei",NA,NA,NA,1.5807742,3.6417836,50,50,"Finfish","marine",4.1,4.27,"mainly animals (troph. 2.8 and up)",36.204824,"pelagic-neritic","Tunas, bonitos, billfishes",2.39031488782063,NA
"54","Auxis rochei",NA,NA,NA,0.325155,0.8584092,50,50,"Finfish","marine",4.1,4.27,"mainly animals (troph. 2.8 and up)",36.204824,"pelagic-neritic","Tunas, bonitos, billfishes",2.39031488782063,NA
"55","Auxis thazard",NA,NA,NA,0.5324,2.0086,65,54,"Finfish","marine",4.34,4.3600001335144,"mainly animals (troph. 2.8 and up)",23.372169,"pelagic-neritic","Tunas, bonitos, billfishes",1.91041745119952,1720
"56","Auxis thazard",NA,NA,NA,1.3707943,3.7308216,65,65,"Finfish","marine",4.3,4.3600001335144,"mainly animals (troph. 2.8 and up)",36.204824,"pelagic-neritic","Tunas, bonitos, billfishes",4.7110115746824,1720
"57","Auxis thazard",NA,NA,NA,0.4661453,1.3430523,65,65,"Finfish","marine",4.3,4.3600001335144,"mainly animals (troph. 2.8 and up)",36.204824,"pelagic-neritic","Tunas, bonitos, billfishes",4.7110115746824,1720
"58","Bagrus docmak",NA,NA,NA,0.38111275,0.659837,127,127,"Finfish","freshwater",4.1,4.08,"mainly animals (troph. 2.8 and up)",0.033333,"benthopelagic","Miscellaneous freshwater fishes",20.5330077778066,35000
"59","Bagrus docmak",NA,NA,NA,0.013,0.06384,127,127,"Finfish","freshwater",4.1,4.08,"mainly animals (troph. 2.8 and up)",0.755775,"benthopelagic","Miscellaneous freshwater fishes",20.5330077778066,35000
"60","Bagrus docmak",NA,NA,NA,0.01008,0.04712,127,127,"Finfish","freshwater",4.1,4.08,"mainly animals (troph. 2.8 and up)",1.504705,"benthopelagic","Miscellaneous freshwater fishes",20.5330077778066,35000
"61","Belone belone",NA,NA,NA,0.490163256,2.161174356,93,89,"Finfish","marine",4.21,4.5,"mainly animals (troph. 2.8 and up)",42.163403,"pelagic-oceanic","Miscellaneous pelagic fishes",0.862033369884854,1300
"62","Boops boops",NA,NA,NA,NA,NA,36,30,"Finfish","marine",3,3.11,"mainly animals (troph. 2.8 and up)",39.019184,"demersal","Miscellaneous coastal fishes",0.2619,NA
"63","Boops boops",NA,NA,NA,0.165583808,0.60833344,36,30,"Finfish","marine",3,3.11,"mainly animals (troph. 2.8 and up)",38.963745,"demersal","Miscellaneous coastal fishes",0.2619,NA
"64","Boops boops",NA,NA,NA,NA,NA,36,30,"Finfish","marine",3,3.11,"mainly animals (troph. 2.8 and up)",39.019184,"demersal","Miscellaneous coastal fishes",0.2619,NA
"65","Boops boops",NA,NA,NA,0.0569166,0.1138332,36,30,"Finfish","marine",3,3.11,"mainly animals (troph. 2.8 and up)",39.019184,"demersal","Miscellaneous coastal fishes",0.2619,NA
"66","Boops boops",NA,NA,NA,NA,NA,36,30,"Finfish","marine",3,3.11,"mainly animals (troph. 2.8 and up)",39.019184,"demersal","Miscellaneous coastal fishes",0.2619,NA
"67","Brama japonica",8.8,0.3635,0.29,NA,NA,61,61,"Finfish","marine",4.4,3.84,"mainly animals (troph. 2.8 and up)",57,"pelagic-oceanic","Miscellaneous pelagic fishes",3.37881718937371,2700
"68","Brevoortia aurea",NA,NA,NA,1.11824,2.38108,26,26,"Finfish","marine",2.75,2.75,"plants/detritus+animals (troph. 2.2-2.79)",23.372169,"pelagic-neritic","Herrings, sardines, anchovies",0.153280503842738,NA
"69","Brosme brosme",NA,NA,NA,NA,NA,120,120,"Finfish","marine",4,4.08,"mainly animals (troph. 2.8 and up)",60.529651,"demersal","Cods, hakes, haddocks",14.7147707445022,30000
"70","Brosme brosme",NA,NA,NA,NA,NA,120,120,"Finfish","marine",4,4.08,"mainly animals (troph. 2.8 and up)",60.529651,"demersal","Cods, hakes, haddocks",14.7147707445022,30000
"71","Caranx crysos",NA,NA,NA,0.34804382,1.319759711,70,70,"Finfish","marine",4.4,3.63,"mainly animals (troph. 2.8 and up)",37.370157,"reef-associated","Miscellaneous pelagic fishes",4.95914415189254,5050
"72","Caranx crysos",NA,NA,NA,1.222,3.7036,70,70,"Finfish","marine",4.4,3.63,"mainly animals (troph. 2.8 and up)",23.372169,"reef-associated","Miscellaneous pelagic fishes",4.95914415189254,5050
"73","Carassius carassius",59,0.6,0.9,NA,NA,64,64,"Finfish","freshwater",3.1,3.11,"mainly animals (troph. 2.8 and up)",41.53,"demersal","Carps, barbels and other cyprinids",5.89769217152976,3000
"74","Carassius carassius",NA,NA,NA,0.07539,0.05026,64,64,"Finfish","freshwater",3.1,3.11,"mainly animals (troph. 2.8 and up)",41.53,"demersal","Carps, barbels and other cyprinids",5.89769217152976,3000
"75","Carassius carassius",57,0.5,0.8,NA,NA,64,64,"Finfish","freshwater",3.1,3.11,"mainly animals (troph. 2.8 and up)",41.53,"demersal","Carps, barbels and other cyprinids",5.89769217152976,3000
"76","Carcharhinus limbatus",NA,NA,NA,0.01,0.0577,275,226,"Finfish","marine",4.24,4.46,"mainly animals (troph. 2.8 and up)",25.304304,"reef-associated","Sharks, rays, chimaeras",74.8229366587572,122750
"77","Centrophorus squamosus",NA,NA,NA,0.019594817,0.309691789,164,164,"Finfish","marine",4.22,4.4,"mainly animals (troph. 2.8 and up)",57.596278,"bathydemersal","Sharks, rays, chimaeras",27.299243299229,NA
"78","Centroscyllium fabricii",NA,NA,NA,0.02412773,0.19725567,107,82,"Finfish","marine",3.9,4.13,"mainly animals (troph. 2.8 and up)",57.596278,"bathydemersal","Sharks, rays, chimaeras",3.15853744605779,NA
"79","Centroscymnus coelolepis",NA,NA,NA,0.0223005,0.246420525,120,120,"Finfish","marine",4.2,4.19,"mainly animals (troph. 2.8 and up)",57.596278,"bathydemersal","Sharks, rays, chimaeras",13.1981696413185,NA
