Food.Item.ID,species,Subgroup,taxon,max_size,max_length,TL,CA_mg,EPA_g,DHA_g,FE_mg,ZN_mg,HG_mcg,FAT,PROTEIN,lwA,lwB,Habitat,Subgroup,Abs_lat,Latitude,max_length_study
1,Penaeus semisulcatus,Molluscs,NA,NA,NA,NA,59.5,,,,,,,,NA,NA,NA,Molluscs,NA,NA,18.93
2,Penaeus semisulcatus,Crustacean,NA,NA,NA,NA,60.3,,,,,,,,NA,NA,NA,Crustacean,NA,NA,18.93
3,Penaeus semisulcatus,Molluscs,NA,NA,NA,NA,60.3,,,,,,,,NA,NA,NA,Molluscs,NA,NA,18.93
4,Penaeus semisulcatus,Molluscs,NA,NA,NA,NA,61.1,,,,,,,,NA,NA,NA,Molluscs,NA,NA,18.93
5,Penaeus semisulcatus,Molluscs,NA,NA,NA,NA,60.28,,,1.48,,,,,NA,NA,NA,Molluscs,NA,NA,18.93
6,Metapenaeus monoceros ,Crustacean,NA,NA,NA,NA,60.44,,,1.55,,,,,NA,NA,NA,Crustacean,NA,NA,12.67
7,Aristeus antennatus,Crustacean,NA,NA,NA,NA,121,,,0.9,,,,,NA,NA,NA,Crustacean,NA,NA,NA
8,penaeid and pandalid shrimps ,Crustacean,NA,NA,NA,NA,,,,2.4,,,,,NA,NA,NA,Crustacean,NA,NA,NA
9,Penaeus monodon ,Crustacean,NA,NA,NA,NA,25.9,8.58,14.9,3.07,1.73,,,,NA,NA,NA,Crustacean,NA,NA,NA
10,Litopenaeus vannamei,Crustacean,NA,NA,NA,NA,24.7,9.46,9.99,1.22,1.47,,,,NA,NA,NA,Crustacean,NA,NA,NA
11,Xiphopenaeus kroyeri,Molluscs,NA,NA,NA,NA,,0.086,0.097,,,,,,NA,NA,NA,Molluscs,NA,NA,NA
12,Macrobrachium rosenbergii ,Molluscs,NA,NA,NA,NA,,0.099,0.073,,,,,,NA,NA,NA,Molluscs,NA,NA,NA
13,Farfantepenaeus brasiliensis,Molluscs,NA,NA,NA,NA,,0.124,0.091,,,,,,NA,NA,NA,Molluscs,NA,NA,NA
14,Farfantepenaeus brasiliensis,Crustacean,NA,NA,NA,NA,,0.1,0.072,,,,,,NA,NA,NA,Crustacean,NA,NA,NA
15,Farfantepenaeus brasiliensis,Crustacean,NA,NA,NA,NA,,0.126,0.078,,,,,,NA,NA,NA,Crustacean,NA,NA,NA
16,Litopenaeus schmitti,Crustacean,NA,NA,NA,NA,,0.085,0.062,,,,,,NA,NA,NA,Crustacean,NA,NA,NA
17,Litopenaeus schmitti,Crustacean,NA,NA,NA,NA,,0.096,0.07,,,,,,NA,NA,NA,Crustacean,NA,NA,NA
18,Maja brachydactyla ,Crustacean,NA,NA,NA,NA,78.7,,,1.07,6.28,0.01,0.32,15.7,NA,NA,NA,Crustacean,NA,NA,139.9
19,Maja brachydactyla ,Molluscs,NA,NA,NA,NA,390,,,17.1,5.77,0.01,7.08,13.7,NA,NA,NA,Molluscs,NA,NA,139.9
20,Maja brachydactyla ,Molluscs,NA,NA,NA,NA,24,,,2.97,5.15,0,1.36,24.1,NA,NA,NA,Molluscs,NA,NA,139.9
21,Maja brachydactyla ,Molluscs,NA,NA,NA,NA,59.9,,,14.1,0.9,0.01,NA,NA,NA,NA,NA,Molluscs,NA,NA,139.9
22,Hexaplex trunculus ,Crustacean,NA,NA,NA,NA,674.4,,,8.1,112.8,,,,NA,NA,NA,Crustacean,NA,NA,4.6
23,Hexaplex trunculus ,Molluscs,NA,NA,NA,NA,860,,,17.8,225.2,,,,NA,NA,NA,Molluscs,NA,NA,4.6
24,Scylla paramamosain ,Molluscs,NA,NA,NA,NA,,,,,7.25,,,,NA,NA,NA,Molluscs,NA,NA,NA
25,Scylla paramamosain ,Molluscs,NA,NA,NA,NA,,,,,8.13,,,,NA,NA,NA,Molluscs,NA,NA,NA
26,Scylla paramamosain ,Molluscs,NA,NA,NA,NA,,,,,6.73,,,,NA,NA,NA,Molluscs,NA,NA,NA
27,Scylla paramamosain ,Molluscs,NA,NA,NA,NA,,,,,5.8,,,,NA,NA,NA,Molluscs,NA,NA,NA
28,Scylla paramamosain ,Molluscs,NA,NA,NA,NA,,,,,6.09,,,,NA,NA,NA,Molluscs,NA,NA,NA
29,Portunus trituberculatus ,Molluscs,NA,NA,NA,NA,,,,,8,,,,NA,NA,NA,Molluscs,NA,NA,NA
30,Portunus trituberculatus ,Molluscs,NA,NA,NA,NA,,,,,7.8,,,,NA,NA,NA,Molluscs,NA,NA,NA
31,Portunus trituberculatus ,Molluscs,NA,NA,NA,NA,,,,,8.33,,,,NA,NA,NA,Molluscs,NA,NA,NA
32,Portunus trituberculatus ,Molluscs,NA,NA,NA,NA,,,,,7.57,,,,NA,NA,NA,Molluscs,NA,NA,NA
33,Portunus trituberculatus ,Molluscs,NA,NA,NA,NA,,,,,5.76,,,,NA,NA,NA,Molluscs,NA,NA,NA
34,Eriocheir sinensis ,Molluscs,NA,NA,NA,NA,,,,,8.47,,,,NA,NA,NA,Molluscs,NA,NA,NA
35,Eriocheir sinensis ,Molluscs,NA,NA,NA,NA,,,,,7.83,,,,NA,NA,NA,Molluscs,NA,NA,NA
36,Eriocheir sinensis ,Molluscs,NA,NA,NA,NA,,,,,5.2,,,,NA,NA,NA,Molluscs,NA,NA,NA
37,Eriocheir sinensis ,Molluscs,NA,NA,NA,NA,,,,,4.73,,,,NA,NA,NA,Molluscs,NA,NA,NA
38,Eriocheir sinensis ,Crustacean,NA,NA,NA,NA,,,,,5.6,,,,NA,NA,NA,Crustacean,NA,NA,NA
39,Mytilus galloprovincialis,Crustacean,NA,NA,NA,NA,40 ,,,1,2.3,,1.4,10,NA,NA,NA,Crustacean,NA,NA,0.77
40,Mytilus galloprovincialis,Crustacean,NA,NA,NA,NA,37,,,2.1,2,,1.7,6.5,NA,NA,NA,Crustacean,NA,NA,0.72
41,Mytilus galloprovincialis,Crustacean,NA,NA,NA,NA,82,,,2.9,1.76,,2.10,10.0,NA,NA,NA,Crustacean,NA,NA,0.54
42,Mytilus chilensis,Crustacean,NA,NA,NA,NA,60,,,2.88,1.37,,,,NA,NA,NA,Crustacean,NA,NA,5.8
43,Mytilus chilensis,Crustacean,NA,NA,NA,NA,130,,,5.18,1.55,,,,NA,NA,NA,Crustacean,NA,NA,4.4
