RefID,Type,Citation
fi001,Articles from scientific literature,"Rosa R., Bandarra N.M., Nunes M.L. (2007). Nutritional quality of African catfish Clarias gariepinus (Burchell 1822): a positive criterion for the future development of the European production of Siluroidei. Int J Food Sci Tech 42: 342-351"
fi002,Articles from scientific literature,"Puwastien P., Judprasong K., Kettwan E., Vasanachitt K., Nakngamanong Y., Bhattacharjee L. (1999) Proximate composition of raw and cooked thai freshwater and marine fish. J Food Comp Anal 12: 9-16"
fi003,Articles from scientific literature,"Erkan N., Selçuk A., Özden Ö. (2010) Amino acid and vitamin composition of raw and cooked horse mackerel. Food Anal Methods 3: 269-275"
fi004,Articles from scientific literature,"Belinsky D.L., Kuhnlein H.V., Yeboah F., Penn A.F., Chan H.M. (1996) Composition of fish consumed by the James Bay Cree.J Food Comp Anal 9: 148-162"
fi005,Articles from scientific literature,"Ho B.T., Paul D.R. (2009). Fatty acid profile of tra catfish (Pangasius hypophthalmus) compared to Atlantic salmon (Salmo salar) and Asian seabass (Lates calcarifer). Int Food Res J 16: 501-506"
fi006,Articles from scientific literature,"Orban E., Nevigato T., Masci M., Di Lena G., Casini I., Caproni R., Gambelli L., De Angelis P., Rampacci M. (2007). Nutritional quality and safety of European perch (Perca fluviatilis) from three lakes of central Italy. Food Chem 100: 482-490"
fi007,Articles from scientific literature,"Jankowska B., Zak__ Z., _mijewski T., Szczepkowski M. (2003) A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch (Sander lucioperca). Eur Food Res Technol 217: 401-405"
fi008,Articles from scientific literature,"Ramos Filho M.M., Ramos M.I.L., Hiane P.R., De Souza E.M.T. (2010) Nutritional value of seven freshwater fish species from the Brazilian Pantanal. J Am Oil Chem Soc 87: 1461-1467"
fi009,Articles from scientific literature,"Özden Ö., Erkan N. (2008) Comparison of biochemical composition of three aqua cultured fishes (Dicentrarchus labrax, Sparus aurata, Dentex dentex). Int J Food Sci Nutr 59(7-8): 545-557"
fi010,Articles from scientific literature,"Naseri M., Rezaei M., Moieni S., Hosseni H., Eskandari S. (2010) Effect of different precooking methods on chemical composition and lipid damage of silver carp (Hypophthalmichthys molitrix). Int J Food Sci Technol 45: 1973-1979"
fi011,Articles from scientific literature,"Økland H.M.W., Stoknes I.S., Remme J.F., Kjerstad M., Synnes M. (2005). Proximate composition, fatty acid and lipid class composition of the muscle from deep-sea teleosts and elasmobranchs. Comp Biochem Physiolog B 140: 437-443"
fi012,Articles from scientific literature,"Orban E., Nevigato T., Di Lena G., Masci M., Casini I., Gambelli L., Caproni R. (2008) New trends in the seafood market. Sutchi catfish (Pangasius hypophthalmus) fillets from Vietnam: Nutritional quality and safety aspects. Food Chem 110: 383-389"
fi013,Articles from scientific literature,"Karl H., Lehmann I., Rehbein H., Schubring R. (2010.) Composition and quality attributes of conventionally and organically farmed Pangasius fillets (Pangasius hypophthalmus) on the German market. Int J Food Sci Technol 45: 56-66"
fi014,Articles from scientific literature,"Wu W.-H., Lillard D.A. (1998). Cholesterol and proximate composition of channel catfish (Ictalurus punctatus) fillets-changes following cooking by microwave heating, deep-fat frying, and oven baking. J Food Qual 21: 41-51"
fi015,Articles from scientific literature,"Garduno-Lugo M., Herrera-Solís J.R., Angulo-Guerrero J.O., Munoz-Córdova G., De la Cruz-Medina J. (2007). Nutrient composition and sensory evaluation of fillets from wild-type Nile tilapia (Oreochromis niloticus, Linnaeus) and red hybrid (Florida red tilapia x red O. niloticus). Aquaculture Res 38: 1074-1081."
fi016,Articles from scientific literature,"Özyurt G., Polat A., Loker G.B. (2009). Vitamin and mineral content of pike perch (Sander lucioperca), common carp (Cyprinus carpio), and European catfish (Silurus glanis). Turk J Vet Anim Sci 33(4): 351-356"
fi017,Articles from scientific literature,"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). ?3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210"
fi018,Articles from scientific literature,"Gokoglu N., Yerlikaya P., Cengiz E. (2004). Effects of cooking methods on the proximate composition and mineral contents of rainbow trout (Oncorhynchus mykiss). Food Chemistry 84: 19-22"
fi019,Articles from scientific literature,Oehlenschläger J. (1991). Chemical composition of the flesh and other tissues of Antarctic fish species of the families Channichthyidae and Nototheniidae. Food Chemistry 40: 159-167
fi020,Articles from scientific literature,"Chapman F.A., Colle D.E., Miles R.D. (2005). Processing yields for meat of Russian and Siberian sturgeons cultured in Florida, USA. J. Aqua. Food Prod. Technol. 14(1): 29-37"
fi021,Articles from scientific literature,"Otwell W.S., Rickards W.L. (1981/1982). Cultured and wild American eels, Anguilla rostrata: fat content and fatty acid composition. Aquaculture 26: 67-76"
fi022,Articles from scientific literature,"Sant'Ana L.S., Ducatti C., Gonçalves Ramires D. (2010). Seasonal variations in chemical composition and stable isotopes of farmed and wild Brazilian freswater fish. Food Chemistry 122: 74-77"
fi023,Articles from scientific literature,"Kwetegyeka J., Mpango G., Grahl-Nielsen O. (2008). Variation in fatty acid composition in muscle and heart tissues among species and populations of tropical fish in Lakes Victoria and Kyoga. Lipids 43: 1017-1029"
fi024,Articles from scientific literature,"Wimalasena S., Jayasuriya M.N.S. (1996). Nutrient analysis of some fresh water fish. J. Natn. Sci. Coun. Sri Lanka 24(1): 21-26"
fi025,Articles from scientific literature,"Bandarra N.M., Batista I., Nunes M.L. (2009). Chemical composition and nutritional value of raw and cooked black scabbardfish (Aphanopus carbo). Scientia Marina 73(S2): 105-113"
fi026,Articles from scientific literature,"_uczy_ska J., To_ska E., _uczy_ski M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178"
fi027,Articles from scientific literature,"Pirestani S., Sahari M.A., Barzegar M., Nikoopour H. (2010). Lipid, cholesterol and fatty acid profile of some commercially important fish species from south Caspian Sea. J Food Biochem 34: 886-895"
fi028,Articles from scientific literature,"Masa J., Ogwok P., Muyonga J.H., Kwetegyeka J., Makokha V., Ocen D. (2011). Fatty acid composition of muscle, liver and adipose tissue of freshwater fish from Lake Victoria, Uganda. J Aqua Food Prod Technol 20: 64-72"
fi029,Articles from scientific literature,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641"
