species,CA_mg,ZN_mg,FE_mg,EPA_g,DHA_g,Length,max_length,Subgroup,Habitat,TL,FoodTroph,Herbivory2,Abs_lat,DemersPelag,taxon
Abramis brama,NA,NA,NA,NA,NA,82,82,Finfish,marine,2.9,3.15000009536743,mainly animals (troph. 2.8 and up),53.875369,benthopelagic,"Carps, barbels and other cyprinids"
Abramis brama,11.6,0.39294,0.17,NA,NA,82,82,Finfish,freshwater,2.9,3.15000009536743,mainly animals (troph. 2.8 and up),54.084241,benthopelagic,"Carps, barbels and other cyprinids"
Abramis brama,53,1,0.6,NA,NA,82,82,Finfish,freshwater,2.9,3.15000009536743,mainly animals (troph. 2.8 and up),41.53,benthopelagic,"Carps, barbels and other cyprinids"
Abramis brama,20.92,0.373252,0.21,NA,NA,82,82,Finfish,freshwater,2.9,3.15000009536743,mainly animals (troph. 2.8 and up),54.00394,benthopelagic,"Carps, barbels and other cyprinids"
Abramis brama,11.46,0.372708,0.18,NA,NA,82,82,Finfish,freshwater,2.9,3.15000009536743,mainly animals (troph. 2.8 and up),54.117096,benthopelagic,"Carps, barbels and other cyprinids"
Abramis brama,12.11,0.36618,0.19,NA,NA,82,82,Finfish,freshwater,2.9,3.15000009536743,mainly animals (troph. 2.8 and up),54.117096,benthopelagic,"Carps, barbels and other cyprinids"
Abramis brama,52,0.9,0.7,NA,NA,82,82,Finfish,freshwater,2.9,3.15000009536743,mainly animals (troph. 2.8 and up),41.53,benthopelagic,"Carps, barbels and other cyprinids"
Abramis brama,NA,NA,NA,0.09322,0.12087,82,82,Finfish,freshwater,2.9,3.15000009536743,mainly animals (troph. 2.8 and up),41.53,benthopelagic,"Carps, barbels and other cyprinids"
Abramis brama,NA,NA,NA,NA,NA,82,82,Finfish,marine,2.9,3.15000009536743,mainly animals (troph. 2.8 and up),61.92411,benthopelagic,"Carps, barbels and other cyprinids"
Albatrossia pectoralis,NA,NA,NA,0.018676001,0.033661436,210,210,Finfish,marine,4.3,3.86,mainly animals (troph. 2.8 and up),57.79,bathydemersal,"Cods, hakes, haddocks"
Alepocephalus bairdii,NA,NA,NA,NA,NA,100,100,Finfish,marine,3.7,3.69,mainly animals (troph. 2.8 and up),57.596278,bathydemersal,Miscellaneous demersal fishes
Alosa alosa,NA,NA,NA,0.670366968,1.859680295,69,68,Finfish,marine,3.62,3.62,mainly animals (troph. 2.8 and up),42.163403,pelagic-neritic,Shads
Alosa sapidissima,14.4,0.3792,0.94,NA,NA,76,62,Finfish,freshwater,3.19,3.60999989509582,mainly animals (troph. 2.8 and up),45.993164,pelagic-neritic,Shads
Aluterus monoceros,NA,NA,NA,0.3231,1.09136,76.2,76.2,Finfish,marine,3.5,2.93,mainly animals (troph. 2.8 and up),23.372169,reef-associated,Miscellaneous coastal fishes
Parambassis wolffii,NA,NA,NA,NA,NA,20,8,Finfish,marine,3.3,3.72,mainly animals (troph. 2.8 and up),24.4333,demersal,Miscellaneous coastal fishes
Parambassis wolffii,NA,NA,NA,NA,NA,20,8,Finfish,marine,3.3,3.72,mainly animals (troph. 2.8 and up),24.4333,demersal,Miscellaneous coastal fishes
Parambassis wolffii,NA,NA,NA,NA,NA,20,8,Finfish,marine,3.3,3.72,mainly animals (troph. 2.8 and up),24.4333,demersal,Miscellaneous coastal fishes
Parambassis wolffii,NA,NA,NA,NA,NA,20,8,Finfish,marine,3.3,3.72,mainly animals (troph. 2.8 and up),24.4333,demersal,Miscellaneous coastal fishes
Parambassis wolffii,NA,NA,NA,NA,NA,20,8,Finfish,marine,3.3,3.72,mainly animals (troph. 2.8 and up),24.4333,demersal,Miscellaneous coastal fishes
Parambassis wolffii,NA,NA,NA,NA,NA,20,8,Finfish,marine,3.3,3.72,mainly animals (troph. 2.8 and up),24.4333,demersal,Miscellaneous coastal fishes
Amblypharyngodon mola,NA,NA,NA,NA,NA,20,20,Finfish,freshwater,2.9,NA,NA,24.4333,benthopelagic,"Carps, barbels and other cyprinids"
Amblypharyngodon mola,NA,NA,NA,NA,NA,20,20,Finfish,freshwater,2.9,NA,NA,24.4333,benthopelagic,"Carps, barbels and other cyprinids"
Amblypharyngodon mola,NA,NA,NA,NA,NA,20,20,Finfish,freshwater,2.9,NA,NA,24.4333,benthopelagic,"Carps, barbels and other cyprinids"
Amblypharyngodon mola,NA,NA,NA,NA,NA,20,20,Finfish,freshwater,2.9,NA,NA,24.4333,benthopelagic,"Carps, barbels and other cyprinids"
Amblypharyngodon mola,NA,NA,NA,NA,NA,20,20,Finfish,freshwater,2.9,NA,NA,24.4333,benthopelagic,"Carps, barbels and other cyprinids"
