sciname,StockDefs,TempMin,TempMax,SpecCode
Abramis brama,"Europe and  Asia:  most European drainages from Adour (France) to Pechora (White Sea basin); Aegean Sea basin, in Lake Volvi and Struma and Maritza drainages.  Naturally absent from Iberian Peninsula, Adriatic basin, Italy, Scotland, Scandinavia north of Bergen (Norway) and 67°N (Finland).  Locally introduced in Ireland, Spain and northeastern Italy.  In Asia, from Marmara basin (Turkey) and eastward to Aral basin.  Introduced in Lake Baikal and upper Ob and Yenisei drainages.",10,24,268
Ageneiosus inermis,"South America:  Argentina, Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Paraguay, Suriname, and Venezuela (Ref. 37098).  Reported from Uruguay (Ref. 54736).",22,24,47969
Albatrossia pectoralis,"North Pacific:  northern Japan to the Okhotsk and Bering seas, east to the Gulf of Alaska, south to northern Baja California in Mexico.",NA,NA,8435
Alectis alexandrina,"Eastern Atlantic:  off Morocco to Angola (Ref. 4225, 57392), including southern parts of the Mediterranean (Ref. 4225).",NA,NA,1888
Alepocephalus bairdii,"Eastern Atlantic:  Greenland and Iceland southward to 17°N.  Western Atlantic:  Greenland to Grand Banks and 29°52'N, 77°09'W.",NA,NA,230
Alepocephalus australis,Circumglobal:  In tropical to temperate waters.  Eastern Central Atlantic:  possibly widely distributed from the Gulf of Guinea to South Africa.  Western Atlantic:  At about 39° to 10°N.  Southwest Pacific.,NA,NA,9172
Alosa alosa,"Eastern Atlantic: from southern Norway and along the coasts of Europe to northern Mauritania (Refs. 188, 51442), including the Western Baltic Sea up to the Kaliningrad Oblast (Refs. 12801, 26334) and the Western Mediterranean Sea (Ref. 188). Outside France this species is rare (Ref. 89646).
Listed in Appendix III of the Bern Convention (2002). 
Listed in Annex II and V of the EC Habitats Directive (2007). 
",NA,NA,101
Alosa sapidissima,"North America:  Newfoundland (Ref. 1998), the St. Lawrence River, and Nova Scotia southward to central Florida.  Due to introductions into the Sacramento and Columbia Rivers, this species is now found from Cook Inlet, Alaska (Ref. 1998) to Baja California in Mexico and the Kamchatka Peninsula.",NA,NA,1584
Aluterus monoceros,"Circumtropical.  Western Atlantic:  Massachusetts, USA to Argentina (Ref. 36453).  Eastern Atlantic:  west coast of tropical Africa (Ref. 3592).  Eastern Pacific:  Guatemala to Chile (Ref. 9068); probably in Mexico (Ref. 9318).  Western Indian Ocean:  Mozambique and South Africa (Ref. 4421).  Recently recorded from Reunion (Ref. 53568).",NA,NA,4274
Parambassis wolffii,"Asia:  discontinuous distribution in mainland and insular southeast Asia: Chao Phraya and Mekong basins; islands of Sumatra and Borneo (Ref. 10429).  Reported from the river systems of Maeklong, Peninsular and Southeast Thailand (Ref. 26336).",18,25,16235
Amblypharyngodon mola,"Asia:  Pakistan, India, Bangladesh and Myanmar (Ref. 4832).  Reported from Afghanistan (Ref. 39701).",NA,NA,24301
Anabas testudineus,Asia:  India to Wallace line including China.  May have been distributed in more areas than were commonly reported.,22,30,495
Anarhichas lupus,"Northeast Atlantic:  Spitsbergen southward to White Sea, Scandinavian coasts, North Sea, the British Isles, also Iceland and south-eastern coasts of Greenland.  Northwest Atlantic:  southern Labrador in Canada and western Greenland to Cape Cod in Massachusetts, USA; rarely to New Jersey, USA (Ref. 7251). Elsewhere in the Baltic Sea (east to Rügen and Bornholm Islands), Bay of Biscay and northwestern Mediterranean (Gulf of Genoa) (Ref. 57932).",NA,NA,2501
Anchoa hepsetus,"Western Atlantic:  Massachusetts, USA perhaps occasionally straying north to Maine or even Nova Scotia (Canada), south to Fort Pierce, Florida (but not Florida Keys) and at least northern Gulf of Mexico; also from Gulf of Venezuela south to Uruguay.  Replaced by <i>Anchoa colonensis</i> in the West Indies.",NA,NA,1133
Anguilla anguilla,"Atlantic Ocean: Atlantic coast from Scandinavia to Morocco; Baltic, Black and Mediterranean Seas; rivers of North Atlantic, Baltic and Mediterranean seas (Ref. 172, Ref. 51442). Continuous introductions to Asia and South and Central America. Spawning area in western Atlantic (Sargasso Sea). At least one country reports adverse ecological impact after introduction. Recent genomic DNA studies show that the European eel exhibits isolation by distance, implying that non-random mating and restricted gene flow among eels from different location exists (Ref. 43723). The existence of 3 genetically distinct sub-populations is suggested: a Northern European subpopulation (consisting mainly of the Icelandic stocks); a Western European subpopulation (including the Baltic, the Mediterranean and Black Sea); a Southern sub-population (including stocks of Morocco) (Ref. 43723, 89139). International trade restricted (CITES Appendix II, since 13.5.2009). ",4,20,35
Anguilla anguilla,Northeast Atlantic,NA,NA,35
Anguilla bicolor,Indo-Pacific:  widespread in the tropical Indian Ocean and western Pacific.  Known in Australia only from streams in the Kimberley regions of northern western Australia.  Africa:  widespread but relatively uncommon along east and southeast African coast and Madagascar (Ref. 7248).  Mozambique; Lower Zambezi River (Ref. 39494).  Most easily confused with <i>Anguilla obscura</i> and the surest way to distinguish them is by the count of vertebrae (Ref. 9828).,NA,NA,1274
Anguilla japonica,"Asia:  Japan to the East China Sea, Taiwan, Korea, China and northern Philippines.  Spawning grounds of this species are presumed to be in the western Mariana Islands, at a salinity front near 15°N and 140°E (Ref. 54488). Most expensive food fish in Japan.  Introduced elsewhere.",4,27,295
Anguilla rostrata,"Northwest to western Central Atlantic:  Greenland south along the Atlantic coast of Canada and the USA to Panama, and throughout much of the West Indies south to Trinidad.",4,25,296
Anoplopoma fimbria,"North Pacific:  Bering Sea coasts of Kamchatka, Russia and Alaska southward to Hatsu Shima Island, southern Japan and Cedros Island, central Baja California, Mexico.",NA,NA,512
Aphanopus carbo,North Atlantic:  on both sides and at underwater rises from Denmark Strait to about 30°N.,NA,NA,646
Aphanopus carbo,Bay of Biscay and Western Iberian Sea(ICES Subareas VIII and IX),NA,NA,646
Aphanopus carbo,Northeast Atlantic,NA,NA,646
Aphanopus carbo,"Northeastern Arctic, North Sea, Iceland, Greenland, Skagerrak (ICES Subareas I, II, IV,
X, XIV and Divisions IIIa, Va)",NA,NA,646
Aphanopus carbo,"West of Scotland,West of Ireland, Celtic Sea, Faroe, (ICES Subareas VI, VII, and Divisions
Vb, XIIb)",NA,NA,646
Ariomma bondi,"Western Atlantic:  Canada (Ref. 5951) to Maine, USA and northern Gulf of Mexico to Uruguay.  Eastern Atlantic:  Senegal to Angola (Ref. 5512).",NA,NA,961
Arius arius,"Indo-West Pacific:  India through neighboring coastal states (Pakistan, India, Bangladesh and Myanmar, Ref. 4833) to Singapore, South China Sea.",NA,NA,1285
Arnoglossus laterna,Eastern Atlantic:  Norway to Angola.  Also known from the Mediterranean and Black Sea.,NA,NA,41
Arripis trutta,"Southwest Pacific:  southern Australia (including Tasmania, Lord Howe Island and Norfolk Island), usually Brisbane to Western Victoria, rarely to Western Australia; and New Zealand (including Chatham and Kermadec Islands).",NA,NA,5048
Chelidonichthys cuculus,Eastern Atlantic:  British Isles (occasionally Norway) to Mauritania (including Madeira and Azores).  Also known throughout the Mediterranean and possibly in the Black Sea.,NA,NA,44
Leuciscus aspius,"Europe and Asia:  large rivers draining to North Sea (Weser, Elbe), Baltic Sea (southern tributaries, Norway east of Oslo, southern Sweden, Kokemären drainage in southern Finland), Black Sea, Sea of Azov and Caspian Sea; Aegean Sea basin, from Maritza to Lake Volvi drainages. Absent in Black Sea basin south of Danube and Rioni (Georgia) drainages, but present in Turkey west of Ankara.  Introduced in Rhine, Northern Dvina and Lake Balkhash (Asia) (Ref. 59043). Appendix III of the Bern Convention (protected fauna).  The subspecies <i>Aspius aspius iblioides</i> was previously recognized by authors for the Aral Sea (Ref. 13403).",4,20,4783
Atheresthes stomias,"North Pacific:  Bering Sea coasts of Russia and Alaska to San Simeon, California, USA.  The San Pedro, California, USA record for this species in Miller and Lea 1972 (Ref. 6792) is based on a misidentification of <i>Eopsetta exilis</i>.",NA,NA,517
Atherina boyeri,"Eastern Atlantic:  Portugal and Spain to Nouadhibou in Mauritania and Madeira, and throughout the Mediterranean and Black Sea.  Isolated populations on coasts of England and the Netherlands (Ref. 5980).  Previously, two subspecies were recognized in Russian waters:  <i>Atherina boyeri pontica</i> (Eichwald, 1838) from the Black Sea and the Sea of Azov and <i>Atherina boyeri caspia</i> (Eichwald, 1838) from the Caspian Sea (Ref. 26334).",NA,NA,1696
Atherina hepsetus,"Eastern Atlantic:  coasts of Spain and Morocco including Madeira and the Canary Islands.  Also in the western Mediterranean, Adriatic Sea and Black Sea.",NA,NA,1697
Atrobucca nibe,"Indo-West Pacific:  Mozambique and Natal, South Africa (Ref. 12484), India (Ref. 4373); China, Japan, Philippines, Indonesia, and off northern Australia.",NA,NA,941
Auxis rochei,"Atlantic, Indian and Pacific (Western):  including the Mediterranean Sea.  The eastern Pacific population is recognized as subspecies <i>Auxis rochei eudorax</i> (Ref. 32349).  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).",NA,27.8999996185303,93
Auxis thazard,"Atlantic, Indian and Pacific (Western Central).  Eastern Pacific population recognized as  subspecies <i>Auxis thazard brachydorax</i> (Ref. 32349).  
Many authors have used the name <i>Auxis thazard</i> as including <i>Auxis rochei</i> in the belief that there was only a single worldwide species of <i>Auxis</i>.  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).",27,27.8999996185303,94
Bagrus docmak,"Africa: widely distributed throughout the Nile, Tchad, Niger, Volta, Senegal, Mono and Oueme Rivers, as well as the Rift Valley Lakes Edward, George, Albert, Victoria and Tanganyika (Ref. 81641). In the Lukuga River (Lake Tanganyika outflow), known up to the Kisimba-Kilia rapids (Ref. 93587).  Also present in Cameroon (Ref. 81641). Not present in Lake Kivu, where it was introduced in 1959 and 1960, apparently without success.",21,25,6519
Balistes vetula,"Eastern Atlantic:  Ascension, Cape Verde, and Azores (Ref. 7348); ranges south to southern Angola (Ref. 4420).  Western Atlantic:  Canada (Ref. 5951) to Massachusetts, USA and northern Gulf of Mexico to southeastern Brazil (Ref. 7251).",28,NA,19
Barbonymus gonionotus,"Asia:  Mekong and Chao Phraya basins, Malay Peninsula, Sumatra and Java (Ref. 27732).  Occurs throughout the whole stretch on the Mekong, from the delta around the saline intrusion zone to Chiang Khong in Thailand (Ref. 37770).",22,28,286
Belone belone,"Eastern Atlantic and Mediterranean Sea.  Three subspecies were recognized by Collette and Parin (1970, Ref. 34977)  <i>Belone belone belone</i> (Linnaeus, 1761) (Northeast Atlantic); <i>Belone belone euxini</i> Günther, 1866 (Black Sea and Sea of Azov); <i>Belone belone acus</i> Risso, 1827 (Mediterranean Sea and adjacent parts of Atlantic Ocean, Madeira, Canary Islands, Azores, and south to Cape Verde (Ref. 50279); subspecies <i>Belone belone gracilis</i> Lowe, 1839 (France to the Canary Islands including the Mediterranean) in Collette & Parin, 1990 (Ref. 5757).",NA,NA,47
Boops boops,"Eastern Atlantic:  Norway to Angola, including the Canary Islands, Cape Verde, and the Sao Tome-Principe Islands.  Common from Bay of Biscay to Gibraltar (Ref. 4781).  Also found in the Mediterranean and the Black Sea.",NA,NA,203
Bothus podas,"Eastern Atlantic:  Mediterranean and the Adriatic Sea (Ref. 12382); Mauritania to Angola, including Madeira, Cape Verde and the Canary Islands (Ref. 5979).",NA,NA,207
Brama japonica,"Pacific Ocean:  Japan to Bering Sea, and south to Peru.   Reported from the Philippines (Ref. 6956) and Taiwan (Ref. 5193).  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).",9,21,3555
Branchiostegus semifasciatus,"Eastern Atlantic:  Casablanca, Morocco to Baia dos Tigres, Angola.  Rare north of Dakar, Senegal.",NA,NA,4935
Brevoortia aurea,"Southwest Atlantic:  Rio de Janeiro, Brazil probably to mouth of Rio de la Plata, Argentina (needs confirmation).",NA,NA,1587
Brevoortia patronus,"Western Central Atlantic:  Gulf of Mexico (Florida Bay, Gulf of Campeche, Mexico), but no certain records from Caribbean.",NA,NA,1589
Brosme brosme,"Northwest Atlantic:  New Jersey to the Strait of Belle Isle and on the Grand Banks of Newfoundland.  Rare at the southern tip of Greenland.  Northeast Atlantic:  off Iceland, in the northern North Sea, and along the coast of Scandinavia to the Murmansk Coast and at Spitzbergen.",NA,NA,51
Brosme brosme,Atlantic around Iceland and off Greenland (ICES Division Va and Subarea XIV),NA,NA,51
