,Food.Item.ID,species,taxon,max_size,max_length,TL,lwA,lwB,Habitat,Subgroup,Abs_lat,Latitude,max_length_study,nutrient,concentration,RDI
9837,1,Acanthina monodon,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,DHA_g,NA,1
9652,1,Acanthina monodon,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,EPA_g,NA,1
10577,1,Acanthina monodon,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,FAT,NA,70
10022,1,Acanthina monodon,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,FE_mg,NA,18
10392,1,Acanthina monodon,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,HG_mcg,NA,NA
10762,1,Acanthina monodon,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,PROTEIN,NA,50
10207,1,Acanthina monodon,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,ZN_mg,NA,11
9707,2,Aristeus antennatus,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,18.93,DHA_g,NA,1
9522,2,Aristeus antennatus,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,18.93,EPA_g,NA,1
10447,2,Aristeus antennatus,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,18.93,FAT,NA,70
9892,2,Aristeus antennatus,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,18.93,FE_mg,NA,18
10262,2,Aristeus antennatus,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,18.93,HG_mcg,NA,NA
10632,2,Aristeus antennatus,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,18.93,PROTEIN,NA,50
10077,2,Aristeus antennatus,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,18.93,ZN_mg,NA,11
9838,3,Aulacomya ater,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,DHA_g,NA,1
9653,3,Aulacomya ater,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,EPA_g,NA,1
10578,3,Aulacomya ater,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,FAT,NA,70
10023,3,Aulacomya ater,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,FE_mg,NA,18
10393,3,Aulacomya ater,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,HG_mcg,NA,NA
10763,3,Aulacomya ater,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,PROTEIN,NA,50
10208,3,Aulacomya ater,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,ZN_mg,NA,11
9839,5,Donax trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,DHA_g,NA,1
9654,5,Donax trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,EPA_g,NA,1
10579,5,Donax trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,FAT,NA,70
10024,5,Donax trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,FE_mg,1.48,18
10394,5,Donax trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,HG_mcg,NA,NA
10764,5,Donax trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,PROTEIN,NA,50
10209,5,Donax trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,18.93,ZN_mg,NA,11
9840,11,Fissurella picta,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,0.097,1
9655,11,Fissurella picta,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,0.086,1
10580,11,Fissurella picta,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
10025,11,Fissurella picta,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10395,11,Fissurella picta,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10765,11,Fissurella picta,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10210,11,Fissurella picta,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,NA,11
9841,12,Hexaplex trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,0.073,1
9656,12,Hexaplex trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,0.099,1
10581,12,Hexaplex trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
10026,12,Hexaplex trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10396,12,Hexaplex trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10766,12,Hexaplex trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10211,12,Hexaplex trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,NA,11
9842,13,Hexaplex trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,DHA_g,0.091,1
9657,13,Hexaplex trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,EPA_g,0.124,1
10582,13,Hexaplex trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FAT,NA,70
10027,13,Hexaplex trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,FE_mg,NA,18
10397,13,Hexaplex trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,HG_mcg,NA,NA
10767,13,Hexaplex trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,PROTEIN,NA,50
10212,13,Hexaplex trunculus,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,NA,ZN_mg,NA,11
9843,14,Macrobrachium rosenbergii,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,DHA_g,0.072,1
9658,14,Macrobrachium rosenbergii,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,EPA_g,0.1,1
10583,14,Macrobrachium rosenbergii,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,FAT,NA,70
10028,14,Macrobrachium rosenbergii,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,FE_mg,NA,18
10398,14,Macrobrachium rosenbergii,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,HG_mcg,NA,NA
10768,14,Macrobrachium rosenbergii,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,PROTEIN,NA,50
10213,14,Macrobrachium rosenbergii,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,ZN_mg,NA,11
9844,15,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,DHA_g,0.078,1
9659,15,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,EPA_g,0.126,1
10584,15,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,FAT,NA,70
10029,15,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,FE_mg,NA,18
10399,15,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,HG_mcg,NA,NA
10769,15,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,PROTEIN,NA,50
10214,15,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,ZN_mg,NA,11
9845,16,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,DHA_g,0.062,1
9660,16,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,EPA_g,0.085,1
10585,16,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,FAT,NA,70
10030,16,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,FE_mg,NA,18
10400,16,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,HG_mcg,NA,NA
10770,16,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,PROTEIN,NA,50
10215,16,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,ZN_mg,NA,11
9846,17,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,DHA_g,0.07,1
9661,17,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,EPA_g,0.096,1
10586,17,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,FAT,NA,70
10031,17,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,FE_mg,NA,18
10401,17,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,HG_mcg,NA,NA
10771,17,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,PROTEIN,NA,50
10216,17,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,NA,ZN_mg,NA,11
9847,18,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,139.9,DHA_g,NA,1
9662,18,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,139.9,EPA_g,NA,1
10587,18,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,139.9,FAT,NA,70
10032,18,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,139.9,FE_mg,1.07,18
10402,18,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,139.9,HG_mcg,NA,NA
10772,18,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,139.9,PROTEIN,NA,50
10217,18,Maja brachydactyla,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,139.9,ZN_mg,6.28,11
9761,22,Metapenaeus monoceros,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,4.6,DHA_g,NA,1
9576,22,Metapenaeus monoceros,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,4.6,EPA_g,NA,1
10501,22,Metapenaeus monoceros,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,4.6,FAT,NA,70
9946,22,Metapenaeus monoceros,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,4.6,FE_mg,8.1,18
10316,22,Metapenaeus monoceros,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,4.6,HG_mcg,NA,NA
10686,22,Metapenaeus monoceros,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,4.6,PROTEIN,NA,50
10131,22,Metapenaeus monoceros,NA,NA,NA,NA,NA,NA,NA,Crustacean,NA,NA,4.6,ZN_mg,112.8,11
9848,23,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,4.6,DHA_g,NA,1
9663,23,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,4.6,EPA_g,NA,1
10588,23,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,4.6,FAT,NA,70
10033,23,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,4.6,FE_mg,17.8,18
10403,23,Mytilus chilensis,NA,NA,NA,NA,NA,NA,NA,Molluscs,NA,NA,4.6,HG_mcg,NA,NA
